14:13:36
2022-01-18
389건
index,place,title,time,pay,date
1,부산 해운대,(주)에치와이,08:00~16:00,"월급 2,000,000원",53분전
2,부산 해운대,(주)에치와이,08:00~12:00,"월급 1,000,000원",53분전
3,대전 중구,(주)에치와이,07:00~14:00,"월급 1,700,000원",55분전
4,충남 아산시,(주)HY,08:00~16:00,"월급 2,000,000원",3시간전
5,경기 의정부,hy 호원점,09:00~17:00,"월급 2,200,000원",3시간전
6,경기 의정부,hy 호원점,시간협의,"월급 2,200,000원",3시간전
7,경기 의정부,hy 호원점,시간협의,"월급 2,000,000원",3시간전
8,서울 성북구,hy 장위점,08:30~16:30,"월급 2,000,000원",3시간전
9,서울 성북구,hy 이문점,시간협의,"월급 1,800,000원",4시간전
10,경북 칠곡군,(주)에치와이 금오점,시간협의,"월급 1,000,000원",5시간전
11,경북 구미시,(주)에치와이 금오점,시간협의,"월급 2,200,000원",5시간전
12,경북 구미시,(주)에치와이 금오점,시간협의,"월급 1,200,000원",5시간전
13,서울 종로구,hy 혜화점,07:30~16:00,"월급 2,500,000원",5시간전
14,전남 여수시,(주)에치와이(한국야쿠르트),시간협의,"월급 1,800,000원",6시간전
15,전남 광양시,(주)에치와이(한국야쿠르트),시간협의,"월급 1,800,000원",6시간전
16,전남 순천시,(주)에치와이(한국야쿠르트),시간협의,"월급 1,800,000원",6시간전
17,전남 순천시,(주)에치와이(한국야쿠르트),시간협의,"월급 1,800,000원",6시간전
18,전남 순천시,(주)에치와이(한국야쿠르트),시간협의,"월급 1,800,000원",6시간전
19,광주 동구,(주)에치와이(한국야쿠르트),시간협의,"월급 1,800,000원",6시간전
20,경기 구리시,hy 구리점,08:00~16:00,"월급 2,500,000원",16시간전
21,경기 구리시,hy 구리점,08:00~15:00,"월급 1,800,000원",16시간전
22,인천 중구,(주)에치와이 영종점,시간협의,"월급 1,000,000원",20시간전
23,인천 중구,(주)hy 영종점,시간협의,"월급 1,000,000원",20시간전
24,인천 중구,(주)hy 영종점,시간협의,"월급 1,000,000원",20시간전
25,인천 중구,(주)에치와이 영종점,06:30~09:30,"월급 800,000원",20시간전
26,인천 중구,(주)에치와이 영종점,06:30~09:30,"월급 800,000원",20시간전
27,인천 중구,(주)에치와이 영종점,06:30~09:30,"월급 800,000원",20시간전
28,인천 중구,(주)에치와이 영종점,06:30~09:30,"월급 800,000원",20시간전
29,경북 포항시,(주)에치와이,시간협의,"월급 1,500,000원",20시간전
30,경북 포항시,(주)에치와이,시간협의,"월급 1,500,000원",20시간전
31,서울 성북구,hy 오장점,07:00~12:00,"월급 1,200,000원",21시간전
32,경북 구미시,(주)에치와이 금오점,시간협의,"월급 1,500,000원",22시간전
33,서울 성동구,hy 행당점,08:30~15:30,"월급 1,850,000원",22시간전
34,서울 성동구,hy 신당점,07:00~14:00,"월급 2,000,000원",22시간전
35,경북 김천시,(주)에치와이 금오점,시간협의,"월급 1,500,000원",22시간전
36,경북 김천시,(주)에치와이 금오점,시간협의,"월급 1,500,000원",23시간전
37,세종 아름동,(주)HY,09:00~15:00,"월급 1,600,000원",23시간전
38,경기 양주시,hy 포천점,시간협의,"월급 2,000,000원",23시간전
39,서울 성북구,hy 정릉점,09:00~16:00,"월급 1,800,000원",23시간전
40,대구 북구,(주)에치와이 금오점,시간협의,"월급 2,200,000원",23시간전
41,대구 북구,(주)에치와이 금오점,시간협의,"월급 2,000,000원",23시간전
42,경기 의정부,(주)에치와이 의정부점,시간협의,"월급 2,000,000원",23시간전
43,대구 북구,(주)에치와이 금오점,시간협의,"월급 2,000,000원",23시간전
44,대구 북구,(주)에치와이 금오점,시간협의,"월급 1,000,000원",23시간전
45,경북 구미시,(주)에치와이 금오점,시간협의,"월급 1,700,000원",23시간전
46,경북 칠곡군,(주)에치와이 금오점,시간협의,"월급 1,000,000원",23시간전
47,경북 칠곡군,(주)에치와이 금오점,시간협의,"월급 1,000,000원",23시간전
48,경기 의정부,(주)에치와이 호원점,시간협의,"월급 2,200,000원",23시간전
49,서울 용산구,hy 한남점,08:00~14:00,"월급 1,900,000원",23시간전
50,서울 용산구,hy 신용산점,시간협의,"월급 1,800,000원",23시간전
51,경남 창원시,(주)에치와이,08:00~16:00,"월급 2,200,000원",23시간전
52,서울 강북구,hy 미아점,08:00~15:00,"월급 1,800,000원",01/17
53,경남 창원시,(주)에치와이,07:00~11:00,"월급 1,300,000원",01/17
54,경남 김해시,(주)에치와이,07:00~15:00,"월급 2,000,000원",01/17
55,경기 고양시,(주)에치와이 원당점,시간협의,"월급 2,500,000원",01/17
56,서울 성동구,hy 청계점,08:00~14:00,"월급 1,800,000원",01/17
57,서울 전체,(주)에치와이 홍은점,시간협의,"월급 2,000,000원",01/17
