14:15:49
2022-01-18
61건
index,place,title,time,pay,date
1,경기 성남시,대연-나이키공식판매점 성남점,11:00~22:00,"월급 2,130,000원",17분전
2,충남 천안시,신세계 천안아산점,09:30~20:00,"월급 2,080,000원",28분전
3,서울 영등포,타임스퀘어,10:00~10:00,"월급 2,160,000원",50분전
4,서울 중구,신세계 명동,09:30~20:00,"월급 2,080,000원",1시간전
5,대구 전체,대연 신세계동대구,10:00~20:30,"월급 2,080,000원",1시간전
6,충남 천안시,모다아울렛천안,11:00~21:00,"월급 2,100,000원",1시간전
7,대전 유성구,대전 유성,10:30~21:30,"월급 2,130,000원",3시간전
8,경기 부천시,부천스타필드나이키,10:00~22:00,"월급 2,160,000원",3시간전
9,인천 부평구,부평,10:30~22:00,"월급 2,130,000원",3시간전
10,서울 중구,신세계 명동,09:30~20:00,"월급 2,080,000원",3시간전
11,서울 서초구,대연 강남스포츠,10:00~20:00,"월급 2,080,000원",3시간전
12,충남 천안시,모다아울렛천안,11:00~21:00,"월급 2,100,000원",3시간전
13,대전 유성구,대연 신세계대전,09:30~20:00,"월급 2,080,000원",3시간전
14,부산 해운대,신세계 센텀,10:00~20:30,"월급 2,080,000원",3시간전
15,충남 천안시,신세계 천안아산점,09:30~20:00,"월급 2,080,000원",3시간전
16,경기 시흥시,대연 경기시흥,10:00~21:00,"월급 2,130,000원",4시간전
17,대구 전체,신세계 동대구,10:00~20:30,"월급 2,080,000원",4시간전
18,경기 부천시,대연 북부천,11:00~22:00,"월급 2,130,000원",4시간전
19,충남 천안시,모다아울렛천안,11:00~21:00,"월급 2,100,000원",4시간전
20,경기 시흥시,대연 경기시흥,10:00~21:00,"월급 2,130,000원",4시간전
21,경기 이천시,경기 이천점 나이키,10:00~21:00,"월급 2,130,000원",4시간전
22,광주 서구,신세계 광주FS,10:00~20:30,"월급 2,080,000원",6시간전
23,서울 영등포,(주)대연,시간협의,"월급 2,080,000원",6시간전
24,강원 원주시,(주)대연,10:30~21:30,"월급 2,130,000원",6시간전
25,전국 전체,신세계 동대구,10:00~20:30,"월급 2,080,000원",6시간전
26,충남 천안시,모다아울렛천안,11:00~21:00,"월급 2,100,000원",6시간전
27,서울 영등포,타임스퀘어,10:00~10:00,"월급 2,160,000원",7시간전
28,경기 성남시,(주)대연 나이키 성남점,11:00~22:00,"월급 2,130,000원",7시간전
29,서울 서초구,대연 강남스포츠,10:00~20:00,"월급 2,080,000원",20시간전
30,서울 영등포,타임스퀘어,10:00~10:00,"월급 2,160,000원",21시간전
31,경기 하남시,대연 하남RN,시간협의,"월급 2,160,000원",22시간전
32,경기 전체,스타필드 하남 나이키,10:00~20:00,"월급 2,160,000원",23시간전
33,경기 시흥시,대연 경기시흥,10:00~21:00,"월급 2,130,000원",01/17
34,경기 안성시,(주)대연,10:00~22:00,"월급 2,160,000원",01/16
35,서울 서초구,대연 강남스포츠,10:00~20:00,"월급 2,080,000원",01/16
36,광주 서구,대연 광주세정점,10:30~21:00,"월급 2,080,000원",01/16
37,경기 시흥시,대연 경기시흥,10:00~21:00,"월급 2,130,000원",01/16
38,경남 김해시,신세계김해,10:00~20:30,"월급 2,080,000원",01/16
39,경기 하남시,대연 하남RN,시간협의,"월급 2,160,000원",01/16
40,서울 강동구,스타필드 하남 나이키,10:00~20:00,"월급 2,160,000원",01/16
41,강원 원주시,(주)대연,시간협의,"시급 9,200원",01/16
42,경기 부천시,부천스타필드나이키,10:00~22:00,"월급 2,160,000원",01/15
43,경기 광주시,스타필드 하남 나이키,10:00~20:00,"월급 2,160,000원",01/15
44,경기 이천시,경기 이천점 나이키,10:00~21:00,"월급 2,130,000원",01/15
45,경기 하남시,대연 하남RN,시간협의,"월급 2,160,000원",01/15
46,대전 동구,대전스타일마켓,10:00~21:00,"월급 1,980,000원",01/15
47,대전 유성구,대연 신세계대전,09:30~20:00,"월급 2,080,000원",01/15
48,경기 고양시,(주)대연,시간협의,"월급 2,160,000원",01/14
49,경기 하남시,스타필드 하남 나이키,10:00~20:00,"월급 2,160,000원",01/14
50,광주 서구,신세계 광주FS,10:00~20:30,"월급 2,080,000원",01/14
51,서울 서초구,(주)대연 신세계 백화점 강남점,10:00~20:00,"월급 2,080,000원",01/13
52,경기 수원시,(주)대연,시간협의,"시급 9,160원",01/13
53,서울 전체,스타필드 하남 나이키,10:00~20:00,"월급 2,160,000원",01/13
54,서울 서초구,(주)대연 신세계 백화점 강남점,10:00~20:00,"월급 2,080,000원",01/12
55,서울 서초구,(주)대연 신세계 강남 나이키,10:00~20:00,"월급 2,080,000원",01/11
56,대전 서구,대연 갤러리아타임월드,09:30~20:00,"월급 2,080,000원",01/11
57,서울 영등포,(주)대연,09:30~20:00,"월급 2,080,000원",01/10
58,경기 의정부,대연 신세계의정부,시간협의,"월급 2,080,000원",01/10
59,광주 서구,신세계 광주FS,10:00~20:30,"월급 2,080,000원",01/04
60,대구 전체,신세계 동대구,10:00~20:30,"월급 2,080,000원",01/04
61,경기 하남시,신세계하남점 나이키 킥스라운지,10:30~21:00,"월급 2,170,000원",01/02
