14:15:45
2022-01-18
13건
index,place,title,time,pay,date
1,서울 강남구,박앤박 혼밥대왕 논현점,시간협의,"월급 3,300,000원",01/17
2,서울 강남구,박앤박 혼밥대왕 논현점,시간협의,"월급 3,300,000원",01/17
3,서울 전체,박앤박 혼밥대왕 서울문정점,시간협의,"시급 10,000원",01/16
4,서울 강남구,박앤박 혼밥대왕 논현점,시간협의,"시급 10,000원",01/16
5,인천 전체,박앤박 혼밥대왕 인천송도점,시간협의,"시급 11,000원",01/15
6,서울 송파구,박앤박 비돈이제돈이 송파점,09:00~21:00,"월급 2,700,000원",01/10
7,충남 천안시,박앤박 혼밥대왕 천안불당점,09:00~03:00,"시급 9,160원",01/09
8,서울 전체,박앤박 혼밥대왕 방배점,10:00~22:00,"시급 10,000원",01/07
9,서울 전체,박앤박 혼밥대왕 방배점,10:00~22:00,"시급 10,000원",01/07
10,서울 전체,박앤박 혼밥대왕 방배점,10:00~22:00,"시급 10,000원",01/07
11,서울 전체,박앤박 혼밥대왕 방배점,10:00~22:00,"시급 10,000원",01/07
12,서울 전체,박앤박 혼밥대왕 방배점,10:00~22:00,"시급 10,000원",01/07
13,서울 은평구,박앤박 혼밥대왕 역촌점,10:00~22:00,"월급 2,600,000원",01/06
