14:05:05
2022-01-18
802건
index,place,title,time,pay,date
1,인천 미추홀,생각대로 더원지사,시간협의,"건별 4,000원",2분전
2,경기 광주시,생각대로 곤지암2지사,11:00~24:00,"일급 250,000원",9분전
3,광주 동구,생각대로 동구학동점,09:00~24:00,"일급 200,000원",11분전
4,광주 동구,생각대로 동구학동점,09:00~24:00,"일급 200,000원",12분전
5,경기 시흥시,생각대로 배곧신도시지점,시간협의,"일급 150,000원",12분전
6,광주 동구,생각대로 동구학동점,09:00~24:00,"일급 200,000원",12분전
7,부산 동래구,생각대로 안락명장2호점,10:00~02:00,"건별 3,000원",17분전
8,부산 동래구,생각대로 안락명장2호점,10:00~02:00,"건별 3,000원",17분전
9,부산 동래구,생각대로 안락명장2호점,10:00~02:00,"건별 3,000원",17분전
10,경기 파주시,생각대로 운정점,시간협의,"월급 5,000,000원",18분전
11,경기 파주시,생각대로 운정점,시간협의,"월급 5,000,000원",21분전
12,서울 송파구,생각대로 송파C지사,시간협의,"월급 6,000,000원",22분전
13,서울 송파구,생각대로 송파B지사,시간협의,"월급 6,000,000원",22분전
14,서울 송파구,생각대로 송파C지사,시간협의,"일급 200,000원",22분전
15,서울 송파구,생각대로 송파B지사,시간협의,"일급 200,000원",22분전
16,서울 송파구,생각대로 송파C지사,시간협의,"건별 3,800원",23분전
17,서울 송파구,생각대로 송파B지사,시간협의,"건별 3,800원",23분전
18,서울 중랑구,생각대로 중랑노원지부A,시간협의,"월급 4,000,000원",26분전
19,서울 중랑구,생각대로 중랑노원지부A,시간협의,"월급 4,000,000원",26분전
20,서울 중랑구,생각대로 중랑노원지부A,시간협의,"월급 4,000,000원",26분전
21,충남 천안시,생각대로 불당1지점,09:00~01:00,"월급 5,000,000원",30분전
22,충남 천안시,생각대로 불당1지점,09:00~01:00,"월급 5,000,000원",31분전
23,충남 천안시,생각대로 불당1지점,09:00~01:00,"월급 5,000,000원",31분전
24,경북 포항시,생각대로 원동점,시간협의,"시급 30,000원",40분전
25,부산 사상구,생각대로 사상구5호점,시간협의,"건별 3,000원",40분전
26,부산 사상구,생각대로 사상구5호점,시간협의,"건별 3,000원",40분전
27,부산 사상구,생각대로 사상구5호점,시간협의,"건별 3,000원",40분전
28,부산 부산진,생각대로 부전점,시간협의,"건별 3,000원",40분전
29,부산 부산진,생각대로 부전점,시간협의,"건별 3,000원",40분전
30,부산 부산진,생각대로 부전점,시간협의,"건별 3,000원",40분전
31,부산 북구,생각대로 북구만덕점,09:00~01:00,"일급 150,000원",40분전
32,부산 북구,생각대로 북구만덕점,09:00~01:00,"일급 150,000원",40분전
33,부산 북구,생각대로 북구만덕점,09:00~01:00,"일급 150,000원",40분전
34,부산 사하구,생각대로 사하구4-1호점,시간협의,"건별 3,000원",40분전
35,부산 사하구,생각대로 사하구4-1호점,시간협의,"건별 3,000원",40분전
36,부산 사하구,생각대로 사하구4-1호점,시간협의,"건별 3,000원",40분전
37,부산 부산진,생각대로 진구1호점,시간협의,"건별 3,200원",41분전
38,부산 부산진,생각대로 진구1호점,시간협의,"건별 3,200원",41분전
39,부산 부산진,생각대로 진구1호점,시간협의,"건별 3,200원",41분전
40,부산 남구,생각대로 어벤져스용호대연점,시간협의,"일급 250,000원",41분전
41,부산 남구,생각대로 어벤져스용호대연점,시간협의,"일급 250,000원",41분전
42,부산 남구,생각대로 어벤져스용호대연점,시간협의,"일급 250,000원",41분전
43,부산 강서구,생각대로 명지2호점,시간협의,"월급 5,000,000원",41분전
44,부산 강서구,생각대로 명지2호점,시간협의,"월급 5,000,000원",41분전
45,부산 강서구,생각대로 명지2호점,시간협의,"월급 5,000,000원",41분전
46,경기 고양시,생각대로 일산서구지사,시간협의,"일급 200,000원",41분전
47,부산 북구,생각대로 금곡화명점,08:30~02:00,"건별 3,000원",41분전
48,부산 북구,생각대로 금곡화명점,08:30~02:00,"건별 3,000원",41분전
49,부산 북구,생각대로 금곡화명점,08:30~02:00,"건별 3,000원",41분전
50,부산 강서구,생각대로 명지4호점,시간협의,"월급 4,000,000원",41분전
51,부산 강서구,생각대로 명지4호점,시간협의,"월급 4,000,000원",41분전
52,부산 강서구,생각대로 명지4호점,시간협의,"월급 4,000,000원",41분전
53,부산 연제구,생각대로 연산점어벤,09:00~02:00,"건별 3,400원",41분전
54,부산 연제구,생각대로 연산점어벤,09:00~02:00,"건별 3,400원",41분전
55,부산 연제구,생각대로 연산점어벤,09:00~02:00,"건별 3,400원",41분전
56,부산 사하구,생각대로 감천점,시간협의,"월급 2,500,000원",42분전
57,부산 사하구,생각대로 감천점,시간협의,"월급 3,000,000원",42분전
