14:16:50
2022-01-18
19건
index,place,title,time,pay,date
1,경기 하남시,신세계백화점 하남점,10:30~18:30,"시급 9,200원",2시간전
2,광주 전체,신세계백화점 광주점,09:30~17:30,"시급 9,200원",2시간전
3,서울 서초구,신세계백화점 강남점,10:30~18:30,"시급 9,200원",2시간전
4,서울 서초구,신세계백화점 강남점,10:30~18:30,"시급 9,200원",2시간전
5,경기 의정부,신세계 의정부점,10:30~18:30,"시급 9,200원",3시간전
6,서울 중구,신세계백화점 본점,10:00~18:00,"시급 9,200원",3시간전
7,서울 서초구,신세계백화점 강남점,10:30~18:30,"시급 9,200원",5시간전
8,서울 전체,신세계백화점 강남점,10:30~18:30,"시급 9,200원",5시간전
9,서울 서초구,신세계백화점 강남점,10:30~18:30,"시급 9,200원",5시간전
10,경기 하남시,신세계백화점 하남점,10:30~18:30,"시급 9,200원",01/16
11,대구 동구,신세계백화점 대구점,10:00~18:00,"시급 9,200원",01/16
12,서울 서초구,신세계백화점 강남점,10:30~18:30,"시급 9,200원",01/16
13,서울 영등포,신세계백화점 타임스퀘어점,10:30~18:30,"시급 9,200원",01/16
14,대전 전체,대전신세계 Art&Science,10:30~18:30,"시급 9,200원",01/16
15,서울 중구,신세계백화점 본점,10:30~18:30,"시급 9,200원",01/15
16,경기 하남시,신세계백화점 하남점,10:30~18:30,"시급 9,200원",01/15
17,부산 해운대,신세계백화점 센텀시티점,11:00~19:00,"시급 9,200원",01/14
18,경기 하남시,(주)신세계,10:30~18:30,"시급 9,200원",01/09
19,서울 서초구,(주)신세계,09:00~17:00,"시급 9,200원",01/07
