place,title,time,pay,date
경기 부천시,(주)신세계엘앤비,12:00~20:00,"일급 88,000원",32분전
서울 구로구,(주)신세계엘앤비,12:00~20:00,"일급 88,000원",32분전
경기 고양시,(주)신세계엘앤비,12:00~20:00,"일급 88,000원",33분전
경기 고양시,(주)신세계엘앤비,12:00~20:00,"일급 88,000원",33분전
경기 용인시,(주)신세계엘앤비,12:00~20:00,"일급 88,000원",53분전
경기 용인시,(주)신세계엘앤비,12:00~20:00,"일급 88,000원",54분전
서울 노원구,(주)신세계엘앤비,13:00~21:00,"일급 88,000원",5시간전
경기 고양시,(주)신세계엘앤비,13:00~21:00,"일급 88,000원",8시간전
경기 고양시,(주)신세계엘앤비,13:00~21:00,"일급 88,000원",8시간전
경기 안성시,(주)신세계엘앤비,12:00~20:00,"일급 88,000원",8시간전
경기 평택시,(주)신세계엘앤비,12:00~20:00,"일급 88,000원",8시간전
대구 서구,(주)신세계엘앤비,13:00~21:00,"일급 88,000원",8시간전
