14:09:28
2022-01-18
38건
index,place,title,time,pay,date
1,서울 관악구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",35분전
2,서울 금천구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",36분전
3,경기 수원시,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",36분전
4,경기 평택시,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",36분전
5,경기 부천시,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",37분전
6,경기 김포시,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",37분전
7,서울 송파구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",37분전
8,인천 서구,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
9,인천 부평구,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
10,경기 김포시,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
11,경기 부천시,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
12,경기 성남시,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
13,경기 수원시,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
14,경기 수원시,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
15,경기 오산시,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
16,경기 안산시,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
17,인천 미추홀,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
18,경기 고양시,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
19,경기 평택시,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",5시간전
20,서울 강남구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",22시간전
21,서울 도봉구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",22시간전
22,서울 중랑구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",22시간전
23,서울 중랑구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",22시간전
24,서울 광진구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",22시간전
25,서울 마포구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",22시간전
26,서울 서초구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",22시간전
27,서울 영등포,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",22시간전
28,인천 부평구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",22시간전
29,인천 부평구,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",22시간전
30,경기 성남시,(주)우아한청년들B마트,00:00~24:00,"시급 9,500원",22시간전
31,서울 중랑구,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",01/14
32,서울 성동구,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",01/14
33,서울 마포구,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",01/14
34,서울 구로구,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",01/14
35,서울 관악구,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",01/14
36,서울 송파구,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",01/14
37,서울 강남구,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",01/14
38,서울 강남구,(주)우아한청년들B마트,09:00~15:30,"시급 9,160원",01/14
