14:05:26
2022-01-18
68건
index,place,title,time,pay,date
1,인천 부평구,디플러스 부평4동지사,시간협의,"건별 4,000원",9분전
2,전국 전체,디플러스 둔촌지사,시간협의,"건별 4,500원",14분전
3,전국 전체,디플러스 둔촌지사,시간협의,"건별 4,500원",15분전
4,전국 전체,디플러스 둔촌지사,시간협의,"건별 4,500원",15분전
5,서울 강동구,디플러스 천호지사,시간협의,"일급 200,000원",3시간전
6,서울 강동구,디플러스 천호지사,시간협의,"일급 200,000원",3시간전
7,서울 강동구,디플러스 천호지사,시간협의,"일급 200,000원",3시간전
8,서울 강동구,디플러스 플러스명일지사,시간협의,"건별 4,500원",4시간전
9,서울 강동구,디플러스 플러스명일지사,시간협의,"건별 4,500원",4시간전
10,서울 강동구,디플러스 플러스명일지사,시간협의,"건별 4,500원",4시간전
11,서울 강동구,디플러스 고덕1지사,시간협의,"건별 4,500원",4시간전
12,서울 강동구,디플러스 고덕1지사,시간협의,"건별 4,500원",4시간전
13,서울 강동구,디플러스 고덕1지사,시간협의,"건별 4,500원",4시간전
14,인천 미추홀,디플러스 미르본사,시간협의,"건별 4,000원",4시간전
15,서울 강동구,디플러스 플러스천호지사,09:00~05:00,"건별 4,500원",4시간전
16,서울 강동구,디플러스 플러스천호지사,09:00~05:00,"건별 4,500원",4시간전
17,서울 강동구,디플러스 플러스천호지사,09:00~05:00,"건별 4,500원",4시간전
18,경기 하남시,디플러스 미사S지사,시간협의,"월급 5,000,000원",4시간전
19,경기 하남시,디플러스 미사S지사,시간협의,"월급 5,000,000원",4시간전
20,경기 하남시,디플러스 미사S지사,시간협의,"월급 5,000,000원",4시간전
21,서울 강동구,디플러스 길동지사,09:00~05:00,"건별 4,500원",5시간전
22,서울 강동구,디플러스 길동지사,09:00~05:00,"건별 4,500원",5시간전
23,서울 강동구,디플러스 길동지사,09:00~05:00,"건별 4,500원",5시간전
24,인천 미추홀,디플러스 미르본사,시간협의,"건별 4,000원",5시간전
25,인천 미추홀,디플러스 미르본사,시간협의,"건별 4,000원",5시간전
26,부산 금정구,디플러스 부산금정지사,시간협의,"일급 180,000원",5시간전
27,부산 금정구,디플러스 부산금정지사,시간협의,"일급 180,000원",5시간전
28,부산 금정구,디플러스 부산금정지사,시간협의,"일급 180,000원",5시간전
29,경기 하남시,디플러스 미사지사,시간협의,"월급 5,000,000원",6시간전
30,경기 하남시,디플러스 미사지사,시간협의,"월급 5,000,000원",6시간전
31,경기 하남시,디플러스 미사지사,시간협의,"월급 5,000,000원",6시간전
32,서울 강동구,디플러스 암사지사,시간협의,"건별 4,500원",8시간전
33,서울 강동구,디플러스 암사지사,시간협의,"건별 4,500원",8시간전
34,서울 강동구,디플러스 암사지사,시간협의,"건별 4,500원",8시간전
35,경기 하남시,디플러스 하남본부,시간협의,"건별 4,300원",17시간전
36,경기 하남시,디플러스 하남본부,시간협의,"건별 4,300원",17시간전
37,경기 하남시,디플러스 하남본부,시간협의,"건별 4,300원",17시간전
38,광주 광산구,디플러스 첨단디플러스,시간협의,"월급 5,000,000원",19시간전
39,경북 경산시,디플러스 경산지사,시간협의,"일급 150,000원",01/17
40,경북 경산시,디플러스 경산지사,시간협의,"일급 150,000원",01/17
41,경북 경산시,디플러스 경산지사,시간협의,"일급 150,000원",01/17
42,인천 미추홀,디플러스 인천더킹지사,시간협의,"건별 3,500원",01/16
43,인천 미추홀,디플러스 인천더킹지사,시간협의,"건별 3,500원",01/16
44,인천 미추홀,디플러스 인천더킹지사,시간협의,"건별 3,500원",01/16
45,서울 강동구,디플러스 강동.[상일고덕]지사,10:00~01:00,"건별 4,500원",01/16
46,서울 강동구,디플러스 강동.[상일고덕]지사,10:00~01:00,"건별 4,500원",01/16
47,서울 강동구,디플러스 강동.[상일고덕]지사,10:00~01:00,"건별 4,500원",01/16
48,서울 강동구,디플러스 명일A지사,시간협의,"월급 5,500,000원",01/14
49,서울 강동구,디플러스 명일A지사,시간협의,"월급 5,500,000원",01/14
50,서울 강동구,디플러스 명일A지사,시간협의,"월급 5,500,000원",01/14
51,부산 중구,디플러스 중구 달인콜(5호점),시간협의,"월급 5,000,000원",01/14
52,강원 춘천시,디플러스 춘천점,11:00~23:00,"월급 5,000,000원",01/14
53,강원 춘천시,디플러스 춘천점,11:00~23:00,"월급 5,000,000원",01/14
54,강원 춘천시,디플러스 춘천점,11:00~23:00,"월급 5,000,000원",01/14
55,인천 미추홀,디플러스 인천행복드림콜지사,시간협의,"월급 5,000,000원",01/12
56,인천 미추홀,디플러스 인천행복드림콜지사,시간협의,"월급 5,000,000원",01/12
57,서울 강동구,디플러스 명일지사,시간협의,"월급 6,000,000원",01/12
58,서울 강동구,디플러스 천호j지사,시간협의,"일급 250,000원",01/08
59,서울 강동구,디플러스 천호j지사,시간협의,"일급 250,000원",01/08
60,서울 강동구,디플러스 천호j지사,시간협의,"일급 250,000원",01/08
61,서울 강동구,디플러스 강동본부,시간협의,"건별 4,500원",01/08
62,서울 강동구,디플러스 강동본부,시간협의,"건별 4,500원",01/08
63,서울 강동구,디플러스 강동본부,시간협의,"건별 4,500원",01/08
64,대구 서구,디플러스 빨리와대구지사,시간협의,"건별 3,500원",01/08
65,대구 서구,디플러스 빨리와대구지사,시간협의,"건별 3,500원",01/08
66,대구 서구,디플러스 빨리와대구지사,시간협의,"월급 5,000,000원",01/08
67,인천 부평구,디플러스 부평4동지사,시간협의,"건별 4,000원",01/07
68,부산 중구,디플러스 중구 달인콜(5호점),시간협의,"월급 5,000,000원",01/03
