14:01:59
2022-01-18
132건
index,place,title,time,pay,date
1,경기 수원시,플레이타임그룹 판타지움 영통점 챔피언,시간협의,"시급 9,160원",8분전
2,경기 수원시,플레이타임그룹 판타지움 영통점 챔피언,시간협의,"시급 9,160원",9분전
3,경기 수원시,플레이타임그룹 판타지움 영통점 챔피언,시간협의,"시급 9,160원",9분전
4,경기 수원시,플레이타임그룹 판타지움 영통점 챔피언,시간협의,"시급 9,160원",9분전
5,경기 수원시,플레이타임그룹 판타지움 영통점 챔피언,시간협의,"시급 9,160원",9분전
6,경기 용인시,플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급 9,160원",29분전
7,경기 용인시,플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급 9,160원",30분전
8,경기 용인시,플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급 9,160원",30분전
9,경기 용인시,플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급 9,160원",30분전
10,경기 용인시,플레이타임그룹 롯데몰 수지점 챔피언,시간협의,"시급 9,160원",30분전
11,충북 청주시,플레이타임그룹 원더아리아 청주점 챔피,14:30~19:30,"시급 9,160원",2시간전
12,충북 청주시,플레이타임그룹 원더아리아 청주점 챔피,14:30~19:30,"시급 9,160원",2시간전
13,충북 청주시,플레이타임그룹 원더아리아 청주점 챔피,14:30~19:30,"시급 9,160원",2시간전
14,충북 청주시,플레이타임그룹 원더아리아 청주점 챔피,14:30~19:30,"시급 9,160원",2시간전
15,충북 청주시,플레이타임그룹 원더아리아 청주점 챔피,14:30~19:30,"시급 9,160원",2시간전
16,경기 하남시,플레이타임그룹 전국매장,시간협의,"월급 1,990,000원",2시간전
17,경기 화성시,플레이타임그룹 전국매장,시간협의,"월급 1,930,000원",2시간전
18,경기 김포시,플레이타임그룹 전국매장,시간협의,"월급 1,930,000원",4시간전
19,제주 서귀포,플레이타임그룹 전국매장,시간협의,"월급 1,930,000원",4시간전
20,강원 평창군,플레이타임그룹 용평리조트 챔피언더블랙,시간협의,"시급 9,660원",4시간전
21,강원 평창군,플레이타임그룹 용평리조트 챔피언더블랙,시간협의,"시급 9,660원",4시간전
22,강원 평창군,플레이타임그룹 용평리조트 챔피언더블랙,시간협의,"시급 9,660원",4시간전
23,강원 평창군,플레이타임그룹 용평리조트 챔피언더블랙,시간협의,"시급 9,660원",4시간전
24,강원 평창군,플레이타임그룹 용평리조트 챔피언더블랙,시간협의,"시급 9,660원",4시간전
25,서울 금천구,플레이타임그룹 W몰 가산점 플레이타임,13:30~19:30,"시급 9,160원",5시간전
26,서울 금천구,플레이타임그룹 W몰 가산점 플레이타임,13:30~19:30,"시급 9,160원",5시간전
27,서울 금천구,플레이타임그룹 W몰 가산점 플레이타임,13:30~19:30,"시급 9,160원",5시간전
28,서울 금천구,플레이타임그룹 W몰 가산점 플레이타임,13:30~19:30,"시급 9,160원",5시간전
29,서울 금천구,플레이타임그룹 W몰 가산점 플레이타임,13:30~19:30,"시급 9,160원",5시간전
30,서울 송파구,플레이타임그룹 현대아울렛 가든5점 애,10:00~14:00,"시급 9,160원",6시간전
31,서울 송파구,플레이타임그룹 현대아울렛 가든5점 애,10:00~14:00,"시급 9,160원",6시간전
32,서울 송파구,플레이타임그룹 현대아울렛 가든5점 애,10:00~14:00,"시급 9,160원",6시간전
33,서울 송파구,플레이타임그룹 현대아울렛 가든5점 애,10:00~14:00,"시급 9,160원",6시간전
34,서울 송파구,플레이타임그룹 현대아울렛 가든5점 애,10:00~14:00,"시급 9,160원",6시간전
