14:14:22
2022-01-18
26건
index,place,title,time,pay,date
1,서울 동대문,현대시티아울렛 동대문점,10:00~19:30,"시급 9,200원",2시간전
2,경기 성남시,현대백화점 판교점,10:00~19:30,"시급 9,200원",2시간전
3,경기 성남시,현대백화점 판교점,10:00~20:00,"시급 9,200원",2시간전
4,서울 송파구,현대백화점 현대시티몰 가든파이브점,10:00~19:30,"시급 9,500원",2시간전
5,대구 중구,현대백화점 대구점,11:00~20:00,"시급 10,000원",3시간전
6,서울 전체,현대백화점 현대시티몰 가든파이브점,10:00~19:30,"시급 9,500원",3시간전
7,경기 부천시,현대백화점 중동점,09:30~18:00,"시급 9,200원",4시간전
8,울산 동구,"현대백화점(울산점, 울산동구점)",시간협의,"시급 9,200원",4시간전
9,서울 강동구,현대백화점 천호점,10:00~19:00,"시급 9,200원",5시간전
10,서울 강남구,현대백화점,10:00~19:30,"시급 9,200원",01/17
11,서울 강남구,현대백화점,10:00~19:30,"시급 9,200원",01/17
12,서울 전체,현대시티아울렛 동대문점,10:00~19:00,"시급 9,200원",01/16
13,서울 영등포,더현대서울,09:30~19:00,"시급 9,200원",01/15
14,서울 강남구,한무쇼핑(주),10:00~19:00,"시급 9,200원",01/14
15,경기 남양주,현대프리미엄아울렛 SPACE1,10:30~20:00,"시급 9,200원",01/13
16,서울 영등포,더현대서울,11:00~20:30,"시급 9,200원",01/13
17,대전 전체,현대백화점 현대프리미엄아울렛 대전점,10:00~19:30,"시급 9,200원",01/11
18,서울 금천구,(주)현대백화점,09:00~18:00,"시급 9,200원",01/10
19,서울 금천구,(주)현대백화점,09:00~18:30,"월급 2,160,858원",01/10
20,서울 영등포,더현대서울,10:30~20:00,"시급 9,200원",01/09
21,서울 강남구,현대백화점,10:00~19:30,"시급 9,200원",01/09
22,서울 강남구,현대백화점,10:00~20:00,"시급 9,200원",01/09
23,경기 성남시,현대백화점 판교점,10:00~19:30,"시급 10,000원",01/08
24,서울 영등포,더현대서울,09:30~18:30,"시급 9,680원",01/07
25,인천 연수구,현대백화점 송도아울렛,10:00~19:00,"시급 9,200원",01/07
26,인천 연수구,현대프리미엄아울렛 송도점,10:00~19:30,"시급 9,200원",01/05
