14:11:12
2022-01-18
60건
index,place,title,time,pay,date
1,경기 평택시,홍대개미스타필드안성,11:00~21:00,"월급 2,300,000원",27분전
2,경기 평택시,홍대개미스타필드안성,11:00~21:00,"월급 2,300,000원",27분전
3,경기 평택시,홍대개미스타필드안성,11:00~21:00,"월급 2,300,000원",28분전
4,경기 안성시,홍대개미스타필드안성,11:00~21:00,"월급 2,300,000원",28분전
5,경기 안성시,홍대개미스타필드안성,11:00~21:00,"월급 2,300,000원",28분전
6,경기 안성시,홍대개미 스타필드 안성,11:00~21:00,"월급 2,300,000원",30분전
7,경기 안성시,홍대개미 스타필드 안성,11:00~21:00,"월급 2,300,000원",30분전
8,경기 평택시,홍대개미 스타필드 안성,11:00~21:00,"월급 2,300,000원",30분전
9,경기 평택시,홍대개미 스타필드 안성,11:00~21:00,"월급 2,300,000원",30분전
10,경기 평택시,홍대개미 스타필드 안성,11:00~21:00,"월급 2,300,000원",31분전
11,경기 수원시,홍대개미 갤러리아 광교 직영점,11:00~20:00,"월급 2,250,000원",52분전
12,부산 해운대,홍대개미 신세계백화점센텀시티점,09:00~20:00,"월급 2,250,000원",1시간전
13,광주 서구,홍대개미 신세계백화점 광주점,09:00~20:00,"월급 2,250,000원",2시간전
14,광주 서구,홍대개미 신세계백화점 광주점,09:00~20:00,"월급 2,250,000원",3시간전
15,서울 강남구,홍대개미 강남역점,11:00~21:00,"월급 2,250,000원",3시간전
16,서울 강남구,홍대개미 파르나스몰점,09:00~19:00,"월급 2,250,000원",3시간전
17,광주 서구,홍대개미 신세계백화점 광주점,09:00~20:00,"월급 2,250,000원",3시간전
18,서울 강남구,홍대개미 파르나스몰점,09:00~19:00,"월급 2,250,000원",3시간전
19,서울 강남구,홍대개미 강남역점,11:00~21:00,"월급 2,250,000원",3시간전
20,부산 해운대,홍대개미 신세계백화점센텀시티점,09:00~20:00,"월급 2,250,000원",3시간전
21,부산 부산진,홍대개미 삼정타워점,시간협의,"월급 2,700,000원",3시간전
22,부산 부산진,홍대개미 삼정타워점,시간협의,"월급 2,700,000원",4시간전
23,부산 중구,홍대개미 롯데백화점 광복점,10:00~21:00,"월급 2,250,000원",4시간전
24,경기 수원시,홍대개미 갤러리아 광교 직영점,11:00~20:00,"월급 2,250,000원",4시간전
25,부산 부산진,홍대개미 삼정타워점,시간협의,"월급 2,700,000원",4시간전
26,광주 서구,홍대개미 신세계백화점 광주점,09:00~20:00,"월급 2,250,000원",6시간전
27,서울 전체,홍대개미청량리역사점,09:00~21:30,"월급 2,250,000원",7시간전
28,부산 부산진,홍대개미 롯대백화점 부산본점,09:00~20:00,"월급 2,250,000원",7시간전
29,부산 부산진,홍대개미 롯대백화점 부산본점,09:00~20:00,"월급 2,250,000원",7시간전
30,부산 해운대,홍대개미 신세계백화점센텀시티점,09:00~20:00,"월급 2,250,000원",7시간전
31,부산 북구,홍대개미 덕천점,18:00~22:00,"시급 9,160원",7시간전
32,부산 부산진,홍대개미 삼정타워점,시간협의,"월급 2,700,000원",7시간전
33,부산 부산진,홍대개미 롯대백화점 부산본점,09:00~20:00,"월급 2,250,000원",8시간전
34,서울 종로구,홍대개미청량리역사점,09:00~21:30,"월급 2,250,000원",21시간전
35,서울 동대문,홍대개미청량리역사점,09:00~21:30,"월급 2,250,000원",21시간전
36,서울 전체,홍대개미청량리역사점,09:00~21:30,"월급 2,250,000원",21시간전
37,서울 성북구,홍대개미 현대백화점 미아점,12:00~16:30,"시급 9,160원",21시간전
38,서울 성북구,홍대개미 현대백화점 미아점,10:00~20:00,"월급 1,950,000원",22시간전
39,서울 마포구,홍대개미 공덕점,11:00~21:00,"월급 2,250,000원",23시간전
40,서울 강남구,홍대개미 강남역점,11:00~21:00,"월급 2,250,000원",01/17
41,서울 강남구,홍대개미 파르나스몰점,11:00~21:00,"월급 2,250,000원",01/17
42,서울 용산구,홍대개미 서울역사점,10:30~20:30,"월급 2,250,000원",01/17
43,서울 용산구,[홍대개미] 용산아이파크몰점 오픈,시간협의,"월급 2,250,000원",01/16
44,서울 용산구,[홍대개미] 용산아이파크몰점 오픈,시간협의,"월급 2,250,000원",01/16
45,서울 용산구,[홍대개미] 용산아이파크몰점 오픈,시간협의,"월급 2,250,000원",01/16
