14:15:57
2022-01-18
22건
index,place,title,time,pay,date
1,서울 서대문,1970새마을포차 신촌점,17:00~05:00,"시급 10,000원",1시간전
2,서울 서대문,1970새마을포차 신촌점,17:00~05:00,"시급 10,000원",1시간전
3,대구 중구,1970새마을포차 대구동성로점,시간협의,"시급 9,200원",4시간전
4,대구 중구,1970새마을포차 대구동성로점,시간협의,"시급 9,200원",4시간전
5,울산 동구,1970새마을포차 울산일산점,18:00~22:00,"시급 9,160원",21시간전
6,인천 남동구,1970새마을포차 인천구월점,시간협의,"시급 9,160원",22시간전
7,경기 의정부,1970새마을포차 의정부점,시간협의,"시급 9,500원",01/16
8,경기 의정부,1970새마을포차 의정부점,시간협의,"시급 10,000원",01/16
9,경기 수원시,1970새마을포차 수원역점,15:30~21:30,"월급 1,700,000원",01/15
10,경기 수원시,1970새마을포차 수원역점,15:30~21:30,"월급 1,700,000원",01/15
11,경기 수원시,1970새마을포차 수원역점,15:30~21:30,"월급 1,700,000원",01/15
12,경남 창원시,1970새마을포차 창원상남점,시간협의,"시급 10,500원",01/15
13,경남 창원시,1970새마을포차 창원상남점,시간협의,"시급 10,500원",01/15
14,경남 창원시,1970새마을포차 창원상남점,시간협의,"시급 10,500원",01/15
15,대구 중구,1970새마을포차 대구동성로점,시간협의,"시급 9,200원",01/15
16,대구 중구,1970새마을포차 대구동성로점,시간협의,"시급 9,200원",01/15
17,경남 창원시,1970새마을포차 마산합성점,05:00~23:00,"시급 9,300원",01/15
18,경남 창원시,1970새마을포차 마산합성점,05:00~23:00,"시급 9,300원",01/15
19,경남 창원시,1970새마을포차 마산합성점,05:00~23:00,"시급 9,300원",01/15
20,경남 창원시,1970새마을포차 마산합성점,05:00~23:00,"시급 9,300원",01/14
21,경남 창원시,1970새마을포차 창원상남점,시간협의,"시급 10,500원",01/13
22,경기 수원시,1970새마을포차 수원역점,15:30~21:30,"월급 1,700,000원",01/12
