14:09:32
2022-01-18
59건
index,place,title,time,pay,date
1,인천 계양구,7번가피자 계양점,17:30~23:30,"시급 9,160원",11분전
2,서울 송파구,7번가피자문정가락점,시간협의,"시급 9,500원",25분전
3,대구 전체,7번가피자 신천점,17:00~22:00,"시급 9,160원",1시간전
4,부산 동구,"7thpizza 진역,초량점",17:00~11:00,"시급 11,000원",1시간전
5,경기 부천시,7번가피자 범박점,시간협의,"시급 12,000원",1시간전
6,서울 마포구,7번가피자 서교망원점,시간협의,"시급 11,000원",1시간전
7,충북 청주시,7번가피자  용암점,12:00~22:00,"시급 9,500원",2시간전
8,경기 남양주,7번가피자 다산신도시점,시간협의,"시급 9,500원",2시간전
9,서울 구로구,공유다,시간협의,"월급 3,000,000원",2시간전
10,서울 구로구,7번가 구로가산디지털단지점,시간협의,"건별 4,300원",2시간전
11,서울 강동구,7번가피자 성내점,17:00~22:00,"시급 10,700원",2시간전
12,대전 중구,7번가피자태평유천점,시간협의,"시급 9,160원",2시간전
13,대구 북구,7번가피자 칠곡점,18:00~23:00,"시급 9,160원",2시간전
14,대구 북구,7번가피자 칠곡점,11:00~23:00,"시급 9,500원",2시간전
15,전남 목포시,7번가피자포미연산점,시간협의,"시급 9,160원",3시간전
16,서울 강동구,7번가피자 성내점,17:00~22:00,"시급 10,700원",3시간전
17,서울 마포구,7번가피자 서교망원점,시간협의,"시급 9,160원",3시간전
18,경기 수원시,7번가피자 정자점,18:00~23:00,"시급 9,160원",3시간전
19,서울 노원구,7번가 피자 상계점,11:00~21:00,"주급 600,000원",3시간전
20,서울 노원구,7번가 피자 상계점,11:00~21:00,"주급 700,000원",3시간전
21,서울 노원구,7번가 피자 상계점,11:00~21:00,"주급 700,000원",3시간전
22,서울 노원구,7번가 피자 상계점,11:00~21:00,"주급 600,000원",3시간전
23,서울 동대문,7번가피자 장안점,17:00~22:00,"시급 10,500원",4시간전
24,서울 노원구,7번가 피자 상계점,11:00~21:00,"주급 700,000원",5시간전
25,인천 서구,7번가피자 청라점,17:00~21:00,"시급 9,160원",5시간전
26,충북 청주시,7번가피자  용암점,시간협의,"월급 2,400,000원",6시간전
27,경남 창원시,7번가피자 석동점,17:00~22:00,"시급 10,000원",6시간전
28,서울 동대문,7번가피자 장안점,17:00~22:00,"시급 10,500원",6시간전
29,대전 전체,7번가피자 노은점,19:00~23:30,"시급 13,000원",6시간전
30,서울 동대문,7번가피자 장안점,17:00~22:00,"시급 10,500원",7시간전
31,서울 강동구,7번가피자 성내점,17:00~22:00,"시급 10,700원",7시간전
32,대전 중구,7번가피자태평유천점,시간협의,"시급 9,160원",7시간전
33,경남 김해시,7번가피자 김해내외동점,18:00~23:00,"시급 10,500원",7시간전
34,서울 동대문,7번가피자 장안점,17:00~22:00,"시급 10,500원",7시간전
35,충북 청주시,7번가피자 율량점,시간협의,"월급 2,400,000원",8시간전
36,서울 동대문,7번가피자 장안점,17:00~22:00,"시급 10,500원",15시간전
37,경북 경산시,7번가피자 경산사동점,17:30~22:30,"시급 9,160원",01/17
38,울산 중구,7번가피자 약사병영점,18:00~23:00,"시급 9,160원",01/16
39,대구 전체,7번가피자 신천점,17:00~22:00,"시급 9,160원",01/16
40,대전 중구,7번가피자태평유천점,시간협의,"시급 9,160원",01/16
41,서울 송파구,7번가피자문정가락점,17:00~22:00,"시급 9,500원",01/15
42,전남 순천시,7번가피자 순천호수공원점,17:00~22:00,"시급 9,200원",01/15
43,경기 남양주,7번가피자 다산신도시점,시간협의,"시급 9,500원",01/15
44,제주 제주시,7번가피자 제주이도점,시간협의,"월급 2,300,000원",01/15
45,대구 전체,7번가피자 신천점,17:00~22:00,"시급 9,160원",01/15
46,전남 순천시,7번가피자 순천오천점,시간협의,"시급 9,200원",01/15
47,충북 청주시,7번가피자  용암점,12:00~23:00,"시급 9,500원",01/15
48,경기 용인시,7번가피자 죽전점,17:00~21:00,"시급 9,160원",01/13
49,충북 청주시,7번가피자  용암점,시간협의,"월급 2,400,000원",01/13
50,충북 청주시,7번가피자 율량점,시간협의,"월급 2,400,000원",01/13
51,대구 전체,7번가피자 신천점,17:00~22:00,"시급 9,160원",01/13
52,강원 전체,7번가피자 강원둔내점,12:00~21:00,"시급 9,500원",01/12
53,대전 중구,7번가피자태평유천점,시간협의,"시급 9,160원",01/12
54,서울 송파구,7번가피자문정가락점,시간협의,"시급 9,500원",01/11
55,경남 창원시,7번가피자 석동점,17:00~22:00,"시급 10,000원",01/10
56,부산 해운대,7번가피자 송정점,시간협의,"시급 9,160원",01/10
57,경남 창원시,7번가피자 석동점,17:00~22:00,"시급 10,000원",01/07
58,부산 해운대,7번가피자 송정점,시간협의,"시급 9,160원",01/05
59,충북 청주시,7번가피자 테크노폴리스점,18:00~22:00,"시급 9,160원",01/03
