13:59:10
2022-01-18
52건
index,place,title,time,pay,date
1,대전 서구,(주)이랜드월드 폴더 대전둔산점,11:00~20:00,"시급 9,160원",8분전
2,부산 중구,폴더 폴더,12:00~21:00,"시급 9,160원",1시간전
3,서울 영등포,(주)이랜드월드 스파오 타임스퀘어,시간협의,"시급 9,160원",1시간전
4,경기 안성시,(주)이랜드월드,13:00~22:00,"시급 9,160원",2시간전
5,대구 중구,(주)이랜드월드,시간협의,"시급 9,160원",2시간전
6,경기 평택시,(주)이랜드월드 스파오,시간협의,"시급 9,160원",2시간전
7,대전 전체,(주)이랜드월드 스파오,시간협의,"시급 9,160원",2시간전
8,대전 전체,(주)이랜드월드 스파오,시간협의,"시급 9,160원",2시간전
9,인천 남동구,미쏘인천점,시간협의,"시급 9,160원",3시간전
10,서울 서초구,(주)이랜드월드 스파오,시간협의,"시급 9,160원",3시간전
11,경기 수원시,폴더 롯데수원점,10:00~19:00,"시급 9,160원",5시간전
12,경기 고양시,MIXXO 일산롯데점,09:00~22:30,"시급 9,160원",5시간전
13,인천 남동구,미쏘인천점,시간협의,"시급 9,160원",6시간전
14,서울 강남구,미쏘강남점,시간협의,"시급 9,160원",7시간전
15,세종 전체,(주)이랜드월드 스파오,시간협의,"시급 9,160원",7시간전
16,경기 수원시,폴더 롯데수원점,10:00~19:00,"시급 9,160원",8시간전
17,서울 강남구,미쏘코엑스,시간협의,"시급 9,160원",8시간전
18,부산 중구,폴더 폴더,12:00~21:00,"시급 9,160원",8시간전
19,경기 수원시,폴더 롯데수원점,10:00~19:00,"시급 9,160원",19시간전
20,서울 관악구,(주)이랜드월드 스파오,시간협의,"시급 9,160원",21시간전
21,경기 안성시,(주)이랜드월드,시간협의,"시급 9,160원",22시간전
22,세종 전체,미쏘 세종AK점,시간협의,"시급 9,160원",23시간전
23,부산 중구,폴더 폴더,12:00~21:00,"시급 9,160원",01/16
24,경북 구미시,폴더 폴더,시간협의,"시급 9,160원",01/16
25,인천 남동구,미쏘인천점,시간협의,"시급 9,160원",01/16
26,서울 금천구,(주)이랜드월드 스파오,시간협의,"시급 9,160원",01/15
27,서울 강남구,미쏘코엑스,13:00~22:00,"시급 9,160원",01/15
28,서울 강남구,미쏘강남점,시간협의,"시급 9,160원",01/15
29,경기 하남시,폴더 하남스타필드점,13:00~22:00,"시급 9,160원",01/15
30,서울 마포구,(주)이랜드월드 스파오 합정점,시간협의,"시급 9,160원",01/14
31,서울 중구,미쏘 명동점,시간협의,"시급 9,160원",01/12
32,전북 전주시,폴더 전주효자점,시간협의,"시급 9,160원",01/12
33,충북 청주시,폴더 청주성안점,11:00~20:00,"시급 9,160원",01/11
34,인천 남동구,미쏘인천점,시간협의,"시급 9,160원",01/11
35,부산 중구,폴더 폴더,12:00~21:00,"시급 9,160원",01/10
36,서울 강남구,미쏘코엑스,시간협의,"시급 9,160원",01/09
37,경기 안성시,미쏘 안성스타필드점,14:00~21:00,"시급 9,160원",01/09
38,부산 중구,폴더 폴더,12:00~21:00,"시급 9,160원",01/08
39,충북 청주시,(주)이랜드월드 폴더 청주지웰점,10:00~20:00,"시급 9,160원",01/08
40,경기 성남시,야탑NC 미쏘,시간협의,"시급 9,160원",01/08
41,충북 청주시,(주)이랜드월드 폴더 청주지웰점,10:00~20:00,"시급 9,160원",01/06
42,서울 강남구,미쏘강남점,시간협의,"시급 9,160원",01/05
43,서울 강남구,미쏘강남점,시간협의,"시급 9,160원",01/05
44,경기 안성시,미쏘 안성스타필드점,12:00~21:00,"시급 9,160원",01/05
45,경북 구미시,폴더 구미점,11:00~20:00,"시급 9,160원",01/04
46,충북 청주시,(주)이랜드월드 폴더 청주지웰점,10:00~20:00,"시급 9,160원",01/04
47,경기 하남시,폴더 하남스타필드점,12:00~21:00,"시급 9,160원",01/03
48,서울 금천구,(주)이랜드월드,시간협의,"시급 9,160원",01/03
49,전북 전주시,폴더 전주효자점,시간협의,"시급 9,160원",01/03
50,대구 중구,(주)이랜드월드 스파오 동성로중앙점,시간협의,"시급 9,160원",01/02
51,부산 중구,폴더 폴더,12:00~21:00,"시급 9,160원",01/02
52,충북 청주시,(주)이랜드월드 폴더 청주지웰점,10:00~20:00,"시급 9,160원",01/02
