place,title,time,pay,date
서울 전체,GS리테일 H&B  아차산역점,10:00~14:30,"시급 9,160원",43분전
경남 진주시,(주)지에스리테일 랄라블라 진주평거점,10:00~15:30,"시급 9,160원",4시간전
경남 진주시,(주)지에스리테일 랄라블라 진주평거점,14:00~17:00,"시급 9,160원",4시간전
서울 양천구,(주)지에스리테일 랄라블라 파리공원점,17:30~20:30,"시급 9,160원",4시간전
경기 수원시,(주)지에스리테일,17:00~22:00,"시급 9,160원",4시간전
경남 진주시,(주)지에스리테일 랄라블라 진주평거점,16:30~22:30,"시급 9,160원",4시간전
경남 진주시,(주)지에스리테일 랄라블라 진주평거점,10:00~15:30,"시급 9,160원",5시간전
서울 강북구,(주)지에스리테일 랄라블라미아사거리점,10:30~15:00,"시급 9,160원",01/16
서울 서대문,(주)지에스리테일 랄라블라,10:00~13:00,"시급 9,160원",01/15
경남 진주시,(주)지에스리테일,시간협의,"시급 9,160원",01/15
경기 김포시,GS리테일 랄라블라 김포구래점,18:30~23:00,"시급 9,160원",01/13
경기 김포시,GS리테일 랄라블라 김포구래점,10:00~14:30,"시급 9,160원",01/13
