14:09:13
2022-01-18
205건
index,place,title,time,pay,date
1,인천 연수구,GS수퍼마켓 송도센트럴시티점,시간협의,"시급 9,160원",4분전
2,경기 의왕시,GS수퍼마켓 의왕점,시간협의,"시급 9,160원",4분전
3,경기 의왕시,GS수퍼마켓 의왕점,16:00~23:00,"시급 9,160원",7분전
4,경기 남양주,GS수퍼마켓 다산금강펜테리움,08:30~15:00,"시급 9,160원",12분전
5,경북 포항시,GS수퍼마켓 포항양덕점,시간협의,"시급 9,160원",21분전
6,경북 포항시,GS수퍼마켓 포항양덕점,시간협의,"시급 9,160원",21분전
7,서울 영등포,GS수퍼마켓 신길사러가점,14:00~23:00,"시급 9,160원",24분전
8,경북 구미시,GS수퍼마켓 구미신당점F1,18:00~23:00,"시급 9,160원",25분전
9,서울 영등포,GS수퍼마켓 신길사러가점,09:00~16:00,"시급 9,160원",26분전
10,서울 영등포,GS수퍼마켓 신길사러가점,16:00~23:00,"시급 9,160원",27분전
11,강원 원주시,GS수퍼마켓 원주혁신점,시간협의,"시급 9,160원",30분전
12,경기 성남시,GS수퍼마켓 미래점,15:30~22:30,"시급 9,160원",31분전
13,강원 원주시,GS수퍼마켓 원주혁신점,시간협의,"시급 9,160원",31분전
14,경기 김포시,GS수퍼마켓 김포감정점,16:00~23:00,"시급 9,160원",32분전
15,대전 대덕구,GS수퍼마켓 신탄진점,시간협의,"시급 9,160원",36분전
16,대전 대덕구,GS수퍼마켓 신탄진점,16:00~23:00,"시급 9,160원",38분전
17,경북 포항시,GS수퍼마켓 포항죽도점,시간협의,"시급 9,160원",40분전
18,경북 포항시,GS수퍼마켓 포항죽도점,08:00~12:30,"시급 10,000원",42분전
19,경북 포항시,GS수퍼마켓 포항죽도점,시간협의,"시급 9,160원",42분전
20,경기 파주시,GS수퍼마켓 파주야당점,09:00~16:00,"시급 9,160원",51분전
21,경기 군포시,GS수퍼마켓 군포오금점,시간협의,"시급 9,160원",1시간전
22,경기 남양주,GS수퍼마켓 남양주묵현점F1,시간협의,"연봉 42,000,000원",1시간전
23,경기 파주시,GS수퍼마켓 파주문산점,16:00~23:00,"시급 9,160원",1시간전
24,경기 전체,GS수퍼마켓 용인한숲시티4점,시간협의,"월급 1,914,440원",1시간전
25,서울 마포구,GS수퍼마켓 마포상암점,시간협의,"시급 9,160원",1시간전
26,경북 포항시,GS수퍼마켓 포항연일점,08:00~13:30,"시급 9,160원",1시간전
27,경남 창원시,GS수퍼마켓 창원감계점,16:00~22:30,"시급 9,160원",1시간전
28,경기 안양시,GS수퍼마켓 안양석수점,18:00~23:00,"시급 9,160원",1시간전
29,충남 아산시,GS수퍼마켓 아산탕정점,16:00~23:00,"시급 9,160원",2시간전
30,충북 청주시,GS수퍼마켓 청주오창점,16:00~23:00,"월급 1,864,060원",2시간전
31,충북 청주시,GS수퍼마켓 청주주성점,07:00~13:00,"월급 1,584,680원",2시간전
32,충남 천안시,GS수퍼마켓 천안점,시간협의,"시급 9,160원",2시간전
33,서울 영등포,GS수퍼마켓 여의도점,시간협의,"시급 9,160원",2시간전
34,서울 영등포,GS수퍼마켓 여의도점,시간협의,"시급 9,160원",2시간전
35,서울 영등포,GS수퍼마켓 여의도점,시간협의,"시급 9,160원",2시간전
36,경기 안산시,GS수퍼마켓 안산그랑시티자이점N,17:00~21:00,"시급 9,160원",2시간전
37,경기 시흥시,GS수퍼마켓 배곧신도시점,12:00~21:00,"일급 80,000원",2시간전
38,부산 강서구,GS수퍼마켓 부산지사점,18:30~23:00,"시급 9,160원",2시간전
39,강원 강릉시,GS수퍼마켓 강릉입암점,10:00~13:00,"시급 10,000원",2시간전
40,부산 강서구,GS수퍼마켓 부산지사점,08:00~15:00,"월급 1,477,280원",2시간전
41,부산 강서구,GS수퍼마켓 부산지사점,08:00~15:00,"월급 1,477,280원",2시간전
42,부산 강서구,GS수퍼마켓 부산지사점,16:00~23:00,"월급 1,650,000원",2시간전
