14:09:19
2022-01-18
134건
index,place,title,time,pay,date
1,서울 중랑구,KFC 사가정,18:00~01:30,"시급 9,160원",23분전
2,서울 중랑구,KFC 사가정,18:00~01:30,"시급 9,160원",24분전
3,강원 춘천시,KFC 춘천이마트,시간협의,"시급 9,160원",31분전
4,경기 파주시,KFC 야당역,17:00~01:00,"시급 9,160원",55분전
5,경북 포항시,KFC 포항양덕DT,09:30~17:00,"시급 9,160원",2시간전
6,서울 서초구,KFC 강남고속터미널,18:00~01:00,"시급 9,160원",2시간전
7,서울 서초구,KFC 강남고속터미널,17:00~23:00,"시급 9,160원",2시간전
8,울산 남구,KFC 울산현대,시간협의,"시급 9,160원",2시간전
9,울산 남구,KFC 울산현대,시간협의,"시급 9,160원",2시간전
10,서울 전체,KFC 상암DMC,시간협의,"시급 9,160원",2시간전
11,경기 남양주,KFC 덕소,시간협의,"시급 9,160원",2시간전
12,서울 동대문,KFC 청량리역사,11:30~17:00,"시급 9,160원",2시간전
13,서울 강남구,KFC 학동역,08:00~15:00,"시급 9,160원",3시간전
14,서울 강남구,KFC 학동역,17:00~23:00,"시급 9,160원",3시간전
15,서울 강남구,KFC 학동역,08:00~15:00,"시급 9,160원",3시간전
16,서울 강남구,KFC 학동역,17:00~23:00,"시급 9,160원",3시간전
17,서울 강남구,KFC 학동역,08:00~15:00,"시급 9,160원",3시간전
18,서울 강서구,KFC 화곡역,시간협의,"시급 9,160원",3시간전
19,서울 동대문,KFC 한국외대,시간협의,"시급 9,160원",3시간전
20,강원 춘천시,KFC 춘천석사,시간협의,"시급 9,160원",3시간전
21,강원 춘천시,KFC 춘천석사,시간협의,"시급 9,160원",3시간전
22,서울 강서구,KFC 염창동,시간협의,"시급 9,160원",3시간전
23,서울 강서구,KFC 염창동,시간협의,"시급 9,160원",3시간전
24,경기 안양시,KFC 안양일번가,18:00~01:00,"시급 9,160원",4시간전
25,경기 파주시,KFC 야당역,17:00~01:00,"시급 9,160원",4시간전
26,경기 안양시,KFC 안양일번가,18:00~01:00,"시급 9,160원",4시간전
27,경기 부천시,KFC 부천상동HP,시간협의,"시급 9,160원",4시간전
28,서울 용산구,KFC 한남순천향,시간협의,"시급 9,160원",4시간전
29,제주 서귀포,KFC 서귀포중문DT,시간협의,"시급 9,160원",4시간전
30,서울 영등포,KFC 당산역,시간협의,"시급 9,160원",5시간전
31,대전 서구,KFC 대전시청역,시간협의,"시급 9,160원",5시간전
32,경기 평택시,KFC 평택,시간협의,"시급 9,160원",14시간전
33,인천 연수구,KFC 인천송도,시간협의,"시급 9,160원",20시간전
34,경기 하남시,KFC 하남시청,시간협의,"시급 9,160원",01/17
35,서울 전체,KFC 강남역,17:00~23:00,"시급 9,160원",01/17
36,서울 전체,KFC 강남역,10:00~17:00,"시급 9,160원",01/17
37,서울 전체,KFC 강남역,17:00~23:00,"시급 9,160원",01/17
38,서울 전체,KFC 강남역,10:00~17:00,"시급 9,160원",01/17
39,경기 수원시,KFC 영통씨네마,시간협의,"시급 9,160원",01/17
40,경기 하남시,KFC 하남시청,시간협의,"시급 9,160원",01/17
41,대전 유성구,KFC 노은역,시간협의,"시급 9,160원",01/16
42,경남 진주시,KFC 진주이마트,17:00~23:00,"시급 9,160원",01/16
43,대전 유성구,KFC 노은역,시간협의,"시급 9,160원",01/16
44,대전 유성구,KFC 노은역,시간협의,"시급 9,160원",01/16
45,제주 서귀포,KFC 서귀포중문DT,시간협의,"시급 9,160원",01/16
46,인천 서구,KFC 인천청라,시간협의,"시급 9,160원",01/16
47,충남 아산시,KFC 아산터미널,17:00~22:30,"시급 9,160원",01/15
48,경북 경산시,KFC 영남대,10:00~00:30,"시급 9,160원",01/15
49,경북 경산시,KFC 영남대,10:00~00:30,"시급 9,160원",01/15
50,대전 유성구,KFC 노은역,시간협의,"시급 9,160원",01/15
51,대전 유성구,KFC 노은역,시간협의,"시급 9,160원",01/15
52,전남 순천시,KFC 순천연향동,시간협의,"시급 9,160원",01/15
53,전남 순천시,KFC 순천연향동,시간협의,"시급 9,160원",01/15
54,서울 영등포,KFC 동여의도,시간협의,"시급 9,160원",01/15
55,울산 동구,KFC 울산명덕,시간협의,"시급 9,160원",01/15
56,인천 연수구,KFC 인천송도,시간협의,"시급 9,160원",01/15
57,경기 하남시,KFC 하남시청,시간협의,"시급 9,160원",01/15
58,울산 남구,KFC 울산현대,시간협의,"시급 9,160원",01/14
59,서울 용산구,KFC 숙대입구,시간협의,"시급 9,160원",01/14
60,경기 부천시,KFC 부천상동HP,17:00~22:00,"시급 9,160원",01/14
61,서울 전체,KFC 상암DMC,시간협의,"시급 9,160원",01/14
62,경기 부천시,KFC 부천중동,시간협의,"월급 2,000,000원",01/14
63,서울 영등포,KFC 당산역,시간협의,"시급 9,160원",01/14
64,경기 하남시,KFC 하남시청,시간협의,"시급 9,160원",01/13
65,경기 안양시,KFC 안양호계,시간협의,"시급 9,160원",01/13
66,인천 연수구,KFC 인천송도,시간협의,"시급 9,160원",01/13
67,서울 서초구,KFC 서초동,시간협의,"시급 9,160원",01/13
68,대전 전체,KFC 유성온천,시간협의,"연봉 29,500,000원",01/13
69,제주 서귀포,KFC 서귀포중문DT,시간협의,"시급 9,160원",01/13
70,대구 수성구,KFC 황금동,17:00~24:00,"시급 9,160원",01/12
71,경기 고양시,KFC 주엽,시간협의,"시급 9,160원",01/12
72,충북 청주시,KFC 청주수곡DT,시간협의,"시급 9,160원",01/12
73,충북 청주시,KFC 청주오창,시간협의,"시급 9,160원",01/12
74,충북 청주시,KFC 청주오창,시간협의,"시급 9,160원",01/12
75,세종 전체,KFC 세종이마트,시간협의,"연봉 2,850,000원",01/12
76,세종 전체,KFC 세종이마트,시간협의,"시급 9,160원",01/12
77,서울 용산구,KFC 한남순천향,시간협의,"시급 9,160원",01/12
78,대전 서구,KFC 대전시청역,시간협의,"시급 9,160원",01/12
79,충북 청주시,KFC 청주메가폴리스,11:00~22:00,"시급 9,160원",01/12
80,경기 양주시,KFC 양주고읍,시간협의,"시급 9,160원",01/12
81,울산 남구,KFC 울산현대,시간협의,"시급 9,160원",01/12
82,대전 서구,KFC 대전타임월드,시간협의,"시급 9,160원",01/12
83,경기 부천시,KFC 부천중동,17:00~24:00,"시급 9,160원",01/12
84,서울 용산구,KFC 숙대입구,시간협의,"시급 9,160원",01/12
85,경기 고양시,KFC 행신역,시간협의,"시급 9,160원",01/12
86,경기 고양시,KFC 행신역,시간협의,"시급 9,160원",01/12
87,서울 영등포,KFC 당산역,시간협의,"시급 9,160원",01/11
88,서울 은평구,KFC 연신내역,시간협의,"시급 9,160원",01/10
89,경기 평택시,KFC 평택,시간협의,"시급 9,160원",01/10
90,전남 순천시,KFC 순천연향동,시간협의,"시급 9,160원",01/10
91,전남 순천시,KFC 순천연향동,시간협의,"시급 9,160원",01/10
92,인천 서구,KFC 인천청라,시간협의,"시급 9,160원",01/10
93,경기 안산시,KFC 안산중앙,시간협의,"시급 9,160원",01/10
94,서울 용산구,KFC 한남순천향,시간협의,"시급 9,160원",01/10
95,강원 춘천시,KFC 춘천이마트,시간협의,"시급 9,160원",01/10
96,경기 수원시,KFC 영통씨네마,시간협의,"시급 9,160원",01/09
97,서울 영등포,KFC 당산역,시간협의,"시급 9,160원",01/09
98,대전 중구,KFC 은행동1,시간협의,"시급 9,160원",01/09
99,대전 유성구,KFC 유성온천,시간협의,"시급 9,160원",01/09
100,강원 춘천시,KFC 춘천이마트,시간협의,"시급 9,160원",01/08
101,서울 강서구,KFC 목동사거리,시간협의,"시급 9,160원",01/08
102,제주 서귀포,KFC 서귀포중문DT,시간협의,"시급 9,160원",01/07
103,경기 남양주,KFC 진접,시간협의,"시급 9,160원",01/07
104,서울 강서구,KFC 발산역,시간협의,"시급 9,160원",01/07
105,경기 광명시,KFC 하안동,11:00~18:00,"시급 9,160원",01/07
106,경기 포천시,KFC 베어스타운,시간협의,"시급 9,160원",01/07
107,경기 구리시,KFC 구리돌다리,시간협의,"시급 9,160원",01/06
108,서울 강서구,KFC 화곡역,시간협의,"시급 9,160원",01/06
109,부산 부산진,KFC 부산지오21,시간협의,"시급 9,160원",01/06
110,대전 서구,KFC 대전시청역,시간협의,"시급 9,160원",01/06
111,경기 고양시,KFC 일산후곡,17:00~24:00,"시급 9,160원",01/06
112,경기 부천시,KFC 웅진플레이도시,10:30~23:00,"시급 9,160원",01/05
113,충남 당진시,KFC 당진,시간협의,"시급 9,160원",01/05
114,서울 영등포,KFC 당산역,시간협의,"시급 9,160원",01/05
115,경기 안양시,KFC 안양일번가,18:00~01:00,"시급 9,160원",01/05
116,경남 창원시,KFC 창원상남동,09:30~24:00,"시급 9,160원",01/05
117,대구 서구,KFC 내당동,시간협의,"시급 9,160원",01/04
118,인천 연수구,KFC 인천송도,시간협의,"시급 9,160원",01/03
119,서울 강서구,KFC 목동사거리,18:00~24:00,"시급 9,160원",01/03
120,경기 평택시,KFC 평택,시간협의,"시급 9,160원",01/03
121,인천 전체,KFC 인천구월,시간협의,"시급 9,160원",01/03
122,경기 수원시,KFC 영통씨네마,시간협의,"시급 9,160원",01/03
123,서울 은평구,KFC 불광역,09:00~24:00,"시급 9,160원",01/03
124,서울 서대문,KFC 신촌역,시간협의,"시급 9,160원",01/03
125,서울 서대문,KFC 신촌역,시간협의,"시급 9,160원",01/03
126,서울 서대문,KFC 신촌역,시간협의,"시급 9,160원",01/03
127,인천 전체,KFC 검단,시간협의,"시급 9,160원",01/03
128,경기 구리시,KFC 구리돌다리,시간협의,"시급 9,160원",01/02
129,세종 전체,KFC 세종이마트,시간협의,"시급 9,160원",01/02
130,대전 유성구,KFC 유성온천,시간협의,"시급 9,160원",01/02
131,대전 유성구,KFC 유성온천,시간협의,"시급 9,160원",01/02
132,대전 유성구,KFC 유성온천,시간협의,"시급 9,160원",01/02
133,서울 서대문,KFC 명지대,시간협의,"시급 9,160원",01/02
