14:14:15
2022-01-18
124건
index,place,title,time,pay,date
1,경기 시흥시,SK에너지 (주)시흥에너지 배곧주유소,08:00~18:00,"월급 2,850,000원",3시간전
2,경기 안양시,SK에너지 기쁨두배주유소,13:00~19:00,"시급 9,160원",4시간전
3,경기 안양시,SK에너지 기쁨두배주유소,05:00~12:00,"시급 9,160원",4시간전
4,경기 고양시,SK에너지 SK화정주유소,시간협의,"시급 9,160원",5시간전
5,경기 시흥시,SK에너지 은계충전소,18:00~24:00,"시급 9,160원",5시간전
6,경기 의왕시,SK에너지 HG에너지(주)대원주유소,09:00~19:00,"월급 2,400,000원",5시간전
7,경기 의왕시,SK에너지 HG에너지(주)대원주유소,09:00~19:00,"월급 2,400,000원",5시간전
8,경기 의왕시,SK에너지 HG에너지(주)대원주유소,09:00~19:00,"월급 2,400,000원",5시간전
9,서울 전체,SK에너지 풍한주유소,시간협의,"시급 9,160원",21시간전
10,서울 동대문,SK에너지 신반포주유소,10:00~17:00,"시급 10,000원",22시간전
11,경기 의왕시,SK에너지 HG에너지(주)대원주유소,09:00~19:00,"월급 2,400,000원",01/17
12,경기 의왕시,SK에너지 HG에너지(주)대원주유소,09:00~19:00,"월급 2,400,000원",01/17
13,경기 의왕시,SK에너지 현대주유소,09:00~18:00,"시급 9,160원",01/17
14,서울 서초구,SK에너지 양재주유소,시간협의,"시급 9,160원",01/17
15,경기 오산시,SK에너지 KH에너지㈜직영 오산(동탄,10:00~19:00,"월급 2,721,000원",01/17
16,경기 광주시,SK에너지 기름나라주유소,09:00~18:00,"월급 2,500,000원",01/17
17,서울 마포구,SK에너지 대흥주유소,11:30~19:30,"월급 2,254,000원",01/17
18,경남 양산시,SK에너지 양산주유소,12:00~16:00,"시급 9,160원",01/17
19,서울 동대문,SK에너지 삼영주유소,10:00~18:00,"시급 9,160원",01/17
20,서울 동대문,SK에너지 삼영주유소,10:00~17:00,"시급 9,160원",01/17
21,서울 송파구,SK에너지 한강에너지(주)퍼스트주유소,09:00~19:00,"월급 2,400,000원",01/17
22,서울 송파구,SK에너지 한강에너지(주)퍼스트주유소,09:00~19:00,"월급 2,400,000원",01/17
23,서울 송파구,SK에너지 한강에너지(주)퍼스트주유소,09:00~19:00,"월급 2,400,000원",01/17
24,서울 송파구,SK에너지 한강에너지(주)퍼스트주유소,09:00~19:00,"월급 2,400,000원",01/17
25,서울 송파구,SK에너지 한강에너지(주)퍼스트주유소,09:00~19:00,"월급 2,400,000원",01/17
26,경기 성남시,SK에너지 한강에너지(주),09:00~19:00,"월급 2,400,000원",01/17
27,경기 성남시,SK에너지 한강에너지(주),09:00~19:00,"월급 2,400,000원",01/17
28,경기 성남시,SK에너지 한강에너지(주),09:00~19:00,"월급 2,400,000원",01/17
29,경기 성남시,SK에너지 한강에너지(주),09:00~19:00,"월급 2,400,000원",01/17
30,경기 성남시,SK에너지 한강에너지(주),09:00~19:00,"월급 2,400,000원",01/17
31,경남 밀양시,SK에너지 예림주유소,시간협의,"시급 9,160원",01/17
32,경기 용인시,SK에너지 언남신도시주유소,20:00~06:00,"시급 9,200원",01/16
33,경기 광주시,SK에너지 기름나라주유소,09:00~18:00,"시급 9,160원",01/16
34,경기 오산시,SK에너지 KH에너지㈜직영 오산(동탄,10:00~19:00,"월급 2,721,000원",01/16
35,강원 삼척시,SK에너지 원더풀주식회사,12:00~21:00,"시급 10,000원",01/16
36,서울 전체,SK에너지 강평주유소,시간협의,"시급 9,300원",01/16
37,경기 수원시,SK에너지 수원고속주유소,시간협의,"시급 10,000원",01/16
38,전국 전체,SK에너지 KH에너지㈜직영 오산(과천,10:00~19:00,"월급 2,721,000원",01/16
39,경기 부천시,SK에너지 부광주유소,시간협의,"월급 2,500,000원",01/15
40,경기 고양시,SK에너지 SK부광주유소 원당점,09:00~18:00,"월급 2,500,000원",01/15
41,서울 전체,SK에너지 (주)안국에너지 삼원셀프주,06:30~15:00,"월급 2,235,040원",01/15
42,서울 도봉구,SK에너지 원에너지(주) 호원주유소,시간협의,"시급 9,160원",01/15
43,경기 의정부,SK에너지 원에너지(주) 호원주유소,시간협의,"시급 9,160원",01/15
44,서울 서초구,SK에너지 양재주유소,시간협의,"시급 9,160원",01/15
45,서울 서초구,SK에너지 양재주유소,시간협의,"시급 9,160원",01/15
46,전국 전체,SK에너지 KH에너지㈜직영 오산(과천,10:00~19:00,"월급 2,721,000원",01/15
47,경기 오산시,SK에너지 KH에너지㈜직영 오산(동탄,10:00~19:00,"월급 2,721,000원",01/15
48,경기 광주시,SK에너지 기름나라주유소,09:00~18:00,"시급 9,160원",01/15
49,경기 용인시,SK에너지 언남신도시주유소,11:00~21:00,"시급 9,200원",01/14
50,경기 화성시,SK에너지 (주)구구에너지직영 88주,시간협의,"월급 2,300,000원",01/14
51,경기 오산시,SK에너지 KH에너지㈜직영 오산(동탄,10:00~19:00,"월급 2,721,000원",01/14
52,부산 전체,SK에너지 새동창주유소,05:30~12:30,"시급 9,160원",01/14
53,서울 전체,SK에너지 풍한주유소,시간협의,"시급 9,160원",01/14
54,경기 양평군,SK에너지 SK성원주유소,시간협의,"월급 2,200,000원",01/14
55,서울 전체,SK에너지 (주)안국에너지 삼원셀프주,06:30~15:00,"월급 2,235,040원",01/14
56,전국 전체,SK에너지 KH에너지㈜직영 오산(과천,10:00~19:00,"월급 2,721,000원",01/14
57,전국 전체,SK에너지 KH에너지㈜직영 오산(과천,10:00~19:00,"월급 2,721,000원",01/14
58,서울 금천구,SK에너지 SK에너지(주) 이가주유소,06:00~15:00,"월급 2,450,000원",01/13
59,인천 중구,SK에너지 한국2주유소,시간협의,"시급 9,160원",01/13
60,경기 안양시,SK에너지 기쁨두배주유소,05:00~12:00,"시급 9,160원",01/13
