14:01:28
2022-01-18
16건
index,place,title,time,pay,date
1,서울 강서구,TGIF 프라이데이,시간협의,"시급 11,000원",3시간전
2,부산 중구,TGIF광복점,시간협의,"시급 11,000원",5시간전
3,경기 수원시,TGI FRIDAYS 롯데몰수원점,시간협의,"시급 10,470원",18시간전
4,경기 파주시,TGIF 파주점,시간협의,"시급 11,000원",19시간전
5,경기 수원시,TGI FRIDAYS 롯데몰수원점,시간협의,"시급 10,470원",20시간전
6,서울 영등포,TGI FRIDAYS TG영등포점,시간협의,"시급 11,000원",01/17
7,경기 수원시,TGI FRIDAYS 롯데몰수원점,시간협의,"시급 10,470원",01/16
8,경기 고양시,TGIF,시간협의,"시급 11,000원",01/16
9,경기 고양시,TGIF,시간협의,"시급 11,000원",01/15
10,대전 서구,(주)엠에프지코리아TGIF롯데대전점,시간협의,"시급 11,000원",01/13
11,부산 전체,TGIF광복점,시간협의,"시급 11,000원",01/13
12,경기 안양시,T.G.I Fridays 평촌점,00:00~24:00,"시급 11,000원",01/11
13,경기 안양시,T.G.I Fridays 평촌점,시간협의,"시급 11,000원",01/11
14,경기 수원시,TGI FRIDAYS 롯데몰수원점,시간협의,"시급 10,470원",01/08
15,부산 전체,TGIF광복점,시간협의,"시급 11,000원",01/08
16,부산 중구,TGIF광복점,시간협의,"시급 11,000원",01/06
