place,title,time,pay,date
부산 남구,(주)쿱스토어부산 대연점,08:30~15:00,"시급 10,000원",22분전
대구 달서구,쿱스토어대구 용산점,08:30~15:00,"시급 10,000원",32분전
강원 속초시,(주)쿱스토어강원 속초조양점,시간협의,"연봉 31,000,000원",51분전
대구 동구,쿱스토어대구 이시아점,08:00~14:00,"시급 10,000원",59분전
서울 송파구,(주)농업법인 쿱스토어 잠실점,08:00~10:00,"시급 10,000원",1시간전
충북 청주시,자연드림 청주금천점,07:00~09:00,"시급 10,000원",1시간전
대구 달성군,쿱스토어대구 테크노점,09:30~16:00,"시급 10,000원",2시간전
대구 달성군,쿱스토어대구 테크노점,09:30~16:00,"시급 10,000원",2시간전
부산 해운대,(주)쿱스토어부산 해운대중동점,07:00~09:30,"시급 10,000원",3시간전
대구 달성군,쿱스토어대구 테크노점,09:30~16:00,"시급 10,000원",6시간전
제주 제주시,(주)쿱스토어제주 이도점,08:00~11:00,"시급 10,000원",6시간전
제주 제주시,(주)쿱스토어제주 이도점,10:00~19:00,"연봉 28,900,000원",6시간전
서울 강남구,주식회사 농업법인 쿱스토어 강남대치점,09:00~18:00,"연봉 31,000,000원",7시간전
서울 강남구,주식회사 농업법인 쿱스토어 강남대치점,08:30~15:00,"시급 10,000원",7시간전
서울 송파구,(주)쿱스토어 오금점,08:30~10:30,"시급 10,000원",7시간전
광주 북구,자연드림 신용점,08:30~14:30,"시급 10,000원",7시간전
경남 진주시,iCOOP 진주초전점,08:00~10:00,"시급 10,000원",7시간전
경남 진주시,자연드림 진주초전점,08:00~15:00,"시급 10,000원",7시간전
대구 수성구,쿱스토어대구 신매점,08:30~15:00,"시급 10,000원",7시간전
대구 북구,쿱스토어대구 동천점,08:30~15:00,"시급 10,000원",8시간전
세종 도담동,자연드림 세종도담점,07:00~10:00,"시급 10,000원",8시간전
대전 유성구,자연드림 대전도안점,07:00~10:00,"시급 10,000원",8시간전
대구 달성군,쿱스토어대구 테크노점,09:30~16:00,"시급 10,000원",8시간전
부산 남구,(주)쿱스토어부산 대연점,08:30~15:00,"시급 10,000원",8시간전
경남 김해시,자연드림 장유율하점,08:30~15:00,"시급 10,000원",8시간전
서울 강남구,주식회사 농업법인 쿱스토어 강남대치점,15:00~19:30,"시급 10,000원",9시간전
충북 충주시,(주)쿱스토어강원 충주연수점,12:30~21:00,"시급 10,000원",13시간전
강원 속초시,(주)쿱스토어강원 속초조양점,시간협의,"연봉 31,000,000원",13시간전
경기 고양시,자연드림 일산주엽점,08:00~10:30,"시급 10,000원",14시간전
경기 고양시,자연드림 일산주엽점,08:00~14:30,"시급 10,000원",14시간전
광주 광산구,자연드림 수완2호점,16:00~21:00,"시급 10,000원",01/16
서울 광진구,(주)농업법인 쿱스토어 구의점,09:00~12:00,"시급 10,000원",01/16
광주 남구,자연드림 봉선2호점,08:30~15:00,"시급 10,000원",01/16
경북 포항시,쿱스토어대구 포항이동점,08:00~10:00,"시급 10,000원",01/15
