14:16:53
2022-01-18
17건
index,place,title,time,pay,date
1,경기 군포시,(주)초록마을 본사직영,10:00~19:00,"월급 2,500,000원",55분전
2,인천 남동구,(주)초록마을 본사직영,10:00~19:00,"월급 2,500,000원",55분전
3,경기 하남시,(주)초록마을 본사직영,10:00~19:00,"월급 2,500,000원",55분전
4,서울 서초구,(주)초록마을 본사직영,10:00~19:00,"월급 2,500,000원",55분전
5,서울 서초구,(주)초록마을 본사직영,10:00~19:00,"월급 2,500,000원",55분전
6,서울 서초구,(주)초록마을 본사직영,09:00~18:00,"월급 2,450,000원",56분전
7,서울 서초구,(주)초록마을 본사직영,09:00~18:00,"월급 2,450,000원",56분전
8,서울 중랑구,(주)초록마을 본사직영,09:00~21:00,"월급 2,750,000원",56분전
9,서울 강남구,(주)초록마을 본사직영,09:00~18:00,"월급 2,450,000원",56분전
10,경기 성남시,(주)초록마을 본사직영,09:00~18:00,"월급 2,450,000원",56분전
11,서울 송파구,(주)초록마을 본사직영,09:00~18:00,"월급 2,450,000원",56분전
12,경기 성남시,(주)초록마을 본사직영,09:00~18:00,"월급 2,450,000원",56분전
13,서울 강남구,(주)초록마을 본사직영,09:00~18:00,"월급 2,000,000원",56분전
14,서울 영등포,(주)초록마을 본사직영,09:00~18:00,"월급 2,450,000원",56분전
15,경기 김포시,(주)초록마을 본사직영,09:00~18:00,"월급 2,450,000원",56분전
16,인천 남동구,(주)초록마을 본사직영,09:00~13:00,"시급 11,000원",01/17
17,서울 서초구,(주)초록마을 본사직영,09:00~13:00,"시급 11,000원",01/09
