14:02:02
2022-01-18
10건
index,place,title,time,pay,date
1,인천 연수구,엔타스 팔진향 한옥마을점,10:00~21:30,"월급 2,300,000원",2시간전
2,인천 연수구,엔타스 팔진향 한옥마을점,10:00~21:30,"월급 2,300,000원",2시간전
3,경기 하남시,엔타스 팔진향 하남점,시간협의,"시급 13,000원",5시간전
4,인천 연수구,경복궁 한옥마을점,시간협의,"월급 2,300,000원",7시간전
5,인천 연수구,경복궁 한옥마을점,시간협의,"월급 2,300,000원",7시간전
6,경기 고양시,삿뽀로 백석점,시간협의,"월급 2,300,000원",01/14
7,경기 전체,삿뽀로 백석점,시간협의,"월급 2,300,000원",01/14
8,서울 마포구,삿뽀로 홍대점,10:00~22:00,"월급 2,400,000원",01/09
9,인천 연수구,엔타스 팔진향 한옥마을점,10:00~22:00,"월급 2,300,000원",01/04
10,인천 연수구,엔타스 팔진향 한옥마을점,10:00~22:00,"월급 2,300,000원",01/04
