14:13:05
2022-01-18
66건
index,place,title,time,pay,date
1,울산 울주군,크라운호프 울산천상,19:30~02:00,"시급 9,400원",2시간전
2,경북 김천시,크라운호프 김천혁신,17:00~24:00,"시급 9,160원",3시간전
3,경북 김천시,크라운호프 김천혁신,20:00~02:00,"시급 9,160원",3시간전
4,경남 진주시,크라운호프 진주혁신점,20:30~00:00,"시급 9,500원",5시간전
5,인천 서구,크라운호프 청라점,18:00~22:00,"시급 9,160원",8시간전
6,대구 달성군,크라운호프 대구다사점,시간협의,"시급 10,000원",8시간전
7,대구 달성군,크라운호프 대구다사점,시간협의,"시급 10,000원",8시간전
8,제주 제주시,크라운호프 연동점,18:00~01:00,"시급 9,160원",8시간전
9,충북 전체,크라운호프 충북대점,시간협의,"시급 10,000원",19시간전
10,경기 김포시,크라운호프 김포걸포점,시간협의,"월급 2,500,000원",21시간전
11,인천 서구,크라운호프 청라점,18:00~12:00,"시급 9,160원",01/16
12,경남 김해시,크라운호프 김해주촌,18:00~01:00,"월급 2,000,000원",01/16
13,경북 경주시,크라운호프 경주동천점,시간협의,"시급 9,200원",01/16
14,경기 시흥시,크라운호프 시흥장곡점,15:30~22:00,"시급 10,500원",01/16
15,울산 남구,크라운호프 울산야음점,시간협의,"월급 2,500,000원",01/16
16,경기 시흥시,크라운호프 시흥장곡점,15:30~22:00,"시급 9,160원",01/15
17,경남 창원시,금복주류 창원어반브릭스점,16:30~02:30,"월급 2,500,000원",01/15
18,인천 남동구,크라운호프 남촌점,시간협의,"시급 9,160원",01/15
19,인천 부평구,크라운호프 부평점,17:00~05:00,"시급 10,000원",01/15
20,인천 부평구,크라운호프 부평점,시간협의,"시급 9,300원",01/15
21,경북 경주시,크라운호프 경주안강,시간협의,"시급 9,200원",01/15
22,경남 창원시,크라운호프 창원봉곡점,시간협의,"월급 2,400,000원",01/15
23,인천 전체,크라운호프 가정루원시티점,17:30~23:00,"시급 10,000원",01/15
24,인천 전체,크라운호프 가정루원시티점,17:30~23:00,"시급 10,000원",01/15
25,경북 구미시,크라운호프 구미문성점,18:00~24:00,"시급 9,160원",01/14
26,울산 울주군,크라운호프 울산천상,19:30~02:00,"시급 9,400원",01/13
27,인천 서구,크라운호프 청라점,18:00~12:00,"시급 9,160원",01/13
28,경기 하남시,금복주류 미사역점,시간협의,"월급 2,920,000원",01/13
29,전북 전주시,크라운호프 전주호성점,16:30~02:30,"월급 2,500,000원",01/13
30,부산 부산진,크라운호프 부산당감점,시간협의,"시급 10,000원",01/12
31,경기 하남시,금복주류 미사역점,시간협의,"월급 2,920,000원",01/12
32,경기 하남시,금복주류 미사역점,시간협의,"월급 2,920,000원",01/12
33,경기 하남시,금복주류 미사역점,시간협의,"월급 2,920,000원",01/12
34,경기 하남시,금복주류 미사역점,시간협의,"월급 2,920,000원",01/11
35,경기 화성시,크라운호프 송산그린시티,17:00~02:00,"시급 11,000원",01/11
36,전북 익산시,크라운호프 익산영등직영점,시간협의,"시급 9,200원",01/10
37,경기 부천시,크라운호프 부천도당점,18:00~21:30,"시급 11,000원",01/10
38,전남 나주시,크라운호프 나주혁신점,18:30~24:00,"시급 9,500원",01/10
39,경기 안성시,크라운호프 안성석정,시간협의,"시급 9,160원",01/10
40,서울 마포구,금복주류 홍대점,시간협의,"월급 2,600,000원",01/09
41,전북 전주시,크라운호프 전주호성점,16:30~02:30,"월급 2,500,000원",01/09
42,전북 전주시,크라운호프 전주호성점,16:30~02:30,"월급 2,500,000원",01/09
43,전북 전주시,크라운호프 전주호성점,시간협의,"시급 9,200원",01/09
44,광주 서구,크라운호프 광주상무점,19:00~00:00,"시급 10,000원",01/08
45,광주 서구,크라운호프 광주상무점,19:00~00:00,"시급 10,000원",01/08
46,광주 서구,크라운호프 광주상무점,19:00~00:00,"시급 10,000원",01/08
47,광주 서구,크라운호프 광주상무점,19:00~00:00,"시급 10,000원",01/08
48,광주 서구,크라운호프 광주상무점,19:00~00:00,"시급 10,000원",01/08
49,경기 안성시,경성주막1929 안성공도,18:00~22:00,"시급 9,500원",01/08
50,전북 전주시,크라운호프 전주삼천점,19:00~00:00,"시급 10,000원",01/08
51,전북 전주시,크라운호프 전주삼천점,21:00~04:00,"시급 9,500원",01/08
52,경기 안성시,경성주막1929 안성공도,16:30~22:00,"시급 10,000원",01/07
53,경기 안성시,경성주막1929 안성공도,16:30~22:00,"시급 10,000원",01/07
54,서울 강서구,크라운호프 발산마곡점,19:30~02:30,"월급 2,000,000원",01/07
55,서울 강서구,크라운호프 발산마곡점,19:30~02:30,"시급 11,000원",01/07
56,광주 북구,크라운호프 광주운암점,19:00~03:00,"시급 9,200원",01/06
57,인천 남동구,크라운호프 인천서창2지구점,19:00~01:00,"시급 9,500원",01/06
58,서울 구로구,금복주류 신도림점,17:30~02:30,"시급 11,000원",01/04
59,충남 서천군,크라운호프 충남서천점,18:00~03:00,"시급 9,160원",01/04
60,인천 중구,크라운호프 동인천점,시간협의,"시급 10,000원",01/03
61,경남 창원시,크라운호프 창원봉곡점,20:00~00:30,"시급 9,160원",01/02
62,경남 창원시,크라운호프 창원봉곡점,시간협의,"시급 9,160원",01/02
63,광주 광산구,크라운호프 하남2지구점,시간협의,"시급 10,000원",01/02
64,경북 경주시,크라운호프 경주외동점,05:00~03:00,"시급 9,160원",01/02
65,경북 경주시,크라운호프 경주외동점,17:00~03:00,"시급 9,160원",01/02
66,경기 고양시,크라운호프 향동점,시간협의,"월급 2,700,000원",01/02
