14:15:39
2022-01-18
852건
index,place,title,time,pay,date
1,서울 강북구,교촌치킨 서울북부 번동점,17:00~11:00,"시급 13,000원",1분전
2,충북 청주시,교촌치킨 용암2호,17:00~24:00,"시급 9,500원",1분전
3,인천 연수구,교촌치킨 인천 옥련,18:00~24:00,"시급 11,000원",3분전
4,서울 강서구,교촌치킨 서울서부 목3동점,17:00~02:00,"시급 10,000원",5분전
5,서울 강서구,교촌치킨 서울서부 목3동점,17:00~02:00,"시급 10,000원",5분전
6,전북 익산시,교촌치킨 동산,01:00~05:00,"시급 9,500원",6분전
7,서울 양천구,교촌치킨 서울서부 목3동점,17:00~02:00,"시급 10,000원",6분전
8,서울 양천구,교촌치킨 서울서부 목3동점,17:00~02:00,"시급 10,000원",7분전
9,부산 수영구,교촌치킨 망미1호,05:00~24:00,"시급 9,160원",7분전
10,부산 수영구,교촌치킨 망미1호,17:00~24:00,"시급 9,160원",8분전
11,대전 유성구,교촌치킨 도안1지구,17:00~24:00,"시급 11,500원",9분전
12,강원 춘천시,교촌치킨 춘천 후평사거리,11:00~17:00,"시급 9,200원",9분전
13,울산 동구,교촌치킨 울산 방어,17:00~23:00,"시급 9,500원",10분전
14,전북 전체,교촌치킨 전주 아중,17:00~01:00,"시급 9,700원",14분전
15,경남 창원시,교촌치킨 진해 웅동용원,시간협의,"시급 13,000원",14분전
16,경기 수원시,교촌치킨 율전1호,18:00~22:00,"시급 9,500원",15분전
17,경기 수원시,교촌치킨 율전1호,17:00~23:00,"시급 13,000원",15분전
18,경기 수원시,교촌치킨 율전1호,13:00~01:00,"월급 3,200,000원",15분전
19,경기 수원시,교촌치킨 율전1호,18:00~24:00,"시급 13,000원",16분전
20,인천 연수구,교촌치킨 인천 옥련,17:00~23:00,"시급 10,000원",17분전
21,서울 광진구,교촌치킨 서울 중곡1호,18:00~24:00,"시급 10,000원",19분전
22,광주 남구,교촌치킨 화정2호,시간협의,"시급 11,000원",21분전
23,광주 서구,교촌치킨 화정2호,시간협의,"시급 11,000원",21분전
24,전북 익산시,교촌치킨 동산,시간협의,"시급 10,500원",24분전
25,서울 송파구,교촌치킨 가락2호점,17:00~22:00,"월급 1,500,000원",25분전
26,대구 달서구,교촌치킨 용산새방,18:00~24:00,"시급 10,000원",25분전
27,서울 송파구,교촌치킨 가락2호점,12:00~24:00,"월급 3,200,000원",27분전
28,서울 송파구,교촌치킨 가락2호점,시간협의,"건별 4,000원",28분전
29,경남 밀양시,교촌치킨 밀양 삼문상남,17:00~24:00,"시급 9,160원",31분전
30,경기 하남시,교촌치킨 경기북부 미사1호점,12:00~24:00,"월급 3,200,000원",32분전
31,서울 강동구,교촌치킨 경기북부 미사1호점,12:00~24:00,"월급 3,200,000원",32분전
32,서울 강동구,교촌치킨 경기북부 미사1호점,17:00~24:00,"시급 11,000원",33분전
33,경기 하남시,교촌치킨 경기북부 미사1호점,17:00~24:00,"시급 11,000원",34분전
