14:10:32
2022-01-18
19건
index,place,title,time,pay,date
1,경기 수원시,꾸브라꼬숯불두마리치킨 매탄점,18:00~24:00,"시급 9,160원",2시간전
2,경기 고양시,꾸브라꼬숯불두마리치킨 삼송점,17:30~24:00,"시급 9,500원",8시간전
3,경기 고양시,꾸브라꼬숯불두마리치킨 삼송점,18:00~00:30,"시급 9,500원",18시간전
4,경남 창원시,꾸브라꼬숯불두마리치킨 경남대점,시간협의,"시급 9,500원",01/15
5,충남 천안시,꾸브라꼬숯불두마리치킨 청당점,16:00~24:00,"시급 9,160원",01/15
6,경남 전체,꾸브라꼬숯불두마리치킨 창원nc점,시간협의,"시급 9,500원",01/15
7,충남 천안시,꾸브라꼬숯불두마리치킨 청당점,16:00~24:00,"시급 9,160원",01/14
8,경남 전체,꾸브라꼬숯불두마리치킨 창원nc점,시간협의,"시급 9,500원",01/14
9,경기 시흥시,꾸브라꼬숯불두마리치킨 대야점,18:00~22:00,"시급 9,160원",01/14
10,경기 화성시,꾸브라꼬숯불두마리치킨 향남점,18:00~22:00,"시급 9,500원",01/14
11,경기 시흥시,꾸브라꼬숯불두마리치킨 대야점,18:00~22:00,"시급 9,160원",01/10
12,경기 화성시,꾸브라꼬숯불두마리치킨 향남점,18:00~22:00,"시급 9,500원",01/10
13,경남 창원시,꾸브라꼬숯불두마리치킨 경남대점,시간협의,"시급 9,500원",01/10
14,경기 시흥시,꾸브라꼬숯불두마리치킨 대야점,18:00~22:00,"시급 9,160원",01/10
15,경남 창원시,꾸브라꼬숯불두마리치킨 경남대점,시간협의,"시급 9,500원",01/10
16,경기 화성시,꾸브라꼬숯불두마리치킨 향남점,18:00~22:00,"시급 9,500원",01/10
17,경남 창원시,꾸브라꼬숯불두마리치킨 경남대점,시간협의,"시급 9,500원",01/10
18,경기 시흥시,꾸브라꼬숯불두마리치킨 대야점,18:00~22:00,"시급 9,160원",01/08
19,경기 화성시,꾸브라꼬숯불두마리치킨 향남점,18:00~22:00,"시급 9,500원",01/08
