14:19:44
2022-01-18
601건
index,place,title,time,pay,date
1,경기 의정부,다이소 의정부녹양점,09:00~18:00,"월급 1,914,440원",8분전
2,인천 미추홀,다이소 인천신기사거리점,08:00~17:00,"월급 1,914,440원",11분전
3,인천 연수구,다이소 송도트리플스트리트점,07:00~16:00,"월급 1,914,440원",15분전
4,서울 관악구,다이소 서울대입구점,08:30~17:30,"월급 1,914,440원",33분전
5,경기 포천시,포천본점,시간협의,"시급 9,160원",41분전
6,경기 수원시,다이소 수원남문점,시간협의,"월급 1,914,440원",41분전
7,경기 포천시,다이소 포천송우사거리점,08:00~17:00,"월급 1,914,440원",43분전
8,경기 화성시,다이소 남동탄점,시간협의,"월급 1,914,440원",43분전
9,경북 경산시,다이소 경산영남대점,09:00~18:00,"월급 1,914,440원",44분전
10,서울 도봉구,다이소 쌍문세라믹사거리점,07:00~16:00,"월급 1,914,440원",44분전
11,경기 양주시,다이소 양주고읍점,15:30~21:30,"시급 9,160원",52분전
12,전남 목포시,다이소 목포옥암점,13:00~19:00,"시급 9,160원",53분전
13,부산 남구,다이소 부산경성대점,07:00~13:00,"시급 9,160원",54분전
14,서울 도봉구,다이소 쌍문세라믹사거리점,10:00~16:00,"시급 9,160원",54분전
15,광주 서구,다이소 광주상무점,10:00~16:00,"시급 9,160원",54분전
16,전남 여수시,다이소 여수웅천점,10:00~19:00,"월급 1,914,440원",55분전
17,부산 남구,다이소 부산대연점,08:00~17:00,"월급 1,914,440원",56분전
18,서울 동작구,다이소 노량진점,08:00~17:00,"월급 1,914,440원",56분전
19,서울 관악구,다이소 신림3호점,10:00~19:00,"월급 1,914,440원",57분전
20,전남 여수시,다이소 여수웅천점,10:00~16:00,"시급 9,160원",57분전
21,경기 포천시,포천본점,시간협의,"시급 9,160원",57분전
22,경기 포천시,다이소 포천송우사거리점,08:00~17:00,"월급 1,914,440원",58분전
23,인천 남동구,다이소 간석역(1호선)점,09:00~21:00,"시급 9,160원",1시간전
24,경기 파주시,다이소 파주문산점,09:00~18:00,"월급 1,914,440원",1시간전
25,경기 안산시,다이소 안산선부점,09:00~18:00,"월급 1,914,440원",1시간전
26,경기 수원시,다이소 홈플러스서수원점,09:30~15:30,"시급 9,160원",2시간전
27,서울 동작구,다이소 사당1호점,08:00~17:00,"월급 1,914,440원",2시간전
28,경기 안양시,다이소 안양역점,10:00~16:00,"시급 9,160원",2시간전
29,경기 안양시,다이소 관양시장점,시간협의,"월급 1,914,440원",2시간전
30,서울 동작구,다이소 사당2호점,08:00~17:00,"월급 1,914,440원",2시간전
31,경기 이천시,다이소 이천중앙점,시간협의,"월급 1,914,440원",2시간전
32,서울 관악구,다이소 낙성대점,08:30~17:30,"월급 1,914,440원",2시간전
33,서울 강동구,다이소 암사역점,07:30~16:30,"월급 1,914,440원",2시간전
34,강원 춘천시,다이소 춘천거두점,09:00~22:00,"시급 9,160원",2시간전
35,강원 춘천시,다이소 춘천퇴계본점,08:30~22:00,"시급 9,160원",2시간전
36,강원 춘천시,다이소 춘천퇴계본점,08:30~17:30,"월급 1,914,440원",2시간전
37,경기 시흥시,다이소 시흥대야점,08:00~17:00,"월급 1,914,440원",2시간전
38,서울 강남구,다이소 코엑스몰점,시간협의,"월급 1,914,440원",2시간전
39,경남 김해시,다이소 영남현장CS팀,09:00~18:00,"월급 2,414,440원",2시간전
40,경남 진주시,다이소 영남현장CS팀,09:00~18:00,"월급 2,414,440원",2시간전
41,서울 강남구,다이소 다이소강남구청역점,시간협의,"월급 1,914,440원",2시간전
42,경남 창원시,다이소 영남 오픈리베로,09:00~18:00,"월급 2,414,440원",2시간전
43,부산 전체,다이소 영남 오픈리베로,09:00~18:00,"월급 2,414,440원",2시간전
44,서울 강동구,다이소 천호본점,07:30~16:30,"월급 1,914,440원",2시간전
45,대전 서구,다이소 대전시청점,시간협의,"시급 9,160원",2시간전
46,대전 동구,다이소 대전가오점,시간협의,"시급 9,160원",2시간전
47,대전 동구,다이소 패션아일랜드대전점,15:00~21:00,"시급 9,160원",3시간전
48,경기 용인시,광교상현역점,시간협의,"월급 1,914,440원",3시간전
49,부산 영도구,다이소 부산영도동삼점,16:00~22:00,"시급 9,160원",3시간전
50,부산 영도구,다이소 부산영도동삼점,16:00~22:00,"시급 9,160원",3시간전
51,부산 강서구,부산명지오션시티점,16:00~22:00,"시급 9,160원",3시간전
52,제주 제주시,다이소 제주동문시장점,07:30~13:30,"시급 9,160원",3시간전
53,부산 강서구,부산명지오션시티점,16:00~22:00,"시급 9,160원",3시간전
54,부산 중구,부산국제시장점,07:00~13:00,"시급 9,160원",3시간전
55,대전 서구,다이소 대전월평점,시간협의,"시급 9,160원",3시간전
56,대전 유성구,다이소 대전유성온천역점,시간협의,"시급 9,160원",3시간전
57,부산 중구,부산국제시장점,07:00~13:00,"시급 9,160원",3시간전
58,경기 부천시,다이소 송내역점,09:30~18:30,"월급 1,914,440원",3시간전
59,대전 유성구,다이소 대전노은점,10:00~16:00,"시급 9,160원",3시간전
60,서울 양천구,다이소 목동역점,16:00~22:00,"시급 9,160원",3시간전
61,경기 평택시,다이소 평택장당점,시간협의,"월급 1,914,440원",3시간전
