14:14:27
2022-01-18
54건
index,place,title,time,pay,date
1,인천 서구,대한곱창 인천청라점,18:00~23:00,"시급 9,160원",58분전
2,서울 노원구,대한곱창 중계점,15:00~23:00,"월급 2,400,000원",1시간전
3,서울 노원구,대한곱창 중계점,15:00~23:00,"월급 2,400,000원",1시간전
4,전북 전체,대한곱창 전주신시가지점,시간협의,"시급 9,160원",2시간전
5,전북 전체,대한곱창 전주신시가지점,시간협의,"시급 9,160원",2시간전
6,전북 전체,대한곱창 전주신시가지점,시간협의,"시급 9,160원",2시간전
7,전북 전체,대한곱창 전주신시가지점,시간협의,"시급 9,160원",2시간전
8,경남 김해시,대한곱창 김해삼계점,05:00~12:00,"시급 9,300원",2시간전
9,경남 김해시,대한곱창 김해삼계점,05:00~12:00,"시급 9,300원",2시간전
10,경남 김해시,대한곱창 김해삼계점,17:00~24:00,"시급 9,300원",2시간전
11,경남 김해시,대한곱창 김해삼계점,17:00~24:00,"시급 9,500원",2시간전
12,경기 평택시,대한곱창 고덕삼성점,15:00~23:00,"시급 10,500원",2시간전
13,경기 평택시,대한곱창 고덕삼성점,15:00~23:00,"월급 2,350,000원",2시간전
14,경기 평택시,대한곱창 고덕삼성점,15:00~23:00,"월급 2,350,000원",2시간전
15,경기 평택시,대한곱창 고덕삼성점,15:00~23:00,"시급 10,500원",2시간전
16,전남 여수시,대한곱창 여수웅천점,18:00~22:00,"시급 10,000원",2시간전
17,전남 여수시,대한곱창 여수웅천점,18:00~22:00,"시급 10,000원",2시간전
18,전남 여수시,대한곱창 여수웅천점,18:00~22:00,"시급 10,000원",2시간전
19,부산 금정구,대한곱창 부산대점,시간협의,"월급 2,300,000원",2시간전
20,부산 금정구,대한곱창 부산대점,시간협의,"월급 2,300,000원",2시간전
21,부산 금정구,대한곱창 부산대점,시간협의,"월급 2,300,000원",2시간전
22,부산 남구,대한곱창 부산경성대점,17:00~22:00,"시급 9,160원",2시간전
23,부산 남구,대한곱창 부산경성대점,17:30~21:00,"시급 9,160원",2시간전
24,부산 남구,대한곱창 부산경성대점,17:30~21:00,"시급 9,160원",2시간전
25,부산 남구,대한곱창 부산경성대점,17:00~22:00,"시급 9,160원",2시간전
26,강원 춘천시,대한곱창 춘천퇴계점,16:00~24:00,"월급 2,300,000원",3시간전
27,강원 춘천시,대한곱창 춘천퇴계점,16:00~24:00,"월급 2,300,000원",3시간전
28,강원 춘천시,대한곱창 춘천퇴계점,시간협의,"시급 9,500원",3시간전
29,인천 서구,대한곱창 인천청라점,18:00~23:00,"시급 9,160원",3시간전
30,인천 서구,대한곱창 인천청라점,18:00~23:00,"시급 9,160원",3시간전
31,인천 서구,대한곱창 인천청라점,18:00~23:00,"시급 9,160원",3시간전
32,서울 송파구,대한곱창 문정역점,시간협의,"시급 11,000원",3시간전
33,서울 송파구,대한곱창 문정역점,시간협의,"시급 11,000원",3시간전
34,서울 송파구,대한곱창 문정역점,시간협의,"시급 11,000원",3시간전
35,울산 남구,대한곱창 울산달동점,17:00~24:00,"시급 9,200원",3시간전
36,울산 남구,대한곱창 울산달동점,17:00~24:00,"시급 9,200원",3시간전
37,울산 남구,대한곱창 울산달동점,17:00~24:00,"시급 9,200원",3시간전
38,울산 남구,대한곱창 울산달동점,17:00~24:00,"시급 9,200원",3시간전
39,울산 남구,대한곱창 울산달동점,17:00~24:00,"시급 9,200원",3시간전
40,서울 노원구,대한곱창 중계점,15:00~23:00,"월급 2,400,000원",3시간전
41,서울 노원구,대한곱창 중계점,15:00~23:00,"월급 2,400,000원",3시간전
42,서울 노원구,대한곱창 중계점,15:00~23:00,"월급 2,400,000원",6시간전
43,서울 송파구,대한곱창 문정역점,시간협의,"시급 11,000원",8시간전
44,강원 춘천시,대한곱창 춘천퇴계점,시간협의,"시급 9,500원",01/17
45,서울 광진구,대한곱창 군자점,15:00~02:00,"월급 3,000,000원",01/15
46,서울 광진구,대한곱창 군자점,시간협의,"시급 11,000원",01/15
47,서울 광진구,대한곱창 군자점,15:00~02:00,"월급 3,000,000원",01/15
48,서울 광진구,대한곱창 군자점,시간협의,"월급 2,700,000원",01/15
49,부산 금정구,대한곱창 부산대점,시간협의,"월급 2,300,000원",01/15
50,전남 여수시,대한곱창 여수웅천점,18:00~22:00,"시급 10,000원",01/14
51,부산 강서구,대한곱창 부산명지점,18:00~10:00,"시급 9,200원",01/09
52,광주 광산구,대한곱창 광주수완점,시간협의,"시급 10,000원",01/08
53,광주 광산구,대한곱창 광주수완점,시간협의,"시급 10,000원",01/08
54,광주 광산구,대한곱창 광주수완점,시간협의,"시급 10,000원",01/08
