14:08:50
2022-01-18
559건
index,place,title,time,pay,date
1,경기 용인시,더본코리아 홍콩반점0410 죽전단대점,10:00~21:00,"월급 2,500,000원",1분전
2,경남 진주시,더본코리아 홍콩반점0410 진주시청점,10:30~21:00,"월급 2,600,000원",1분전
3,경남 진주시,더본코리아 홍콩반점0410 진주시청점,10:30~21:00,"월급 2,600,000원",1분전
4,경남 진주시,더본코리아 홍콩반점0410 진주시청점,10:30~21:00,"월급 2,600,000원",1분전
5,경남 진주시,더본코리아 홍콩반점0410 진주시청점,10:30~21:00,"월급 2,600,000원",2분전
6,경남 진주시,더본코리아 홍콩반점0410 진주시청점,10:30~21:00,"월급 2,600,000원",2분전
7,경기 광명시,더본코리아 홍콩반점0410 광명사거리,10:30~22:00,"월급 2,700,000원",2분전
8,충남 아산시,더본코리아 한신포차 아산신용화점,17:00~24:00,"시급 9,500원",3분전
9,경남 진주시,새마을식당 진주경상대점,시간협의,"월급 2,700,000원",4분전
10,서울 성북구,인생설렁탕 고대안암역점,10:00~10:00,"월급 2,800,000원",4분전
11,대구 중구,롤링파스타 대구동성로점,시간협의,"시급 9,160원",4분전
12,전북 전주시,롤링파스타 전주객사점,10:00~21:30,"월급 2,700,000원",6분전
13,경남 김해시,더본코리아 홍콩반점0410 김해내동,10:00~21:30,"월급 2,900,000원",7분전
14,인천 남동구,더본코리아 인생설렁탕 구월로데오점,시간협의,"월급 1,300,000원",7분전
15,대구 중구,롤링파스타 대구동성로점,10:00~22:00,"월급 2,500,000원",7분전
16,서울 용산구,더본코리아 홍콩반점0410 문배지점,10:30~20:30,"월급 2,580,000원",8분전
17,경기 시흥시,더본코리아 홍콩반점0410 시흥능곡점,시간협의,"연봉 30,900,000원",8분전
18,강원 원주시,홍콩반점0410 원주기업도시점,10:00~22:00,"시급 9,160원",8분전
19,인천 부평구,더본코리아 한신포차 인천삼산점,시간협의,"시급 9,160원",9분전
20,경남 진주시,더본코리아 홍콩반점0410 진주초전점,10:30~21:30,"월급 2,350,000원",10분전
21,경기 수원시,한신포차 수원영통점,18:00~01:00,"시급 9,500원",10분전
22,경기 안산시,더본코리아 홍콩반점0410 안산초지풍,시간협의,"시급 9,160원",11분전
23,경남 진주시,더본코리아 홍콩반점0410 진주초전점,10:30~21:30,"월급 2,750,000원",11분전
24,인천 서구,더본코리아 홍콩반점0410 인천청라점,11:00~22:30,"시급 9,160원",11분전
25,경기 의정부,더본코리아 롤링파스타 의정제일점,10:00~21:30,"월급 2,600,000원",15분전
26,경기 수원시,인생설렁탕 수원인계점,10:00~17:00,"시급 9,200원",17분전
27,서울 성북구,인생설렁탕 고대안암역점,10:00~22:00,"월급 2,800,000원",17분전
28,경북 경산시,리춘시장 경산옥산점,17:00~03:00,"시급 9,160원",18분전
29,경북 포항시,더본코리아 백스비어 포항창포점,18:30~00:00,"시급 9,160원",18분전
30,인천 남동구,더본코리아 인생설렁탕 구월로데오점,시간협의,"월급 1,300,000원",20분전
31,광주 동구,더본코리아 롤링파스타 광주충장로점,시간협의,"월급 2,400,000원",22분전
32,광주 동구,더본코리아 롤링파스타 광주충장로점,시간협의,"월급 2,400,000원",22분전
