14:05:22
2022-01-18
30건
index,place,title,time,pay,date
1,인천 전체,던킨 인천사랑병원점,15:00~22:00,"시급 9,160원",27분전
2,울산 남구,던킨 울산삼산보건소점,09:00~15:00,"시급 9,160원",29분전
3,서울 동대문,던킨 삼육서울병원점,07:00~13:30,"시급 11,200원",43분전
4,경기 용인시,던킨도너츠 용인둔전,18:00~23:00,"시급 9,160원",44분전
5,경기 성남시,던킨 분당차병원점,12:00~17:00,"시급 11,200원",44분전
6,서울 양천구,던킨신정뉴타운점,17:30~22:30,"시급 9,160원",2시간전
7,서울 강동구,던킨도너츠 중앙보훈병원점,12:30~18:30,"시급 9,160원",2시간전
8,서울 양천구,던킨신정뉴타운점,17:00~22:30,"시급 9,160원",2시간전
9,서울 강서구,김포공항역사점 던킨,시간협의,"시급 9,160원",3시간전
10,서울 동작구,던킨도너츠,07:30~12:00,"시급 9,160원",4시간전
11,경기 안산시,던킨 안산스마트스퀘어점,16:00~20:00,"시급 9,160원",4시간전
12,경기 안산시,던킨 안산스마트스퀘어점,16:00~20:00,"시급 9,160원",5시간전
13,경기 안산시,던킨 안산스마트스퀘어점,16:00~20:00,"시급 9,160원",5시간전
14,서울 강동구,던킨도너츠 암사역점,13:00~18:00,"시급 9,160원",7시간전
15,서울 강동구,던킨도너츠 암사역점,13:00~18:00,"시급 9,160원",8시간전
16,경기 성남시,던킨 분당차병원점,12:00~17:00,"시급 11,200원",01/17
17,서울 마포구,던킨 공덕역사점 던킨도너츠,시간협의,"일급 9,160원",01/16
18,서울 마포구,던킨 공덕역사점 던킨도너츠,시간협의,"일급 9,160원",01/16
19,서울 중구,던킨도너츠 약수역점,07:00~12:00,"시급 9,160원",01/16
20,서울 중구,던킨도너츠 약수역점,12:00~17:00,"시급 9,160원",01/16
21,서울 동대문,던킨 삼육서울병원점,07:00~13:30,"시급 11,200원",01/16
22,경기 성남시,던킨 분당차병원점,12:00~17:00,"시급 11,200원",01/15
23,경기 성남시,(주)더망고,시간협의,"연봉 26,000,000원",01/15
24,대전 서구,던킨도너츠,11:00~15:00,"시급 9,160원",01/13
25,인천 서구,던킨도너츠 청라홈플러스점,시간협의,"시급 9,160원",01/11
26,인천 남동구,던킨도너츠 간석홈플러스점,시간협의,"시급 9,160원",01/11
27,경기 수원시,던킨수원망포점,시간협의,"시급 9,160원",01/10
28,경기 성남시,(주)더망고,17:30~22:30,"시급 9,500원",01/10
29,경기 성남시,던킨 판교테크노밸리점,14:30~17:30,"시급 9,500원",01/10
30,서울 동작구,던킨도너츠,18:00~23:00,"시급 9,160원",01/09
