14:20:48
2022-01-18
995건
index,place,title,time,pay,date
1,서울 강남구,도미노피자 삼성점,11:30~22:30,"주급 672,000원",1분전
2,서울 강남구,도미노피자 삼성점,11:30~22:30,"주급 672,000원",1분전
3,서울 강남구,도미노피자 삼성점,11:30~22:30,"주급 672,000원",1분전
4,서울 강남구,도미노피자 삼성점,11:30~22:30,"주급 672,000원",1분전
5,서울 강남구,도미노피자 삼성점,11:30~22:30,"주급 672,000원",1분전
6,서울 영등포,도미노피자 영등포점,11:00~22:00,"시급 13,000원",2분전
7,경기 수원시,도미노피자 북수원점,11:30~22:30,"시급 9,160원",3분전
8,경기 수원시,도미노피자 북수원점,11:30~22:30,"시급 9,160원",4분전
9,경기 성남시,도미노피자 성남점,시간협의,"시급 10,000원",4분전
10,경기 수원시,도미노피자 북수원점,11:30~22:30,"시급 9,160원",4분전
11,경남 창원시,도미노피자 마산교방점,시간협의,"시급 11,000원",4분전
12,서울 도봉구,도미노피자 쌍문점,11:00~22:30,"주급 600,000원",4분전
13,서울 도봉구,도미노피자 쌍문점,11:00~22:30,"주급 600,000원",4분전
14,서울 도봉구,도미노피자 쌍문점,11:00~22:30,"주급 600,000원",4분전
15,서울 도봉구,도미노피자 쌍문점,11:00~22:30,"주급 600,000원",4분전
16,서울 도봉구,도미노피자 쌍문점,11:00~22:30,"주급 600,000원",4분전
17,경기 수원시,도미노피자 북수원점,11:30~22:30,"시급 9,160원",4분전
18,경기 여주시,도미노피자 여주점,11:30~21:30,"시급 11,000원",5분전
19,울산 남구,도미노피자 울산공업탑점,10:30~22:00,"연봉 42,000,000원",6분전
20,충남 아산시,도미노피자 배방점,시간협의,"시급 11,000원",7분전
21,울산 남구,도미노피자 울산공업탑점,10:30~22:00,"연봉 42,000,000원",7분전
22,충북 진천군,도미노 피자 진천점,11:30~22:00,"시급 11,000원",7분전
23,충북 진천군,도미노 피자 진천점,11:30~22:00,"시급 11,000원",7분전
24,충북 진천군,도미노 피자 진천점,11:30~22:00,"시급 11,000원",7분전
25,경기 용인시,도미노피자 수지상현점,11:30~22:00,"시급 12,000원",8분전
26,경기 고양시,도미노피자 원당점,12:00~22:30,"시급 12,000원",8분전
27,경기 용인시,도미노피자 수지상현점,11:30~22:00,"시급 12,000원",8분전
28,인천 남동구,도미노피자 서창점,11:00~22:00,"시급 9,160원",9분전
29,인천 남동구,도미노피자 서창점,11:00~22:00,"시급 9,160원",10분전
30,경기 부천시,도미노피자 부천옥길점,11:00~22:00,"시급 10,000원",10분전
31,울산 남구,도미노피자 울산공업탑점,10:30~22:00,"시급 14,000원",10분전
32,울산 남구,도미노피자 울산공업탑점,10:30~22:00,"시급 14,000원",11분전
33,서울 서대문,도미노피자 서대문점,11:30~22:00,"주급 609,140원",11분전
34,서울 서대문,도미노피자 서대문점,11:30~22:00,"주급 609,140원",12분전
35,서울 서대문,도미노피자 서대문점,11:30~22:00,"주급 609,140원",12분전
36,울산 남구,도미노피자 울산공업탑점,10:30~22:00,"시급 14,000원",12분전
37,경기 부천시,도미노피자 부천옥길점,11:00~22:00,"시급 11,000원",15분전
38,경기 용인시,도미노피자 용인점,시간협의,"시급 12,000원",15분전
39,경기 용인시,도미노피자 용인점,시간협의,"시급 12,000원",15분전
40,경기 용인시,도미노피자 용인점,시간협의,"시급 12,000원",15분전
41,경기 용인시,도미노피자 용인점,시간협의,"시급 12,000원",15분전
42,서울 영등포,도미노피자 영등포점,11:00~22:00,"시급 13,000원",16분전
43,경기 용인시,도미노피자 신갈점,11:30~22:00,"시급 9,160원",17분전
44,서울 영등포,도미노피자 영등포점,11:00~22:00,"시급 13,000원",18분전
45,대전 중구,도미노피자 대전중구점,11:30~22:00,"주급 600,000원",24분전
46,대전 중구,도미노피자 대전중구점,11:30~22:00,"주급 600,000원",25분전
47,대전 중구,도미노피자 대전중구점,11:30~22:00,"주급 600,000원",25분전
48,대전 중구,도미노피자 대전중구점,11:30~22:00,"주급 600,000원",26분전
49,대전 중구,도미노피자 대전중구점,11:30~22:00,"주급 600,000원",26분전
50,경기 안산시,도미노피자 송산그린시티점,11:00~22:00,"시급 11,000원",26분전
51,경기 안산시,도미노피자 송산그린시티점,11:00~22:00,"시급 11,000원",26분전
52,경기 전체,도미노피자 파주교하점,11:30~22:30,"주급 600,000원",28분전
53,서울 마포구,도미노피자 망원점,11:30~22:00,"주급 620,000원",28분전
54,경기 화성시,도미노피자 신동탄점,시간협의,"시급 11,000원",28분전
55,경기 전체,도미노피자 파주교하점,11:30~22:30,"주급 600,000원",29분전
56,경기 용인시,도미노피자 흥덕점,11:30~22:30,"주급 600,000원",29분전
57,경기 용인시,도미노피자 흥덕점,11:30~22:30,"주급 600,000원",29분전
58,경기 용인시,도미노피자 흥덕점,11:30~22:30,"주급 600,000원",29분전
59,경기 용인시,도미노피자 흥덕점,11:30~22:30,"주급 600,000원",29분전
60,경기 용인시,도미노피자 흥덕점,11:30~22:30,"주급 600,000원",29분전
61,경기 안양시,도미노피자 안양석수점,시간협의,"시급 11,500원",31분전
62,경기 안양시,도미노피자 안양석수점,시간협의,"시급 11,500원",32분전
63,경기 안양시,도미노피자 안양석수점,시간협의,"시급 11,500원",33분전
64,경기 성남시,도미노피자 이매점,11:30~22:00,"주급 600,000원",34분전
65,경기 성남시,도미노피자 이매점,11:30~22:00,"주급 600,000원",34분전
66,경기 성남시,도미노피자 이매점,11:30~22:00,"주급 600,000원",34분전
67,경기 성남시,도미노피자 이매점,11:30~22:00,"주급 600,000원",34분전
68,경기 성남시,도미노피자 이매점,11:30~22:00,"주급 600,000원",34분전
69,경기 용인시,도미노피자 용인점,시간협의,"시급 12,000원",35분전
70,경기 용인시,도미노피자 신갈점,11:30~22:00,"시급 9,160원",36분전
71,경기 용인시,도미노피자 신갈점,11:30~22:00,"시급 9,160원",37분전
72,서울 서초구,도미노피자 서방배점,시간협의,"주급 600,000원",37분전
73,서울 서초구,도미노피자 서방배점,시간협의,"주급 600,000원",37분전
74,서울 서초구,도미노피자 서방배점,시간협의,"주급 600,000원",37분전
75,서울 서초구,도미노피자 서방배점,시간협의,"주급 600,000원",37분전
76,서울 서초구,도미노피자 서방배점,시간협의,"주급 600,000원",37분전
77,전북 전주시,도미노피자 전주송천점,시간협의,"시급 9,160원",40분전
78,서울 금천구,도미노피자 시흥점,11:00~22:00,"시급 12,000원",40분전
79,경남 진주시,도미노피자 진주점,11:00~22:30,"시급 10,500원",41분전
80,경남 진주시,도미노피자 진주점,11:00~22:30,"시급 10,500원",42분전
81,경남 진주시,도미노피자 진주초전점,11:00~22:30,"시급 10,500원",42분전
82,경남 진주시,도미노피자 진주초전점,11:00~22:30,"시급 10,500원",42분전
83,경기 안성시,도미노피자 안성금산점,11:00~22:00,"시급 11,000원",44분전
84,경남 진주시,도미노피자 진주경상대점,10:30~22:30,"시급 10,500원",44분전
85,경기 안성시,도미노피자 안성금산점,11:00~22:00,"시급 11,000원",44분전
86,경북 포항시,도미노 피자 포항장량점,11:00~22:00,"시급 12,000원",44분전
87,경기 안성시,도미노피자 안성금산점,11:00~22:00,"시급 11,000원",44분전
88,경남 진주시,도미노피자 진주경상대점,10:30~22:30,"시급 10,500원",44분전
89,경기 안성시,도미노피자 안성금산점,11:00~22:00,"시급 11,000원",44분전
90,경기 안성시,도미노피자 안성금산점,11:00~22:00,"시급 11,000원",45분전
91,경북 포항시,도미노 피자 포항장량점,11:00~22:00,"시급 12,000원",45분전
92,경북 포항시,도미노 피자 포항장량점,11:00~22:00,"시급 12,000원",46분전
93,경북 포항시,도미노 피자 포항장량점,11:00~22:00,"시급 12,000원",47분전
94,경북 포항시,도미노 피자 포항장량점,11:00~22:00,"시급 12,000원",47분전
95,서울 서대문,도미노피자 연희점,11:30~22:00,"주급 560,000원",48분전
96,서울 서대문,도미노피자 연희점,11:30~22:00,"주급 560,000원",48분전
97,서울 서대문,도미노피자 연희점,11:30~22:00,"주급 560,000원",48분전
