14:10:17
2022-01-18
111건
index,place,title,time,pay,date
1,경남 진주시,딜리온 [딜리온] 경남진주지사,시간협의,"건별 3,000원",3분전
2,경남 김해시,딜리온 [딜리온] 김해 장유지사,시간협의,"건별 3,000원",9분전
3,경남 김해시,딜리온 [딜리온] 김해 장유지사,시간협의,"건별 3,000원",10분전
4,경남 김해시,딜리온 [딜리온] 김해 장유지사,시간협의,"건별 3,000원",10분전
5,경남 진주시,딜리온 [딜리온] 경남진주지사,시간협의,"건별 3,000원",11분전
6,인천 부평구,딜리온 [딜리온] 인천부평청천지사,시간협의,"일급 200,000원",1시간전
7,인천 부평구,딜리온 [딜리온] 인천부평청천지사,시간협의,"일급 200,000원",1시간전
8,경기 오산시,[딜리온] 경기 오산점,10:00~22:00,"월급 5,000,000원",2시간전
9,경기 오산시,[딜리온] 경기 오산점,10:00~22:00,"월급 5,000,000원",2시간전
10,경기 오산시,[딜리온] 경기 오산점,10:00~22:00,"월급 5,000,000원",2시간전
11,제주 서귀포,딜리온 [딜리온]제주서귀포지사,10:00~24:00,"월급 6,000,000원",2시간전
12,제주 서귀포,딜리온 [딜리온]제주서귀포지사,10:00~24:00,"연봉 100,000,000원",2시간전
13,제주 서귀포,딜리온 [딜리온]제주서귀포지사,10:00~24:00,"일급 250,000원",2시간전
14,대구 달성군,딜리온 [딜리온] 대구 구지지점,시간협의,"일급 150,000원",3시간전
15,대구 달성군,딜리온 [딜리온] 대구 구지지점,시간협의,"일급 150,000원",3시간전
16,대구 달성군,딜리온 [딜리온] 대구 구지지점,시간협의,"일급 150,000원",3시간전
17,경기 오산시,딜리온 [딜리온]경기오산2지사,시간협의,"시급 30,000원",4시간전
18,경기 오산시,딜리온 [딜리온]경기오산2지사,시간협의,"시급 30,000원",4시간전
19,경기 오산시,딜리온 [딜리온]경기오산2지사,시간협의,"시급 30,000원",4시간전
20,전북 전주시,[딜리온] 전주지사,시간협의,"월급 5,000,000원",4시간전
21,전북 전주시,[딜리온] 전주지사,시간협의,"월급 5,000,000원",4시간전
22,전북 전주시,[딜리온] 전주지사,00:00~06:00,"월급 5,000,000원",4시간전
23,경기 오산시,딜리온 [딜리온] 경기오산지사,08:00~02:00,"일급 300,000원",5시간전
24,경기 오산시,딜리온 [딜리온] 경기오산지사,08:00~02:00,"월급 7,500,000원",5시간전
25,경기 오산시,딜리온 [딜리온] 경기오산지사,시간협의,"연봉 100,000,000원",5시간전
26,경기 평택시,딜리온 [딜리온]경기평택지사,시간협의,"건별 4,000원",5시간전
27,경기 평택시,딜리온 [딜리온]경기평택지사,시간협의,"건별 4,000원",5시간전
28,경기 평택시,딜리온 [딜리온]경기평택지사,시간협의,"건별 4,000원",5시간전
29,경기 고양시,딜리온 [딜리온]경기원당지사,시간협의,"건별 3,400원",6시간전
30,인천 미추홀,딜리온 [딜리온] 미추홀숭의지사,시간협의,"일급 200,000원",9시간전
31,서울 전체,딜리온 [딜리온] 서울 은평지사,시간협의,"건별 4,800원",22시간전
32,인천 미추홀,딜리온 [딜리온] 미추홀숭의지사,시간협의,"일급 200,000원",01/17
33,전남 광양시,딜리온 [딜리온]전남광양읍지사,시간협의,"일급 150,000원",01/16
34,인천 미추홀,딜리온 [딜리온] 미추홀숭의지사,시간협의,"일급 200,000원",01/14
35,경기 수원시,딜리온 [딜리온] 수원온수골지사,10:00~24:00,"월급 4,000,000원",01/14
36,경기 수원시,딜리온 [딜리온] 수원온수골지사,10:00~24:00,"월급 4,000,000원",01/14
37,경기 수원시,딜리온 [딜리온] 수원온수골지사,10:00~24:00,"월급 4,000,000원",01/14
38,울산 남구,딜리온 [딜리온] 울산 무거지사,시간협의,"시급 30,000원",01/14
39,울산 남구,딜리온 [딜리온] 울산 무거지사,시간협의,"시급 30,000원",01/14
40,울산 남구,딜리온 [딜리온] 울산 무거지사,시간협의,"시급 30,000원",01/14
41,인천 부평구,[딜리온] 인천부평점,10:00~01:00,"일급 300,000원",01/13
42,인천 계양구,[딜리온] 인천부평점,10:00~01:00,"일급 300,000원",01/13
43,인천 계양구,[딜리온] 인천부평점,10:00~01:00,"일급 300,000원",01/13
44,대구 달서구,[딜리온] 대구용산점,00:00~24:00,"건별 4,000원",01/13
45,대구 달서구,[딜리온] 대구달서점,00:00~24:00,"건별 4,000원",01/13
46,대구 달서구,[딜리온] 대구다사점,00:00~24:00,"건별 4,000원",01/13
47,대구 달서구,[딜리온] 대구용산점,00:00~24:00,"건별 4,000원",01/12
48,대구 달서구,[딜리온] 대구달서점,00:00~24:00,"건별 4,000원",01/12
49,대구 달서구,[딜리온] 대구다사점,00:00~24:00,"건별 4,000원",01/12
50,전남 광양시,딜리온 광양본사직영점,09:00~00:00,"일급 200,000원",01/12
51,전남 광양시,딜리온 광양본사직영점,09:00~00:00,"일급 200,000원",01/12
52,전남 광양시,딜리온 광양본사직영점,09:00~00:00,"일급 200,000원",01/12
53,서울 금천구,딜리온 [딜리온] 서울 금천본부,시간협의,"일급 200,000원",01/12
54,경기 고양시,딜리온 [딜리온]경기원당지사,시간협의,"건별 3,400원",01/11
55,경기 고양시,딜리온 [딜리온]경기원당지사,시간협의,"건별 3,400원",01/11
56,경기 평택시,딜리온 [딜리온]평택3지사,시간협의,"건별 4,000원",01/11
57,경기 광명시,딜리온 [딜리온] 서울 구로광명지사,시간협의,"일급 250,000원",01/11
58,경기 화성시,[딜리온] 딜리온프렌즈 화성점,11:00~24:00,"일급 200,000원",01/11
59,경기 화성시,[딜리온] 딜리온프렌즈 화성점,11:00~24:00,"일급 200,000원",01/11
