14:01:49
2022-01-18
203건
index,place,title,time,pay,date
1,전남 목포시,딜버 산정용해점,시간협의,"일급 150,000원",5분전
2,전남 목포시,딜버 산정용해점,시간협의,"일급 150,000원",5분전
3,전남 목포시,딜버 산정용해점,시간협의,"일급 150,000원",5분전
4,경남 창원시,딜버 마산합성지점,시간협의,"일급 100,000원",10분전
5,경남 창원시,딜버 마산합성지점,시간협의,"일급 100,000원",10분전
6,경남 창원시,딜버 마산합성지점,시간협의,"일급 100,000원",11분전
7,광주 북구,딜버 광주 용봉점,08:00~20:00,"일급 150,000원",18분전
8,광주 북구,딜버 광주 용봉점,08:00~20:00,"일급 150,000원",18분전
9,광주 북구,딜버 광주 용봉점,08:00~20:00,"일급 150,000원",18분전
10,경남 김해시,딜버 구산삼계3호점,09:00~01:00,"건별 40,000원",19분전
11,대전 유성구,딜버 원신흥지점,시간협의,"일급 250,000원",27분전
12,대전 유성구,딜버 원신흥지점,시간협의,"일급 250,000원",28분전
13,대전 유성구,딜버 원신흥지점,시간협의,"일급 250,000원",28분전
14,인천 부평구,딜버 인천 부평점,09:00~06:00,"일급 200,000원",28분전
15,인천 부평구,딜버 인천 부평점,09:00~06:00,"일급 200,000원",29분전
16,인천 부평구,딜버 인천 부평점,09:00~06:00,"일급 200,000원",29분전
17,전북 익산시,딜버 익산본점,시간협의,"일급 200,000원",35분전
18,전북 익산시,딜버 익산본점,시간협의,"일급 200,000원",35분전
19,전북 익산시,딜버 익산본점,시간협의,"일급 200,000원",35분전
20,경남 김해시,딜버 구산삼계3호점,시간협의,"월급 4,000,000원",46분전
21,광주 북구,딜버 광주 용봉점,시간협의,"일급 150,000원",49분전
22,광주 북구,딜버 광주 용봉점,시간협의,"일급 150,000원",50분전
23,광주 북구,딜버 광주 용봉점,시간협의,"일급 150,000원",50분전
24,경남 김해시,서김해ALL3호점,시간협의,"일급 250,000원",50분전
25,경남 김해시,서김해ALL3호점,시간협의,"일급 250,000원",51분전
26,경남 김해시,서김해ALL3호점,시간협의,"일급 250,000원",51분전
27,인천 연수구,딜버 인천송도점,08:00~02:00,"일급 400,000원",55분전
28,인천 연수구,딜버 송도점,08:00~02:00,"일급 400,000원",55분전
29,부산 해운대,해운대점,시간협의,"일급 150,000원",56분전
30,부산 기장군,기장2호점,시간협의,"일급 150,000원",1시간전
31,부산 기장군,기장2호점,시간협의,"일급 150,000원",1시간전
32,부산 기장군,기장2호점,시간협의,"일급 150,000원",1시간전
33,대전 서구,대전관저지점,시간협의,"일급 200,000원",1시간전
34,대전 서구,대전관저지점,시간협의,"일급 200,000원",1시간전
35,부산 전체,기장1호점,시간협의,"일급 150,000원",1시간전
36,부산 전체,기장1호점,시간협의,"일급 150,000원",1시간전
37,부산 전체,기장1호점,시간협의,"일급 150,000원",1시간전
38,대전 서구,대전관저지점,시간협의,"일급 200,000원",1시간전
39,부산 기장군,정관1호점,시간협의,"일급 200,000원",1시간전
40,부산 기장군,정관1호점,시간협의,"일급 200,000원",1시간전
41,부산 기장군,정관1호점,시간협의,"일급 200,000원",1시간전
42,경남 양산시,딜버 경남 양산점,09:00~02:00,"일급 200,000원",1시간전
43,경남 양산시,딜버 경남 양산점,09:00~02:00,"일급 200,000원",1시간전
44,경남 양산시,딜버 경남 양산점,09:00~02:00,"일급 200,000원",1시간전
45,전남 여수시,딜버 전남 여수점,10:00~00:00,"시급 15,000원",2시간전
46,전남 목포시,딜버 목포점,시간협의,"일급 150,000원",2시간전
47,전남 목포시,딜버 목포점,시간협의,"일급 150,000원",2시간전
48,전남 목포시,딜버 목포점,시간협의,"일급 150,000원",2시간전
49,경기 양주시,딜버 경기 양주점,시간협의,"일급 200,000원",2시간전
50,경기 양주시,딜버 경기 양주점,시간협의,"일급 200,000원",2시간전
51,경기 양주시,딜버 경기 양주점,시간협의,"일급 200,000원",2시간전
52,경기 양주시,딜버 딜버 경기양주옥정점,시간협의,"건별 4,000원",2시간전
53,경기 양주시,딜버 딜버 경기양주옥정점,시간협의,"건별 4,000원",2시간전
54,경기 양주시,딜버 딜버 경기양주옥정점,시간협의,"건별 4,000원",2시간전
55,부산 해운대,해운대점,시간협의,"일급 150,000원",2시간전
56,대전 서구,딜버 대전 서구본점,00:00~24:00,"일급 250,000원",2시간전
57,대전 중구,딜버 대전 서구본점,00:00~24:00,"일급 250,000원",2시간전
58,대전 서구,딜버 대전 서구본점,00:00~24:00,"일급 250,000원",2시간전
59,대전 유성구,딜버 상대지점,시간협의,"일급 250,000원",3시간전
60,부산 해운대,해운대점,시간협의,"일급 150,000원",3시간전
61,경남 창원시,딜버 진해본점,00:00~24:00,"시급 20,000원",3시간전
62,경남 창원시,딜버 진해본점,00:00~24:00,"시급 20,000원",3시간전
63,경남 창원시,딜버 진해본점,00:00~24:00,"시급 20,000원",3시간전
64,대전 유성구,대전 궁동지점,시간협의,"일급 200,000원",3시간전
65,대전 유성구,대전 궁동지점,시간협의,"일급 200,000원",3시간전
66,대전 유성구,대전 궁동지점,시간협의,"일급 200,000원",3시간전
67,제주 서귀포,딜버 중문점,10:00~22:00,"일급 150,000원",4시간전
68,경남 양산시,딜버 증산점,시간협의,"일급 200,000원",4시간전
69,제주 서귀포,딜버 중문점,10:00~22:00,"일급 150,000원",4시간전
70,경남 양산시,딜버 증산점,시간협의,"일급 200,000원",4시간전
71,제주 서귀포,딜버 중문점,10:00~22:00,"일급 150,000원",4시간전
72,경남 양산시,딜버 증산점,시간협의,"일급 200,000원",4시간전
73,부산 기장군,딜버 정관5호점,시간협의,"일급 200,000원",4시간전
74,부산 기장군,딜버 정관5호점,시간협의,"일급 200,000원",4시간전
75,부산 기장군,딜버 정관5호점,시간협의,"일급 200,000원",4시간전
76,대전 서구,딜버 대전 원내점,시간협의,"일급 300,000원",4시간전
77,대전 서구,딜버 대전 원내점,시간협의,"일급 300,000원",4시간전
78,대전 서구,딜버 대전 원내점,시간협의,"일급 300,000원",4시간전
79,경남 김해시,김해 삼계1점,시간협의,"건별 4,000원",4시간전
80,경북 포항시,포항 오천점,시간협의,"일급 250,000원",4시간전
81,경북 포항시,포항 오천점,시간협의,"일급 250,000원",4시간전
82,경북 포항시,포항 오천점,시간협의,"일급 250,000원",4시간전
83,제주 서귀포,딜버 제주 서귀포본점,08:00~03:00,"일급 200,000원",4시간전
84,제주 서귀포,딜버 제주 서귀포본점,08:00~03:00,"일급 200,000원",4시간전
85,제주 서귀포,딜버 제주 서귀포본점,08:00~03:00,"일급 200,000원",4시간전
86,부산 기장군,딜버 정관4호점,시간협의,"일급 150,000원",5시간전
87,부산 기장군,딜버 정관4호점,시간협의,"일급 150,000원",5시간전
88,경남 창원시,창원중앙동,시간협의,"일급 150,000원",5시간전
89,경남 창원시,창원중앙동,시간협의,"일급 150,000원",5시간전
90,부산 기장군,딜버 정관4호점,시간협의,"일급 150,000원",5시간전
91,경남 창원시,창원중앙동,시간협의,"일급 150,000원",5시간전
92,경남 창원시,창원중앙점,시간협의,"시급 150,000원",5시간전
93,경남 창원시,창원중앙점,시간협의,"시급 150,000원",5시간전
94,경남 창원시,창원중앙점,시간협의,"시급 150,000원",5시간전
95,대전 유성구,딜버 상대지점,시간협의,"일급 250,000원",5시간전
96,경남 김해시,딜버 장유무계점,시간협의,"일급 200,000원",5시간전
97,경남 김해시,딜버 장유무계점,시간협의,"일급 200,000원",5시간전
98,경남 김해시,딜버 장유무계점,시간협의,"일급 200,000원",5시간전
99,대전 유성구,딜버 상대지점,시간협의,"일급 250,000원",5시간전
100,경남 김해시,장유1지점,08:00~03:30,"일급 200,000원",6시간전
101,경남 김해시,김해본점,시간협의,"일급 250,000원",6시간전
102,경기 전체,딜버 안양관양점,10:00~01:00,"일급 200,000원",6시간전
103,경기 전체,딜버 안양관양점,시간협의,"일급 250,000원",6시간전
104,경기 전체,딜버 안양관양점,10:00~01:00,"일급 200,000원",6시간전
105,경남 김해시,장유1지점,08:00~03:30,"일급 200,000원",6시간전
106,경남 김해시,김해본점,시간협의,"일급 250,000원",6시간전
107,부산 해운대,딜버 중동점,시간협의,"일급 200,000원",6시간전
108,부산 해운대,딜버 중동점,시간협의,"일급 200,000원",6시간전
109,부산 해운대,딜버 중동점,시간협의,"일급 200,000원",6시간전
110,부산 해운대,딜버 좌동점,시간협의,"일급 200,000원",6시간전
111,부산 해운대,딜버 좌동점,시간협의,"일급 200,000원",6시간전
112,부산 해운대,딜버 좌동점,시간협의,"일급 200,000원",6시간전
113,부산 해운대,딜버 부산 해운대본점,시간협의,"일급 200,000원",7시간전
114,부산 해운대,딜버 부산 해운대본점,시간협의,"일급 200,000원",7시간전
115,부산 해운대,딜버 부산 해운대본점,시간협의,"일급 200,000원",7시간전
116,경남 김해시,김해 삼계1점,시간협의,"건별 4,000원",7시간전
117,대전 유성구,딜버 구암지점,시간협의,"일급 250,000원",8시간전
118,대전 유성구,딜버 구암지점,시간협의,"일급 250,000원",8시간전
119,대전 유성구,딜버 구암지점,시간협의,"일급 250,000원",8시간전
120,경북 경산시,딜버 중방지점,시간협의,"일급 250,000원",8시간전
121,경북 경산시,딜버 경산영대점,시간협의,"일급 250,000원",8시간전
122,부산 해운대,딜버 오시리아점,00:00~24:00,"월급 4,000,000원",15시간전
123,부산 해운대,딜버 오시리아점,00:00~24:00,"월급 4,000,000원",15시간전
124,경남 김해시,딜버 서김해점,시간협의,"일급 200,000원",23시간전
125,경남 김해시,딜버 서김해점,시간협의,"일급 200,000원",23시간전
126,제주 서귀포,딜버 서귀2지점,시간협의,"건별 3,500원",01/17
127,제주 서귀포,딜버 서귀2지점,시간협의,"건별 3,500원",01/17
128,경남 김해시,딜버 동김해2호점,시간협의,"건별 4,000원",01/17
129,경남 김해시,딜버 딜버 진영지점,시간협의,"건별 3,500원",01/16
130,경남 김해시,딜버 딜버 진영지점,시간협의,"건별 3,500원",01/16
131,경남 김해시,딜버 딜버 진영지점,시간협의,"건별 3,500원",01/16
132,경남 김해시,김해 삼계1점,시간협의,"건별 4,000원",01/16
133,경남 김해시,장유1지점,08:00~03:30,"일급 200,000원",01/16
134,경남 김해시,김해본점,시간협의,"일급 250,000원",01/16
135,제주 서귀포,딜버 서귀1지점,시간협의,"건별 3,500원",01/15
136,제주 서귀포,딜버 서귀1지점,시간협의,"건별 3,500원",01/15
137,제주 서귀포,딜버 서귀1지점,시간협의,"건별 3,500원",01/15
138,전북 전주시,전주 중앙지점,시간협의,"월급 5,000,000원",01/15
139,전북 전주시,서신지점,09:00~24:00,"일급 200,000원",01/15
140,전북 전주시,신시지점,09:00~04:00,"일급 200,000원",01/15
141,전북 전주시,전주 본점,17:00~02:00,"월급 5,000,000원",01/15
142,경기 의왕시,딜버 계원대점,시간협의,"일급 260,000원",01/15
143,대전 서구,딜버 대전가수원점,시간협의,"일급 250,000원",01/15
144,대전 서구,딜버 대전가수원점,시간협의,"일급 250,000원",01/15
145,대전 서구,딜버 대전가수원점,시간협의,"일급 250,000원",01/15
146,부산 부산진,딜버 당감점,시간협의,"월급 5,000,000원",01/14
147,부산 부산진,딜버 당감점,시간협의,"월급 5,000,000원",01/14
148,부산 부산진,딜버 당감점,시간협의,"월급 5,000,000원",01/14
149,경기 화성시,딜버 화성 봉담점,10:00~02:00,"일급 200,000원",01/14
