14:10:19
2022-01-18
15건
index,place,title,time,pay,date
1,울산 남구,러쉬 롯데울산,10:00~21:00,"시급 11,230원",1시간전
2,서울 강남구,(주)러쉬코리아,시간협의,"시급 11,230원",1시간전
3,서울 성북구,(주)러쉬코리아,12:00~20:00,"시급 11,230원",1시간전
4,서울 중구,(주)러쉬코리아,12:00~21:00,"시급 11,230원",2시간전
5,서울 송파구,(주)러쉬코리아,13:00~22:00,"시급 10,790원",7시간전
6,경남 김해시,러쉬 신세계김해,09:30~20:30,"시급 11,230원",18시간전
7,서울 서초구,(주)러쉬코리아 강남역점,10:00~22:00,"시급 11,230원",01/15
8,서울 서초구,(주)러쉬코리아 강남역점,10:00~22:00,"시급 11,230원",01/15
9,전국 전체,(주)러쉬 러쉬코리아,시간협의,"시급 10,790원",01/13
10,서울 강남구,(주)러쉬코리아,09:30~20:30,"시급 11,230원",01/12
11,서울 중구,러쉬 신세계본점,09:30~20:30,"시급 10,790원",01/11
12,전북 전체,러쉬 롯데전주,시간협의,"시급 11,230원",01/09
13,경기 부천시,러쉬 현대중동,시간협의,"시급 11,230원",01/09
14,서울 서초구,러쉬코리아,09:00~17:00,"시급 11,230원",01/07
15,부산 전체,(주)러쉬코리아,시간협의,"시급 11,230원",01/06
