14:11:19
2022-01-18
15건
index,place,title,time,pay,date
1,부산 금정구,롭스 부산대점,16:30~23:00,"시급 9,160원",22분전
2,서울 강남구,롭스 가로수길점,15:30~22:00,"시급 9,160원",30분전
3,경기 동두천,롭스 동두천점,16:30~21:30,"시급 9,160원",35분전
4,서울 강북구,롭스 수유점,11:30~15:00,"시급 9,160원",46분전
5,서울 용산구,롭스 용산역점,15:00~21:00,"시급 9,160원",2시간전
6,서울 강북구,롭스 수유점,17:00~22:00,"시급 9,160원",3시간전
7,부산 금정구,롭스 부산대점,16:30~23:00,"시급 9,160원",3시간전
8,대구 중구,롭스 대구동성로점,18:00~21:30,"시급 9,160원",16시간전
9,서울 송파구,롭스 월드몰2호점,15:00~21:30,"시급 9,160원",01/17
10,서울 중구,롭스 서울역점,17:00~22:00,"시급 9,160원",01/17
11,서울 중구,롭스 서울역점,17:00~22:00,"시급 9,160원",01/17
12,부산 부산진,롭스 서면역사점-110호,10:00~16:30,"시급 9,160원",01/16
13,경기 수원시,롭스 인계점,14:30~22:00,"시급 9,160원",01/13
14,서울 중구,롭스 서울역점,17:00~22:00,"시급 9,160원",01/10
15,광주 광산구,롯데쇼핑㈜ H&B사업본부 (롭스) 광,10:30~16:00,"시급 9,160원",01/05
