14:19:18
2022-01-18
741건
index,place,title,time,pay,date
1,서울 강북구,롯데리아 번동DT점,시간협의,"시급 9,160원",4분전
2,경기 동두천,롯데리아 지행역점,00:00~24:00,"시급 9,160원",8분전
3,경기 동두천,롯데리아 지행역점,00:00~24:00,"시급 9,160원",8분전
4,경기 동두천,롯데리아 지행역점,00:00~24:00,"시급 9,160원",8분전
5,경기 동두천,롯데리아 지행역점,00:00~24:00,"시급 9,160원",8분전
6,경기 동두천,롯데리아 지행역점,00:00~24:00,"시급 9,160원",9분전
7,경기 수원시,롯데리아 수원권선점,시간협의,"월급 2,100,000원",12분전
8,경기 수원시,롯데리아 수원권선점,시간협의,"시급 9,160원",12분전
9,경기 수원시,롯데리아 수원권선점,시간협의,"월급 2,100,000원",12분전
10,경기 수원시,롯데리아 수원권선점,시간협의,"시급 9,160원",12분전
11,경기 수원시,롯데리아 수원권선점,시간협의,"시급 9,160원",12분전
12,광주 광산구,롯데리아 롯데마트광주수완점,18:00~21:00,"시급 9,160원",13분전
13,경기 화성시,롯데리아 향남2신도시,시간협의,"시급 9,160원",23분전
14,경기 화성시,롯데리아 향남2신도시,시간협의,"시급 9,160원",23분전
15,경기 화성시,롯데리아 향남2신도시,시간협의,"월급 2,300,000원",23분전
16,경기 화성시,롯데리아 향남2신도시,시간협의,"월급 2,300,000원",23분전
17,경기 화성시,롯데리아 향남2신도시,시간협의,"월급 2,300,000원",24분전
18,경기 수원시,롯데리아 수원팔달점,00:00~24:00,"시급 9,160원",24분전
19,경기 수원시,롯데리아 수원팔달점,00:00~24:00,"시급 9,160원",24분전
20,경기 수원시,롯데리아 수원팔달점,시간협의,"월급 2,300,000원",25분전
21,인천 미추홀,롯데리아 인천학익점,18:00~24:00,"시급 9,160원",25분전
22,경기 수원시,롯데리아 수원팔달점,시간협의,"월급 2,300,000원",25분전
23,인천 미추홀,롯데리아 인천학익점,18:00~24:00,"시급 9,160원",25분전
