14:13:52
2022-01-18
49건
index,place,title,time,pay,date
1,서울 광진구,매드포갈릭 건대스타시티점,시간협의,"시급 11,000원",2분전
2,전국 전체,주식회사엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급 11,000원",48분전
3,경기 안성시,매드포갈릭 안성스타필드점,시간협의,"시급 11,000원",1시간전
4,서울 전체,MAD FOR GARLIC 현대미아점,01:00~24:00,"시급 11,000원",1시간전
5,서울 서초구,매드포갈릭 삼성타운점,시간협의,"시급 11,000원",1시간전
6,서울 서초구,매드포갈릭 삼성타운점,시간협의,"시급 11,000원",1시간전
7,서울 광진구,매드포갈릭 건대스타시티점,시간협의,"시급 11,000원",3시간전
8,경기 수원시,매드포갈릭 수원인계점,12:00~21:00,"시급 11,000원",3시간전
9,울산 남구,매드포갈릭 울산현대백화점,12:00~21:00,"시급 11,000원",3시간전
10,서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급 11,000원",3시간전
11,대전 서구,매드포갈릭 대전둔산점,11:30~20:30,"시급 10,470원",3시간전
12,서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급 11,000원",4시간전
13,서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급 11,000원",4시간전
14,울산 남구,매드포갈릭 울산현대백화점,12:00~21:00,"시급 11,000원",4시간전
15,전국 전체,주식회사엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급 11,000원",6시간전
16,전국 전체,주식회사엠에프지코리아매드포갈릭합정점,12:00~21:00,"시급 11,000원",6시간전
17,서울 영등포,매드포갈릭 영등포타임스퀘어점,12:30~21:30,"시급 11,000원",6시간전
18,서울 강서구,매드포갈릭 발산점,시간협의,"시급 11,000원",6시간전
19,경기 안성시,매드포갈릭 안성스타필드점,시간협의,"시급 11,000원",6시간전
20,울산 남구,매드포갈릭 울산현대백화점,12:00~21:00,"시급 11,000원",6시간전
21,서울 영등포,매드포갈릭 영등포타임스퀘어점,12:30~21:30,"시급 11,000원",14시간전
22,서울 영등포,매드포갈릭 영등포타임스퀘어점,12:30~21:30,"시급 11,000원",17시간전
23,경기 안성시,매드포갈릭 안성스타필드점,시간협의,"시급 11,000원",18시간전
24,서울 서초구,매드포갈릭 삼성타운점,시간협의,"시급 11,000원",22시간전
25,서울 서초구,매드포갈릭 삼성타운점,시간협의,"시급 11,000원",22시간전
26,서울 서초구,매드포갈릭 삼성타운점,시간협의,"시급 11,000원",22시간전
27,서울 마포구,매드포갈릭 합정점,12:00~21:00,"시급 11,000원",22시간전
28,서울 중구,매드포갈릭 센터원점,시간협의,"시급 11,000원",23시간전
29,인천 연수구,매드포갈릭 송도점,11:00~14:00,"시급 9,160원",01/17
30,서울 광진구,매드포갈릭 건대스타시티점,시간협의,"시급 11,000원",01/16
31,서울 강서구,매드포갈릭 발산점,시간협의,"시급 11,000원",01/16
32,서울 서초구,매드포갈릭 사당점,12:00~21:00,"시급 11,000원",01/15
33,서울 마포구,매드포갈릭 합정점,12:00~21:00,"시급 11,000원",01/15
34,경기 안성시,매드포갈릭 안성스타필드점,시간협의,"시급 11,000원",01/14
35,서울 영등포,매드포갈릭 영등포타임스퀘어점,17:00~21:30,"시급 11,000원",01/14
36,서울 중구,매드포갈릭 센터원점,시간협의,"시급 11,000원",01/13
37,경기 성남시,매드포갈릭 분당서현점,12:00~21:00,"시급 11,000원",01/13
38,경기 수원시,매드포갈릭 롯데시네마 수원역점,시간협의,"시급 11,000원",01/13
39,서울 중구,매드포갈릭센터원점,시간협의,"시급 11,000원",01/12
40,서울 양천구,(주)엠에프지코리아 매드포갈릭 목동점,시간협의,"시급 11,000원",01/12
41,인천 연수구,매드포갈릭 송도점,13:00~21:00,"시급 9,160원",01/12
42,서울 영등포,매드포갈릭 영등포타임스퀘어점,12:30~21:30,"시급 11,000원",01/12
43,대전 서구,매드포갈릭 대전둔산점,11:30~20:30,"시급 10,470원",01/10
44,서울 광진구,매드포갈릭 건대스타시티점,시간협의,"시급 11,000원",01/10
45,서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급 11,000원",01/07
46,경기 안성시,매드포갈릭 안성스타필드점,시간협의,"시급 11,000원",01/06
47,서울 강서구,매드포갈릭 발산점,시간협의,"시급 11,000원",01/05
48,경기 부천시,매드포갈릭 부천중동현대점,18:30~21:30,"시급 11,000원",01/03
49,서울 송파구,매드포갈릭 롯데월드타워점,13:00~22:00,"시급 11,000원",01/03
