place,title,time,pay,date
경기 수원시,매머드 익스프레스 수원인계점,12:00~20:00,"시급 9,160원",2분전
경기 수원시,매머드 익스프레스 수원인계점,17:00~20:30,"시급 9,160원",3분전
경기 수원시,매머드 익스프레스 수원인계점,12:00~17:00,"시급 9,160원",4분전
서울 성동구,매머드 익스프레스 성수우림점,11:00~15:00,"시급 10,000원",10분전
서울 강남구,매머드 익스프레스 뱅뱅사거리점,09:00~18:00,"월급 1,920,000원",15분전
서울 중구,매머드 익스프레스 신용산점,12:00~17:00,"시급 9,160원",30분전
서울 동작구,매머드 익스프레스 신용산점,12:00~17:00,"시급 9,160원",31분전
서울 용산구,매머드 익스프레스 신용산점,12:00~17:00,"시급 9,160원",32분전
서울 강동구,매머드 익스프레스 고덕자이점,시간협의,"시급 10,000원",2시간전
세종 어진동,매머드 익스프레스 세종중앙타운점,16:30~19:00,"시급 9,160원",2시간전
세종 어진동,매머드 익스프레스 세종중앙타운점,16:30~19:00,"시급 9,160원",2시간전
경기 수원시,매머드 익스프레스 수원성대역점,시간협의,"시급 9,160원",2시간전
서울 강남구,매머드 익스프레스 뱅뱅사거리점,09:00~18:00,"월급 1,920,000원",3시간전
서울 서초구,매머드 익스프레스 서초법원점,12:00~14:30,"시급 10,000원",3시간전
서울 서초구,매머드 익스프레스 서초법원점,12:00~14:30,"시급 10,000원",3시간전
충남 전체,매머드 익스프레스 천안 아산역점,16:00~19:00,"시급 9,160원",3시간전
경기 안산시,매머드 익스프레스 안산한대역점,11:00~14:00,"시급 9,500원",4시간전
서울 동대문,매머드 익스프레스 신설동역점,11:30~14:00,"시급 9,160원",4시간전
서울 강동구,매머드익스프레스,12:00~16:00,"시급 11,000원",4시간전
경기 남양주,매머드 익스프레스 별내역파라곤스퀘어점,08:00~14:00,"시급 9,160원",4시간전
경기 하남시,매머드 익스프레스 미사스마트밸리점,10:30~17:30,"시급 9,160원",4시간전
경기 남양주,매머드 익스프레스 별내역파라곤스퀘어점,14:00~20:30,"시급 9,160원",4시간전
경기 하남시,매머드 익스프레스 미사호반써밋점,17:30~22:30,"시급 9,160원",4시간전
서울 구로구,매머드 익스프레스 구로디지털단지점,08:00~15:00,"시급 9,160원",4시간전
부산 해운대,매머드익스프레스 부산센텀,08:00~14:30,"시급 9,160원",6시간전
부산 해운대,매머드익스프레스 부산센텀,08:00~14:30,"시급 9,160원",6시간전
부산 해운대,매머드익스프레스 부산센텀,08:00~14:30,"시급 9,160원",6시간전
서울 영등포,매머드 익스프레스 당산이레빌딩점,12:00~17:30,"시급 9,160원",6시간전
서울 강남구,매머드 익스프레스 뱅뱅사거리점,시간협의,"시급 9,160원",6시간전
경기 하남시,매머드 익스프레스 미사호반써밋점,08:00~17:00,"월급 2,000,000원",7시간전
서울 성동구,매머드 익스프레스 성수우림점,07:30~10:30,"시급 9,160원",7시간전
경기 전체,매머드 익스프레스 킨텍스꿈에그린점,07:30~14:30,"시급 9,300원",7시간전
서울 강남구,매머드 익스프레스 압구정점,07:30~14:00,"시급 9,160원",7시간전
서울 서초구,매머드익스프레스 교대후문,12:00~15:00,"시급 9,160원",7시간전
서울 강남구,매머드 익스프레스 삼성역현대GBC점,시간협의,"시급 9,160원",7시간전
대구 중구,매머드 익스프레스 대구경대병원역점,07:30~18:00,"시급 9,160원",7시간전
서울 강남구,매머드 익스프레스 삼성역현대GBC점,시간협의,"시급 9,160원",8시간전
서울 마포구,매머드 익스프레스 상암IT타워점,16:00~20:30,"시급 9,160원",8시간전
경기 부천시,매머드 익스프레스 상동역점,시간협의,"시급 9,160원",8시간전
서울 금천구,매머드 익스프레스 독산점,08:00~10:30,"시급 10,000원",10시간전
서울 용산구,매머드 익스프레스 용산푸르지오써밋점,08:00~15:00,"시급 9,160원",12시간전
서울 동대문,매머드 익스프레스 신설동역점,12:30~17:30,"시급 9,160원",15시간전
서울 강남구,매머드 익스프레스 역삼언주로점,12:00~18:30,"시급 9,160원",01/16
서울 마포구,매머드 익스프레스 상암IT타워점,16:00~20:30,"시급 9,160원",01/16
경기 의정부,매머드 익스프레스 의정부어룡역점,시간협의,"시급 10,500원",01/16
서울 강남구,매머드 익스프레스 수서역점,11:00~15:00,"시급 9,160원",01/15
서울 성동구,매머드 익스프레스 성수우림점,11:00~14:30,"시급 9,160원",01/15
인천 연수구,매머드 익스프레스 송도IT센터점,08:30~10:30,"시급 9,160원",01/14
서울 마포구,매머드 익스프레스 상암IT타워점,16:00~20:30,"시급 9,160원",01/14
부산 전체,매머드 익스프레스 부산마린시티점,14:00~22:00,"시급 9,160원",01/14
대구 중구,매머드 익스프레스 대구경대병원역점,17:00~19:30,"시급 9,160원",01/14
서울 마포구,매머드 익스프레스 상암IT타워점,16:00~20:30,"시급 9,160원",01/13
부산 남구,매머드 익스프레스 부산 용호동W스퀘어,시간협의,"시급 9,160원",01/12
서울 금천구,매머드 익스프레스 대륭19차점,시간협의,"시급 9,160원",01/11
