14:09:35
2022-01-18
21건
index,place,title,time,pay,date
1,경기 성남시,매머드커피 판교,09:00~15:00,"시급 9,200원",1시간전
2,서울 영등포,매머드커피 여의도증권가,06:30~13:30,"시급 9,160원",2시간전
3,서울 영등포,매머드커피 여의도증권가,06:30~13:30,"시급 9,160원",2시간전
4,서울 강남구,매머드커피 삼성,08:00~14:30,"시급 11,005원",6시간전
5,서울 강남구,매머드커피 선정릉,08:00~17:00,"월급 2,400,000원",7시간전
6,경기 성남시,매머드커피 판교,12:30~15:00,"시급 9,200원",7시간전
7,경기 성남시,매머드커피 판교,09:00~15:00,"시급 9,200원",7시간전
8,경기 성남시,매머드커피 수내,09:30~15:00,"시급 9,160원",01/17
9,서울 전체,매머드커피 강남역,시간협의,"시급 9,160원",01/16
10,서울 강남구,매머드커피 삼성,08:00~14:30,"시급 11,005원",01/15
11,서울 중구,매머드커피 퍼시픽타워,12:00~19:30,"시급 9,160원",01/15
12,서울 중구,매머드커피 소공동,시간협의,"시급 9,160원",01/14
13,서울 중구,매머드커피 퍼시픽타워,12:00~19:30,"시급 9,160원",01/14
14,서울 중구,매머드커피 소공동,시간협의,"시급 9,160원",01/14
15,서울 중구,매머드커피 퍼시픽타워,12:00~19:30,"시급 9,160원",01/13
16,서울 중구,매머드커피 소공동,시간협의,"시급 9,160원",01/11
17,서울 영등포,매머드커피 여의도S점,06:00~14:00,"시급 9,160원",01/11
18,서울 강남구,매머드커피 역삼역점,10:00~19:00,"시급 9,160원",01/10
19,서울 강남구,매머드커피 역삼역점,07:00~14:00,"시급 9,160원",01/10
20,서울 중구,매머드커피 소공동,시간협의,"시급 9,160원",01/09
21,서울 중구,매머드커피 소공동,시간협의,"시급 9,160원",01/08
