14:02:09
2022-01-18
185건
index,place,title,time,pay,date
1,인천 미추홀,부릉 인천미추홀지점,시간협의,"건별 3,700원",14분전
2,부산 부산진,부릉 부산개금지점,10:00~24:00,"건별 3,000원",31분전
3,부산 부산진,부릉 부산개금지점,10:00~24:00,"건별 3,000원",31분전
4,부산 부산진,부릉 부산개금지점,10:00~24:00,"건별 3,000원",31분전
5,서울 금천구,부릉 금천시흥지점,시간협의,"일급 200,000원",45분전
6,전북 전주시,부릉 전주만성지점,10:00~01:00,"월급 5,000,000원",1시간전
7,부산 사하구,부릉 부산감천지점,시간협의,"월급 3,500,000원",1시간전
8,인천 서구,부릉 인천석남지점,08:00~01:00,"건별 3,500원",1시간전
9,인천 서구,부릉 인천석남지점,08:00~01:00,"건별 3,500원",2시간전
10,경기 평택시,부릉 평택용이지점,08:00~02:00,"일급 300,000원",2시간전
11,인천 중구,부릉 인천운서지점,시간협의,"일급 200,000원",2시간전
12,경기 남양주,부릉 부릉 경인팀,시간협의,"일급 200,000원",2시간전
13,부산 사하구,부릉 부산다대지점,10:00~03:00,"건별 3,000원",2시간전
14,서울 동작구,부릉 동작노량진지점,09:00~00:00,"건별 3,500원",2시간전
15,서울 동작구,부릉 동작노량진지점,09:00~00:00,"건별 3,500원",2시간전
16,서울 동작구,부릉 동작노량진지점,09:00~00:00,"건별 3,500원",2시간전
17,경남 진주시,부릉 진주초전지점,09:00~03:00,"건별 3,000원",3시간전
18,충남 당진시,부릉 당진읍내지점,시간협의,"건별 4,000원",3시간전
19,경기 성남시,부릉 성남정자지점,시간협의,"일급 250,000원",3시간전
20,경기 성남시,부릉 성남정자지점,시간협의,"일급 250,000원",3시간전
21,경기 성남시,부릉 성남정자지점,시간협의,"일급 250,000원",3시간전
22,경기 성남시,부릉 성남중원수정지점,10:00~03:00,"월급 5,000,000원",3시간전
23,경기 성남시,부릉 성남중원수정지점,10:00~03:00,"월급 5,000,000원",3시간전
24,경기 성남시,부릉 성남중원수정지점,10:00~03:00,"월급 5,000,000원",3시간전
25,전북 전주시,부릉 전주진북지점,시간협의,"월급 5,000,000원",4시간전
26,인천 중구,부릉 인천운서지점,시간협의,"일급 200,000원",4시간전
27,경남 창원시,부릉 창원상남지점,시간협의,"월급 4,500,000원",4시간전
28,경남 창원시,부릉 창원상남지점,시간협의,"월급 4,500,000원",4시간전
29,경남 창원시,부릉 창원상남지점,시간협의,"월급 4,500,000원",4시간전
30,경남 양산시,부릉 양산웅상지점,10:00~24:00,"월급 4,000,000원",4시간전
31,경남 양산시,부릉 양산웅상지점,10:00~24:00,"월급 4,000,000원",4시간전
32,경남 양산시,부릉 양산웅상지점,10:00~24:00,"월급 4,000,000원",4시간전
33,서울 금천구,부릉 금천시흥지점,시간협의,"일급 200,000원",4시간전
34,서울 마포구,부릉 마포망원지점,시간협의,"건별 3,600원",4시간전
35,부산 해운대,부릉 부산우동지점,09:00~02:00,"월급 6,000,000원",4시간전
36,부산 해운대,부릉 부산우동지점,09:00~02:00,"월급 6,000,000원",4시간전
37,부산 해운대,부릉 부산우동지점,09:00~02:00,"월급 6,000,000원",4시간전
38,서울 관악구,부릉 관악봉천지점,시간협의,"일급 210,000원",4시간전
39,서울 관악구,부릉 관악봉천지점,시간협의,"월급 5,000,000원",4시간전
40,서울 관악구,부릉 관악봉천지점,시간협의,"연봉 60,000,000원",4시간전
41,부산 해운대,부릉 부산송정지점,시간협의,"월급 4,500,000원",4시간전
42,부산 해운대,부릉 부산송정지점,시간협의,"월급 4,500,000원",4시간전
43,부산 기장군,부릉 부산송정지점,시간협의,"월급 4,500,000원",4시간전
44,경기 성남시,부릉 성남태평지점,시간협의,"월급 5,000,000원",5시간전
45,부산 해운대,부릉 부산중동지점,10:00~02:00,"건별 3,300원",5시간전
46,부산 해운대,부릉 부산중동지점,10:00~02:00,"건별 3,300원",5시간전
47,부산 해운대,부릉 부산중동지점,10:00~02:00,"건별 3,300원",5시간전
48,인천 서구,부릉 인천청라지점,00:00~24:00,"일급 220,000원",5시간전
49,인천 서구,부릉 인천청라지점,00:00~24:00,"건별 3,400원",5시간전
50,인천 서구,부릉 인천청라지점,00:00~24:00,"건별 3,400원",5시간전
51,부산 동래구,부릉 부산동래사직지점,11:00~02:00,"건별 3,200원",5시간전
52,부산 동래구,부릉 부산동래사직지점,11:00~02:00,"건별 3,200원",5시간전
53,부산 동래구,부릉 부산동래사직지점,11:00~02:00,"건별 3,200원",5시간전
54,부산 금정구,부릉 부산온천지점,10:00~02:00,"건별 3,000원",5시간전
55,부산 금정구,부릉 부산온천지점,10:00~02:00,"건별 3,000원",5시간전
56,대구 서구,부릉 대구서구평리지점,시간협의,"월급 5,000,000원",5시간전
57,인천 서구,부릉 인천석남지점,08:00~01:00,"건별 3,500원",5시간전
58,부산 동래구,부릉 부산온천지점,10:00~02:00,"건별 3,000원",5시간전
59,대구 수성구,부릉통합지원센터,08:00~04:00,"일급 300,000원",5시간전
60,전북 전주시,부릉 전주만성지점,10:00~01:00,"월급 5,000,000원",5시간전
61,충북 전체,부릉 청주서원지점,09:00~03:00,"건별 3,000원",5시간전
62,충남 당진시,부릉 당진읍내지점,시간협의,"건별 4,000원",6시간전
63,서울 마포구,부릉 마포신촌지점,10:00~05:00,"건별 3,400원",6시간전
64,부산 금정구,부릉 부산장전지점,09:00~02:00,"건별 3,000원",6시간전
65,부산 금정구,부릉 부산장전지점,09:00~02:00,"건별 3,000원",6시간전
66,부산 금정구,부릉 부산장전지점,09:00~02:00,"건별 3,000원",6시간전
67,충남 당진시,부릉 당진읍내지점,시간협의,"건별 4,000원",6시간전
68,경기 용인시,부릉 부릉 경인팀,시간협의,"건별 3,000원",7시간전
69,광주 전체,부릉 부릉 남부팀,시간협의,건별 500원,7시간전
70,전남 전체,부릉 부릉 남부팀,시간협의,건별 500원,7시간전
71,광주 전체,부릉 부릉 남부팀,시간협의,"건별 3,000원",7시간전
72,경남 통영시,부릉 통영북신지점,08:00~02:00,"건별 3,000원",7시간전
73,부산 기장군,부릉 부산교리지점,09:00~02:00,"건별 3,500원",7시간전
74,부산 기장군,부릉 부산교리지점,09:00~02:00,"건별 3,500원",7시간전
75,부산 기장군,부릉 부산교리지점,09:00~02:00,"건별 3,500원",7시간전
76,전북 전주시,부릉 전주만성지점,10:00~01:00,"월급 5,000,000원",7시간전
77,인천 남동구,부릉 인천논현지점,10:00~01:00,"건별 3,500원",8시간전
78,인천 남동구,부릉 인천논현지점,10:00~01:00,"건별 3,500원",8시간전
79,인천 남동구,부릉 인천논현지점,10:00~01:00,"건별 3,500원",8시간전
80,광주 남구,부릉 광주진월지점,09:30~00:30,"건별 2,900원",8시간전
81,경기 광주시,부릉 광주경안지점,10:00~01:00,"월급 6,000,000원",8시간전
82,경북 경산시,부릉 경산정평지점,10:00~02:00,"일급 200,000원",18시간전
83,경북 경산시,부릉 경산정평지점,10:00~02:00,"일급 200,000원",18시간전
84,경북 경산시,부릉 경산정평지점,10:00~02:00,"일급 200,000원",18시간전
85,서울 노원구,부릉 노원공릉지점,시간협의,"일급 300,000원",23시간전
86,서울 노원구,부릉 노원공릉지점,시간협의,"일급 300,000원",23시간전
87,부산 사하구,부릉 부산감천지점,시간협의,"월급 3,500,000원",01/17
88,경남 진주시,부릉 진주초전지점,09:00~03:00,"건별 3,000원",01/17
89,경기 용인시,부릉 용인동백지점,시간협의,"월급 7,000,000원",01/16
90,대구 수성구,부릉통합지원센터,08:00~04:00,"일급 300,000원",01/16
91,제주 서귀포,부릉 제주서귀지점,08:00~03:00,"건별 3,500원",01/16
92,경기 평택시,부릉 평택용이지점,시간협의,"일급 200,000원",01/16
93,경기 광주시,부릉 광주경안지점,10:00~01:00,"월급 6,000,000원",01/16
94,서울 금천구,부릉 금천시흥지점,시간협의,"일급 200,000원",01/16
95,대구 수성구,부릉통합지원센터,08:00~04:00,"일급 300,000원",01/16
96,경기 하남시,부릉 하남신장지점,시간협의,"건별 3,500원",01/16
97,경기 안양시,부릉 안양관양지점,시간협의,"월급 5,000,000원",01/16
