13:59:04
2022-01-18
183건
index,place,title,time,pay,date
1,충남 서산시,모아콜 배달대행 충남서산성연지점,10:00~08:00,"건별 3,500원",13분전
2,경남 김해시,모아콜 배달대행 경남김해중앙지점,시간협의,"일급 300,000원",32분전
3,경남 김해시,모아콜 배달대행 경남김해중앙지점,시간협의,"일급 300,000원",33분전
4,경남 김해시,모아콜 배달대행 경남김해중앙지점,시간협의,"일급 300,000원",35분전
5,경남 김해시,모아콜 배달대행 경남김해구산동지점,시간협의,"일급 300,000원",2시간전
6,서울 은평구,모아콜 배달대행 서울은평서대문1지점,시간협의,"일급 300,000원",2시간전
7,전남 순천시,모아콜 배달대행 전남순천2지점,시간협의,"월급 5,000,000원",2시간전
8,전남 순천시,모아콜 배달대행 전남순천2지점,시간협의,"월급 5,000,000원",2시간전
9,전남 순천시,모아콜 배달대행 전남순천2지점,시간협의,"월급 5,000,000원",2시간전
10,광주 광산구,모아콜 배달대행 광주광산구핫플지점,시간협의,"일급 200,000원",3시간전
11,광주 광산구,모아콜 배달대행 광주광산구핫플지점,시간협의,"일급 200,000원",3시간전
12,광주 광산구,모아콜 배달대행 광주광산구핫플지점,시간협의,"일급 200,000원",3시간전
13,세종 반곡동,모아콜 배달대행 세종다정지점,시간협의,"건별 5,000원",3시간전
14,경북 구미시,모아콜 배달대행 경북구미인동지점,시간협의,"일급 100,000원",4시간전
15,경북 구미시,모아콜 배달대행 경북구미인동지점,시간협의,"일급 100,000원",4시간전
16,부산 강서구,모아콜 배달대행 부산강서구지점,시간협의,"일급 200,000원",4시간전
17,부산 강서구,모아콜 배달대행 부산강서구지점,시간협의,"일급 200,000원",4시간전
18,부산 강서구,모아콜 배달대행 부산강서구지점,시간협의,"일급 200,000원",4시간전
19,부산 강서구,모아콜 배달대행 부산명지오션시티지점,시간협의,"일급 200,000원",4시간전
20,부산 강서구,모아콜 배달대행 부산명지오션시티지점,시간협의,"일급 200,000원",4시간전
21,부산 강서구,모아콜 배달대행 부산명지오션시티지점,시간협의,"일급 200,000원",4시간전
22,부산 동구,모아콜 배달대행 부산동구초량지점,08:00~01:30,"건별 3,800원",5시간전
23,부산 동구,모아콜 배달대행 부산동구초량지점,08:00~01:30,"건별 3,800원",5시간전
24,부산 동구,모아콜 배달대행 부산동구초량지점,08:00~01:30,"건별 3,800원",5시간전
25,서울 강남구,모아콜 배달대행 강남대치치점,시간협의,"일급 120,000원",5시간전
26,인천 계양구,모아콜 배달대행 인천계양구작전지점,시간협의,"월급 5,000,000원",5시간전
27,인천 계양구,모아콜 배달대행 인천계양구작전지점,시간협의,"건별 4,000원",5시간전
28,경남 양산시,모아콜 배달대행 경남양산1지점,10:00~02:00,"건별 3,500원",6시간전
29,경기 고양시,모아콜 배달대행 경기고양도래울JS지점,시간협의,"일급 200,000원",6시간전
30,경남 합천군,모아콜 배달대행 경남 합천 지점,시간협의,"건별 2,800원",7시간전
31,경북 구미시,모아콜 배달대행 경북구미인동지점,시간협의,"일급 100,000원",7시간전
32,충남 아산시,모아콜 배달대행 충남아산온천동지점,시간협의,"건별 4,000원",7시간전
33,충남 아산시,모아콜 배달대행 충남아산온천동지점,시간협의,"건별 4,000원",7시간전
34,경남 김해시,모아콜 배달대행 경남김해구산동지점,시간협의,"일급 300,000원",7시간전
35,경기 부천시,모아콜 배달대행 경기부천중동1지점,시간협의,"월급 6,000,000원",8시간전
36,서울 전체,모아콜 배달대행 서울성북구지점,시간협의,"월급 5,000,000원",8시간전
37,서울 전체,모아콜 배달대행 서울성북구지점,시간협의,"월급 5,000,000원",8시간전
38,서울 전체,모아콜 배달대행 서울성북구지점,시간협의,"월급 5,000,000원",8시간전
39,충남 아산시,모아콜 배달대행 충남아산온천동지점,시간협의,"건별 4,000원",12시간전
40,광주 서구,모아콜 배달대행 광주서구상무지점,시간협의,"일급 200,000원",16시간전
41,광주 서구,모아콜 배달대행 광주서구상무지점,시간협의,"일급 200,000원",16시간전
42,광주 서구,모아콜 배달대행 광주서구상무지점,시간협의,"일급 200,000원",16시간전
43,제주 서귀포,모아콜 제주중문2지점,시간협의,"건별 3,000원",22시간전
44,부산 부산진,모아콜 배달대행 연합전포지점,시간협의,"일급 200,000원",23시간전
45,충남 서산시,모아콜 배달대행 충남서산성연지점,17:00~02:00,"건별 3,500원",01/17
46,충북 청주시,모아콜 배달대행 충북청주오송지점,10:30~24:00,"건별 3,400원",01/16
47,충북 청주시,모아콜 배달대행 충북청주오송지점,10:30~24:00,"건별 3,400원",01/16
48,세종 조치원읍,모아콜 배달대행 세종시조치원지점,시간협의,"건별 3,500원",01/16
49,세종 조치원읍,모아콜 배달대행 세종시조치원지점,시간협의,"건별 3,500원",01/16
50,세종 조치원읍,모아콜 배달대행 세종시조치원지점,시간협의,"건별 3,500원",01/16
51,대구 달서구,모아콜 배달대행 대구달서유천지점,시간협의,"일급 250,000원",01/16
52,대구 달서구,모아콜 배달대행 대구달서유천지점,시간협의,"일급 250,000원",01/16
53,대구 달서구,모아콜 배달대행 대구달서유천지점,시간협의,"일급 250,000원",01/16
54,경기 파주시,모아콜 배달대행 경기파주교하올콜,시간협의,"건별 3,800원",01/16
55,경기 파주시,모아콜 배달대행 경기파주모두다2호점,시간협의,"건별 3,800원",01/16
56,전남 순천시,모아콜 배달대행 전남순천1지점,시간협의,"월급 5,000,000원",01/16
57,전북 전주시,모아콜 배달대행 전북전주중화지점,시간협의,"건별 3,500원",01/15
58,경기 파주시,모아콜 배달대행 경기파주탄현지점,시간협의,"시급 10,000원",01/15
59,제주 서귀포,모아콜 배달대행 제주도서귀포지점,시간협의,"건별 3,500원",01/15
60,경남 김해시,모아콜 배달대행 경남김해구산동지점,시간협의,"일급 300,000원",01/15
61,경기 부천시,모아콜 배달대행 경기부천신중동지점,시간협의,"건별 3,600원",01/15
62,경기 부천시,모아콜 배달대행 경기부천신중동지점,시간협의,"건별 3,600원",01/15
63,경기 부천시,모아콜 배달대행 경기부천신중동지점,시간협의,"건별 3,600원",01/15
64,경남 양산시,모아콜 배달대행 경남양산1지점,10:00~02:00,"건별 3,500원",01/15
65,경남 양산시,모아콜 배달대행 경남양산1지점,10:00~02:00,"건별 3,500원",01/15
66,경북 포항시,모아콜 배달대행 포항북구지점,시간협의,"건별 4,000원",01/14
67,경북 포항시,모아콜 배달대행 포항북구지점,시간협의,"건별 4,000원",01/13
68,광주 서구,모아콜 배달대행 광주서구화정지점,시간협의,"건별 3,500원",01/13
69,광주 서구,모아콜 배달대행 광주서구화정지점,시간협의,"건별 3,500원",01/13
