14:13:54
2022-01-18
25건
index,place,title,time,pay,date
1,강원 속초시,무공돈까스 속초조양점,18:00~21:00,"시급 9,160원",1시간전
2,충북 충주시,무공돈까스 충주호암점,09:00~21:00,"월급 2,800,000원",2시간전
3,충북 충주시,무공돈까스 충주연수점,09:00~20:00,"월급 2,800,000원",4시간전
4,충북 충주시,무공돈까스 충주호암점,09:00~21:00,"월급 2,800,000원",5시간전
5,서울 중랑구,무공돈까스 용마산점,09:00~21:00,"월급 2,800,000원",6시간전
6,충북 충주시,무공돈까스 충주호암점,09:00~21:00,"월급 2,800,000원",01/17
7,강원 속초시,무공돈까스 속초조양점,18:00~21:00,"시급 9,160원",01/17
8,강원 속초시,무공돈까스 속초조양점,09:00~15:00,"시급 9,160원",01/17
9,충북 충주시,무공돈까스 충주연수점,09:00~20:00,"월급 2,800,000원",01/16
10,충북 충주시,무공돈까스 충주연수점,09:00~20:00,"월급 2,800,000원",01/16
11,경기 평택시,무공돈까스 평택용죽점,시간협의,"월급 2,700,000원",01/15
12,경기 평택시,무공돈까스 평택용죽점,시간협의,"월급 2,700,000원",01/14
13,경기 평택시,무공돈까스 평택용죽점,시간협의,"월급 2,700,000원",01/11
14,경기 평택시,무공돈까스 평택용죽점,시간협의,"월급 2,700,000원",01/08
15,충북 충주시,무공돈까스 충주호암점,09:00~21:00,"월급 2,800,000원",01/08
16,서울 중랑구,무공돈까스 용마산점,09:00~21:00,"월급 2,800,000원",01/07
17,충남 천안시,무공돈까스 천안두정역점,시간협의,"시급 9,200원",01/04
18,충북 충주시,무공돈까스 충주연수점,09:00~20:00,"월급 2,800,000원",01/03
19,부산 강서구,무공돈까스 명지국제신도시점,시간협의,"월급 2,500,000원",01/03
20,충남 천안시,무공돈까스 천안두정역점,시간협의,"시급 9,200원",01/03
21,부산 강서구,무공돈까스 명지국제신도시점,시간협의,"월급 2,500,000원",01/03
22,충북 충주시,무공돈까스 충주연수점,09:00~20:00,"월급 2,800,000원",01/03
23,충북 충주시,무공돈까스 충주호암점,09:00~21:00,"월급 2,800,000원",01/03
24,부산 강서구,무공돈까스 명지국제신도시점,시간협의,"월급 2,500,000원",01/02
25,부산 강서구,무공돈까스 명지국제신도시점,시간협의,"월급 2,500,000원",01/02
