14:04:32
2022-01-18
81건
index,place,title,time,pay,date
1,경남 창원시,무인양품(주) 창원점,시간협의,"월급 1,933,000원",3분전
2,광주 동구,무인양품(주) 광주점,시간협의,"월급 1,933,000원",4분전
3,부산 부산진,무인양품(주) 부산본점,시간협의,"월급 1,933,000원",5분전
4,서울 노원구,무인양품(주) 노원점,시간협의,"월급 1,933,000원",6분전
5,서울 용산구,무인양품(주) 아이파크몰점,시간협의,"월급 1,933,000원",6분전
6,서울 구로구,무인양품(주) 디큐브점,시간협의,"월급 1,933,000원",7분전
7,서울 중구,무인양품(주) 영플라자점,시간협의,"월급 1,933,000원",8분전
8,서울 종로구,무인양품(주) 영풍종로점,시간협의,"월급 1,933,000원",8분전
9,서울 영등포,무인양품(주) 타임스퀘어점,시간협의,"월급 1,933,000원",9분전
10,경기 용인시,무인양품(주) AK기흥점,시간협의,"월급 1,933,000원",10분전
11,경기 수원시,무인양품(주) 수원점,시간협의,"월급 1,933,000원",11분전
12,경기 성남시,무인양품(주) AK분당점,시간협의,"월급 1,933,000원",12분전
13,서울 송파구,무인양품(주) 롯데월드몰점,시간협의,"월급 1,933,000원",12분전
14,서울 서대문,무인양품(주) 신촌점,시간협의,"월급 1,933,000원",13분전
15,서울 마포구,무인양품(주) AK홍대점,시간협의,"월급 1,933,000원",16분전
16,경기 용인시,무인양품(주) 수지점,시간협의,"월급 1,933,000원",17분전
17,경남 김해시,무인양품(주) 김해점,시간협의,"월급 1,933,000원",1시간전
18,서울 마포구,무인양품(주) 합정점,14:00~22:00,"시급 9,160원",1시간전
19,경남 창원시,무인양품(주) 창원점,시간협의,"월급 1,933,000원",5시간전
20,부산 부산진,무인양품(주) 부산본점,시간협의,"월급 1,933,000원",5시간전
21,서울 강서구,무인양품(주) 김포공항점,시간협의,"월급 1,933,000원",5시간전
22,서울 노원구,무인양품(주) 노원점,시간협의,"월급 1,933,000원",5시간전
23,서울 용산구,무인양품(주) 아이파크몰점,시간협의,"월급 1,933,000원",5시간전
24,서울 구로구,무인양품(주) 디큐브점,시간협의,"월급 1,933,000원",5시간전
25,서울 영등포,무인양품(주) IFC몰점,시간협의,"월급 1,933,000원",5시간전
26,서울 종로구,무인양품(주) 영풍종로점,시간협의,"월급 1,933,000원",5시간전
27,서울 영등포,무인양품(주) 타임스퀘어점,시간협의,"월급 1,933,000원",5시간전
28,경기 용인시,무인양품(주) AK기흥점,시간협의,"월급 1,933,000원",5시간전
29,경기 수원시,무인양품(주) 수원점,시간협의,"월급 1,933,000원",5시간전
30,경기 성남시,무인양품(주) 롯데분당점,시간협의,"월급 1,933,000원",5시간전
31,경기 성남시,무인양품(주) AK분당점,시간협의,"월급 1,933,000원",5시간전
32,서울 송파구,무인양품(주) 롯데월드몰점,시간협의,"월급 1,933,000원",5시간전
33,서울 서대문,무인양품(주) 신촌점,시간협의,"월급 1,933,000원",5시간전
34,서울 마포구,무인양품(주) AK홍대점,시간협의,"월급 1,933,000원",5시간전
35,경기 용인시,무인양품(주) 수지점,시간협의,"월급 1,933,000원",5시간전
36,서울 서초구,무인양품(주) 강남점,시간협의,"월급 1,933,000원",5시간전
37,서울 중구,무인양품(주) 서울역,08:30~22:00,"월급 1,933,000원",7시간전
38,경기 전체,무인양품(주) 판교점,13:00~21:00,"시급 9,160원",7시간전
39,경남 김해시,무인양품(주) 김해점,시간협의,"월급 1,933,000원",01/16
40,경기 안산시,무인양품(주) 안산점,시간협의,"월급 1,933,000원",01/15
41,서울 송파구,무인양품(주) 잠실점,시간협의,"월급 1,933,000원",01/15
42,서울 중구,무인양품(주) 영플라자점,시간협의,"월급 1,933,000원",01/15
43,광주 동구,무인양품(주) 광주점,시간협의,"월급 1,933,000원",01/15
44,경남 창원시,무인양품(주) 창원점,시간협의,"월급 1,933,000원",01/14
45,부산 부산진,무인양품(주) 부산본점,시간협의,"월급 1,933,000원",01/14
46,서울 노원구,무인양품(주) 노원점,시간협의,"월급 1,933,000원",01/14
47,서울 용산구,무인양품(주) 아이파크몰점,시간협의,"월급 1,933,000원",01/14
48,서울 구로구,무인양품(주) 디큐브점,시간협의,"월급 1,933,000원",01/14
49,서울 종로구,무인양품(주) 영풍종로점,시간협의,"월급 1,933,000원",01/14
50,서울 영등포,무인양품(주) 타임스퀘어점,시간협의,"월급 1,933,000원",01/14
51,경기 용인시,무인양품(주) AK기흥점,시간협의,"월급 1,933,000원",01/14
52,경기 수원시,무인양품(주) 수원점,시간협의,"월급 1,933,000원",01/14
53,경기 성남시,무인양품(주) 롯데분당점,시간협의,"월급 1,933,000원",01/14
54,경기 성남시,무인양품(주) AK분당점,시간협의,"월급 1,933,000원",01/14
55,서울 송파구,무인양품(주) 롯데월드몰점,시간협의,"월급 1,933,000원",01/14
56,서울 서대문,무인양품(주) 신촌점,시간협의,"월급 1,933,000원",01/14
57,서울 마포구,무인양품(주) AK홍대점,시간협의,"월급 1,933,000원",01/14
58,경기 용인시,무인양품(주) 수지점,시간협의,"월급 1,933,000원",01/14
59,경남 창원시,무인양품(주) 창원점,시간협의,"월급 1,933,000원",01/11
60,부산 부산진,무인양품(주) 부산본점,시간협의,"월급 1,933,000원",01/11
61,서울 노원구,무인양품(주) 노원점,시간협의,"월급 1,933,000원",01/11
62,서울 용산구,무인양품(주) 아이파크몰점,시간협의,"월급 1,933,000원",01/11
63,서울 구로구,무인양품(주) 디큐브점,시간협의,"월급 1,933,000원",01/11
64,서울 영등포,무인양품(주) IFC몰점,시간협의,"월급 1,933,000원",01/11
65,서울 종로구,무인양품(주) 영풍종로점,시간협의,"월급 1,933,000원",01/11
66,서울 영등포,무인양품(주) 타임스퀘어점,시간협의,"월급 1,933,000원",01/11
67,경기 용인시,무인양품(주) AK기흥점,시간협의,"월급 1,933,000원",01/11
68,경기 수원시,무인양품(주) 수원점,시간협의,"월급 1,933,000원",01/11
69,경기 성남시,무인양품(주) 롯데분당점,시간협의,"월급 1,933,000원",01/11
70,경기 성남시,무인양품(주) AK분당점,시간협의,"월급 1,933,000원",01/11
71,서울 송파구,무인양품(주) 롯데월드몰점,시간협의,"월급 1,933,000원",01/11
72,서울 서대문,무인양품(주) 신촌점,시간협의,"월급 1,933,000원",01/11
73,서울 마포구,무인양품(주) AK홍대점,시간협의,"월급 1,933,000원",01/11
74,경기 용인시,무인양품(주) 수지점,시간협의,"월급 1,933,000원",01/11
75,서울 서초구,무인양품(주) 강남점,시간협의,"월급 1,933,000원",01/11
76,대전 서구,무인양품(주) 대전점,시간협의,"월급 1,933,000원",01/08
77,서울 송파구,무인양품(주) 잠실점,시간협의,"월급 1,933,000원",01/08
78,서울 영등포,무인양품(주) IFC몰점,시간협의,"월급 1,933,000원",01/08
79,서울 강남구,무인양품(주) 파르나스몰점,시간협의,"월급 1,933,000원",01/07
80,서울 서초구,무인양품(주) 강남점,시간협의,"월급 1,933,000원",01/07
81,서울 서초구,무인양품(주) 서초점,14:30~22:00,"시급 9,160원",01/05
