13:58:42
2022-01-18
34건
index,place,title,time,pay,date
1,서울 서초구,미카도스시 & 탄광맥주 교대점,시간협의,"시급 9,500원",2시간전
2,경기 남양주,미카도스시 & 탄광맥주 별내아이파크점,10:30~21:30,"월급 3,500,000원",6시간전
3,경기 하남시,미카도스시 & 탄광맥주 하남미사점,10:00~22:00,"월급 2,754,000원",8시간전
4,경기 하남시,미카도스시 & 탄광맥주 하남미사점,10:00~22:00,"월급 2,754,000원",8시간전
5,경기 하남시,미카도스시 & 탄광맥주 하남미사점,10:00~22:00,"월급 2,754,000원",8시간전
6,경기 하남시,미카도스시 & 탄광맥주 하남미사점,10:00~22:00,"월급 2,754,000원",8시간전
7,경기 화성시,미카도스시 & 탄광맥주 화성시청점,10:00~22:00,"월급 3,500,000원",8시간전
8,인천 중구,미카도스시 & 탄광맥주 인천영종도하늘,09:30~21:30,"월급 3,100,000원",8시간전
9,인천 중구,미카도스시 & 탄광맥주 인천영종도하늘,09:30~21:30,"월급 3,100,000원",8시간전
10,인천 중구,미카도스시 & 탄광맥주 인천영종도하늘,09:30~21:30,"월급 3,100,000원",8시간전
11,인천 중구,미카도스시 & 탄광맥주 인천영종도하늘,09:30~21:30,"월급 3,100,000원",8시간전
12,경북 포항시,미카도스시 & 탄광맥주 포항두호점,10:00~21:30,"시급 9,160원",8시간전
13,경북 포항시,미카도스시 & 탄광맥주 포항두호점,10:00~21:30,"시급 9,160원",8시간전
14,경북 포항시,미카도스시 & 탄광맥주 포항두호점,10:00~21:30,"시급 9,160원",8시간전
15,경북 포항시,미카도스시 & 탄광맥주 포항두호점,10:00~21:30,"시급 9,160원",8시간전
16,경기 남양주,미카도스시 & 탄광맥주 별내아이파크점,10:30~21:30,"월급 3,500,000원",8시간전
17,경기 남양주,미카도스시 & 탄광맥주 별내아이파크점,10:30~21:30,"월급 3,500,000원",8시간전
18,서울 서초구,미카도스시 & 탄광맥주 교대점,시간협의,"시급 9,500원",8시간전
19,서울 서초구,미카도스시 & 탄광맥주 교대점,시간협의,"시급 9,500원",8시간전
20,서울 서초구,미카도스시 & 탄광맥주 교대점,시간협의,"시급 9,500원",8시간전
21,서울 서초구,미카도스시 & 탄광맥주 교대점,시간협의,"시급 9,500원",8시간전
22,경북 포항시,미카도스시 & 탄광맥주 포항두호점,10:00~21:30,"시급 9,160원",01/12
23,인천 중구,미카도스시 & 탄광맥주 인천영종도하늘,09:30~21:30,"월급 3,100,000원",01/12
24,경기 화성시,미카도스시 & 탄광맥주 화성시청점,10:00~22:00,"월급 3,500,000원",01/10
25,광주 광산구,미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급 2,510,000원",01/10
26,경기 화성시,미카도스시 & 탄광맥주 화성시청점,시간협의,"시급 11,000원",01/09
27,경기 화성시,미카도스시 & 탄광맥주 화성시청점,시간협의,"월급 2,800,000원",01/09
28,경기 하남시,미카도스시 & 탄광맥주 하남미사점,10:00~22:00,"월급 2,754,000원",01/09
29,경기 남양주,미카도스시 & 탄광맥주 별내아이파크점,10:30~21:30,"월급 3,500,000원",01/09
30,경기 화성시,미카도스시 & 탄광맥주 화성시청점,시간협의,"시급 10,920원",01/04
31,경기 남양주,미카도스시 & 탄광맥주 별내아이파크점,10:30~21:30,"월급 3,500,000원",01/04
32,광주 광산구,미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급 2,510,000원",01/04
33,광주 광산구,미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급 2,510,000원",01/03
34,광주 광산구,미카도스시 & 탄광맥주 광주수완점,10:00~22:00,"월급 2,510,000원",01/03
