14:04:04
2022-01-18
74건
index,place,title,time,pay,date
1,서울 서초구,바스버거 서초교대점,시간협의,"시급 10,464원",14분전
2,서울 성북구,바스버거 광화문점,09:30~14:30,"시급 10,992원",16분전
3,서울 서대문,바스버거 광화문점,13:00~21:00,"시급 10,992원",22분전
4,서울 영등포,바스버거 국회점,09:30~16:00,"시급 10,992원",53분전
5,서울 영등포,바스버거 국회점,10:00~21:00,"시급 10,992원",55분전
6,서울 강북구,바스버거 을지로점,17:30~22:30,"시급 10,992원",1시간전
7,서울 강북구,바스버거 을지로점,10:30~15:30,"시급 10,992원",1시간전
8,서울 강서구,바스버거 여의도점,시간협의,"시급 10,992원",2시간전
9,서울 강서구,바스버거 여의도점,시간협의,"시급 10,992원",2시간전
10,서울 성동구,바스버거 잠실점,16:30~22:30,"연봉 17,000,000원",3시간전
11,경기 성남시,바스버거 잠실점,16:30~22:30,"연봉 17,000,000원",3시간전
12,서울 송파구,바스버거 잠실점,16:30~22:30,"연봉 17,000,000원",3시간전
13,서울 강동구,바스버거 잠실점,16:30~22:30,"연봉 17,000,000원",3시간전
14,서울 광진구,바스버거 잠실점,16:30~22:30,"연봉 17,000,000원",3시간전
15,서울 강남구,바스버거 역삼점,10:00~21:00,"시급 10,992원",4시간전
16,서울 마포구,바스버거 상암점,09:30~16:30,"연봉 19,000,000원",4시간전
17,서울 영등포,바스버거 국회점,10:00~21:00,"시급 10,992원",4시간전
18,서울 영등포,바스버거 국회점,09:30~16:00,"시급 10,992원",4시간전
19,서울 영등포,바스버거 국회점,16:00~22:00,"시급 10,992원",4시간전
20,서울 양천구,바스버거 여의도점,16:30~22:30,"시급 10,992원",5시간전
21,서울 서초구,바스버거 서초교대점,시간협의,"시급 10,992원",5시간전
22,서울 서초구,바스버거 서초교대점,시간협의,"시급 10,992원",5시간전
23,서울 강남구,바스버거 역삼점,16:30~22:30,"시급 10,992원",5시간전
24,서울 서대문,바스버거 광화문점,09:30~14:30,"시급 10,992원",6시간전
25,서울 서대문,바스버거 광화문점,13:00~21:00,"시급 10,992원",6시간전
26,서울 성북구,바스버거 광화문점,13:00~21:00,"시급 10,992원",6시간전
27,서울 용산구,바스버거 후암점,10:00~21:00,"시급 10,992원",6시간전
28,서울 서초구,바스버거 서초교대점,시간협의,"시급 10,992원",6시간전
29,서울 용산구,바스버거 후암점,18:00~22:30,"시급 10,992원",6시간전
30,서울 강남구,바스버거 선릉점,17:00~22:30,"시급 10,992원",6시간전
31,서울 강남구,바스버거 선릉점,11:00~21:00,"시급 10,992원",6시간전
32,서울 강남구,바스버거 선릉점,17:00~22:30,"시급 10,992원",6시간전
33,서울 강남구,바스버거 선릉점,11:00~21:00,"시급 10,992원",6시간전
34,서울 강남구,바스버거 선릉점,17:00~22:30,"시급 10,992원",6시간전
35,서울 강서구,바스버거 여의도점,시간협의,"시급 10,992원",7시간전
36,서울 마포구,바스버거 상암점,16:00~22:00,"연봉 17,000,000원",7시간전
37,서울 강남구,바스버거 역삼점,16:30~22:30,"시급 10,992원",7시간전
38,서울 강남구,바스버거 역삼점,09:00~16:00,"시급 10,992원",8시간전
39,서울 마포구,바스버거 상암점,16:00~22:00,"연봉 17,000,000원",18시간전
40,서울 용산구,바스버거 후암점,18:00~22:30,"시급 10,992원",20시간전
41,서울 용산구,바스버거 후암점,09:30~15:00,"시급 10,992원",22시간전
42,서울 용산구,바스버거 후암점,18:00~22:30,"시급 10,992원",22시간전
43,서울 마포구,바스버거 상암점,09:30~16:30,"연봉 19,000,000원",01/17
44,서울 강서구,바스버거 마곡점,12:00~22:00,"시급 10,992원",01/17
45,서울 강서구,바스버거 마곡점,11:00~22:00,"시급 10,992원",01/17
46,서울 강서구,바스버거 마곡점,12:00~22:00,"시급 10,992원",01/16
47,서울 강서구,바스버거 마곡점,11:00~22:00,"시급 10,992원",01/16
48,서울 성동구,바스버거 성수점,18:00~22:00,"시급 10,992원",01/15
49,서울 광진구,바스버거 성수점,18:00~22:00,"시급 10,922원",01/15
50,서울 성동구,바스버거 성수점,09:30~15:00,"시급 10,992원",01/15
51,서울 광진구,바스버거 성수점,09:30~15:00,"시급 10,992원",01/15
52,서울 성동구,바스버거 성수점,09:30~15:00,"시급 10,992원",01/15
53,서울 마포구,바스버거 상암점,09:30~16:30,"연봉 19,000,000원",01/15
54,서울 강서구,바스버거 마곡점,12:00~22:00,"시급 10,992원",01/15
55,경기 성남시,바스버거 판교점,17:00~22:00,"시급 10,992원",01/14
56,경기 성남시,바스버거 판교점,17:00~22:00,"시급 10,992원",01/14
57,경기 성남시,바스버거 판교점,17:00~22:00,"시급 10,992원",01/14
58,경기 성남시,바스버거 판교점,17:00~22:00,"시급 10,992원",01/14
59,경기 광주시,바스버거 판교점,17:00~22:00,"시급 10,992원",01/14
60,서울 송파구,바스버거 문정역점,09:30~16:30,"연봉 19,000,000원",01/11
61,서울 송파구,바스버거 문정역점,16:30~22:30,"연봉 17,000,000원",01/11
62,서울 송파구,바스버거 문정역점,11:00~21:00,"시급 10,992원",01/10
63,서울 송파구,바스버거 문정역점,16:30~22:30,"연봉 17,000,000원",01/10
64,서울 송파구,바스버거 문정역점,09:30~16:30,"연봉 19,000,000원",01/10
65,경기 성남시,바스버거 정자점,16:30~22:30,"연봉 17,000,000원",01/10
66,경기 성남시,바스버거 정자점,16:30~22:30,"연봉 17,000,000원",01/10
67,경기 성남시,바스버거 정자점,16:30~22:30,"연봉 17,000,000원",01/10
68,경기 성남시,바스버거 정자점,16:30~22:30,"연봉 17,000,000원",01/10
69,경기 성남시,바스버거 정자점,16:30~22:30,"연봉 17,000,000원",01/10
70,서울 마포구,바스버거 연남점,14:30~22:30,"시급 10,992원",01/09
71,서울 마포구,바스버거 연남점,14:30~22:30,"시급 10,992원",01/09
72,서울 마포구,바스버거 연남점,14:30~22:30,"시급 10,992원",01/09
73,서울 마포구,바스버거 연남점,14:30~22:30,"시급 10,992원",01/09
74,서울 마포구,바스버거 연남점,14:30~22:30,"시급 10,992원",01/09
