14:03:13
2022-01-18
29건
index,place,title,time,pay,date
1,부산 기장군,박가부대&치즈닭갈비 롯데몰동부산,11:00~20:00,"일급 82,440원",4시간전
2,부산 기장군,박가부대&치즈닭갈비 롯데몰동부산,11:00~20:00,"일급 82,440원",4시간전
3,부산 기장군,박가부대&치즈닭갈비 롯데몰동부산,11:00~20:00,"일급 82,440원",4시간전
4,부산 기장군,박가부대&치즈닭갈비 롯데몰동부산,11:00~20:00,"일급 82,440원",4시간전
5,대전 중구,박가부대&치즈닭갈비 대전은행,시간협의,"시급 9,160원",5시간전
6,대전 중구,박가부대&치즈닭갈비 대전은행,시간협의,"시급 9,160원",5시간전
7,대전 중구,박가부대&치즈닭갈비 대전은행,시간협의,"시급 9,160원",5시간전
8,대전 중구,박가부대&치즈닭갈비 대전은행,시간협의,"시급 9,160원",5시간전
9,서울 동대문,박가부대&치즈닭갈비 청량리역사,시간협의,"시급 10,992원",20시간전
10,서울 동대문,박가부대&치즈닭갈비 청량리역사,시간협의,"시급 10,992원",20시간전
11,서울 동대문,박가부대&치즈닭갈비 청량리역사,시간협의,"시급 10,992원",20시간전
12,서울 동대문,박가부대&치즈닭갈비 청량리역사,시간협의,"시급 10,992원",20시간전
13,인천 연수구,박가부대&치즈닭갈비 인천연수,시간협의,"시급 9,160원",20시간전
14,인천 연수구,박가부대&치즈닭갈비 인천연수,시간협의,"시급 9,160원",20시간전
15,인천 연수구,박가부대&치즈닭갈비 인천연수,시간협의,"시급 9,160원",20시간전
16,경기 고양시,박가부대&치즈닭갈비 고양행신,10:00~14:00,"시급 9,200원",20시간전
17,경기 고양시,박가부대&치즈닭갈비 고양행신,17:00~21:00,"시급 9,200원",20시간전
18,경기 고양시,박가부대&치즈닭갈비 고양행신,17:00~21:00,"시급 9,200원",01/16
19,경기 고양시,박가부대&치즈닭갈비 고양행신,10:00~14:00,"시급 9,200원",01/16
20,서울 강남구,박가부대&치즈닭갈비 역삼배달점,09:00~14:00,"시급 11,000원",01/11
21,서울 강남구,박가부대&치즈닭갈비 역삼배달점,09:00~14:00,"시급 11,000원",01/11
22,서울 강남구,박가부대&치즈닭갈비 역삼배달점,09:00~14:00,"시급 11,000원",01/11
23,경기 시흥시,박가부대&치즈닭갈비 시흥정왕,시간협의,"시급 9,160원",01/11
24,경기 시흥시,박가부대&치즈닭갈비 시흥정왕,시간협의,"시급 9,160원",01/11
25,경기 시흥시,박가부대&치즈닭갈비 시흥정왕,시간협의,"시급 9,160원",01/11
26,강원 춘천시,박가부대&치즈닭갈비 춘천강원대,10:00~14:00,"시급 9,500원",01/11
27,강원 춘천시,박가부대&치즈닭갈비 춘천강원대,18:00~23:00,"시급 9,500원",01/11
28,서울 강남구,박가부대&치즈닭갈비 역삼배달점,09:00~14:00,"시급 11,000원",01/09
29,경기 시흥시,박가부대&치즈닭갈비 시흥정왕,시간협의,"시급 9,160원",01/05
