14:05:19
2022-01-18
328건
index,place,title,time,pay,date
1,부산 수영구,배스킨라빈스,10:00~14:30,"시급 9,200원",7분전
2,경기 성남시,배스킨라빈스위례창곡점,13:00~18:00,"시급 9,160원",8분전
3,부산 전체,배스킨라빈스 부산대공원점,시간협의,"시급 9,160원",13분전
4,서울 전체,배스킨라빈스구로디지털단지역점,19:00~23:00,"시급 9,160원",20분전
5,경기 시흥시,배스킨라빈스 시흥산현점,06:00~23:00,"시급 9,160원",21분전
6,인천 미추홀,배스킨라빈스 주안역북부점,시간협의,"시급 9,160원",23분전
7,서울 강북구,배스킨라빈스 강북구청점,14:00~18:00,"시급 9,160원",40분전
8,서울 강동구,배스킨라빈스,10:00~14:00,"시급 9,160원",41분전
9,서울 강서구,배스킨라빈스 화곡역점,09:30~16:00,"시급 9,160원",46분전
10,경북 경주시,배스킨라빈스,18:00~23:00,"시급 9,160원",49분전
11,서울 성북구,배스킨라빈스 성북아리랑점,18:00~23:00,"시급 9,200원",52분전
12,충북 충주시,배스킨라빈스 충주국원점,18:00~24:00,"시급 9,160원",59분전
13,경기 부천시,베스킨라빈스31,04:00~23:00,"시급 9,160원",1시간전
14,서울 은평구,배스킨라빈스 응암서부점,17:30~24:00,"시급 9,160원",1시간전
15,부산 연제구,배스킨라빈스 힐스테이트 연산점,시간협의,"월급 2,000,000원",1시간전
16,부산 동래구,배스킨라빈스 명륜아이파크점,시간협의,"시급 9,160원",1시간전
17,경기 김포시,베스킨라빈스김포고촌점,09:30~17:00,"시급 9,160원",1시간전
18,경북 포항시,배스키라빈스,18:00~20:00,"시급 9,160원",1시간전
19,부산 연제구,배스킨라빈스 부산교대점,13:00~18:00,"시급 9,160원",1시간전
20,충남 천안시,배스킨라빈스,시간협의,"시급 9,160원",1시간전
21,경기 수원시,배스킨라빈스 수원이마트점,18:00~22:30,"시급 9,160원",1시간전
22,경북 의성군,배스킨라빈스 경북의성점,18:00~22:30,"시급 9,160원",1시간전
23,인천 연수구,배스킨라빈스 송도더테라스점,시간협의,"시급 9,160원",1시간전
24,경북 경주시,배스킨라빈스,18:00~23:00,"시급 9,160원",2시간전
25,경기 안산시,배스킨 안산그랑시티점,시간협의,"시급 9,160원",2시간전
26,경북 예천군,배스킨라빈스 경북예천점,시간협의,"시급 9,160원",2시간전
27,경기 수원시,배스킨라빈스 곡반정점,19:00~23:00,"시급 9,160원",2시간전
28,충남 천안시,배스킨라빈스,시간협의,"시급 9,160원",2시간전
29,대구 달성군,배스킨라빈스 대구테크노폴리스점,시간협의,"시급 9,160원",2시간전
30,인천 부평구,베스킨라빈스 부개점,시간협의,"시급 9,160원",2시간전
31,충남 천안시,배스킨라빈스,시간협의,"시급 9,160원",2시간전
32,경기 용인시,배스킨라빈스,00:00~24:00,"시급 9,160원",2시간전
33,경북 구미시,베스킨라빈스31,10:00~17:00,"시급 9,160원",2시간전
34,서울 전체,배스킨라빈스 숭실대점,20:00~23:30,"시급 9,160원",2시간전
35,대전 서구,관저BR,시간협의,"시급 9,160원",2시간전
36,서울 서초구,배스킨라빈스 사당방배,09:30~18:30,"월급 2,000,000원",2시간전
37,경기 용인시,배스킨라빈스,00:00~24:00,"시급 9,160원",3시간전
38,서울 송파구,배스킨라빈스,15:00~23:00,"월급 2,100,000원",3시간전
39,대구 달성군,배스킨라빈스,시간협의,"시급 9,160원",3시간전
40,인천 연수구,베스킨라빈스 인천연수로데오,18:00~22:00,"시급 9,160원",3시간전
41,대구 중구,베스킨라빈스동아쇼핑점,시간협의,"시급 9,160원",3시간전
42,울산 중구,배스킨라빈스,시간협의,"시급 9,160원",3시간전
43,경기 김포시,베스킨라빈스김포고촌점,09:30~17:00,"시급 9,160원",3시간전
44,충남 천안시,배스킨라빈스천안성성,시간협의,"시급 9,300원",3시간전
45,전북 군산시,배스킨 군산대점,18:00~23:00,"시급 9,160원",3시간전
46,경기 평택시,배스킨라빈스 평택지제더샵점,시간협의,"시급 9,160원",3시간전
47,서울 노원구,배스킨라빈스 공릉점,16:30~23:00,"시급 9,160원",3시간전
48,서울 중랑구,베스킨라빈스이마트,18:00~22:00,"시급 9,160원",3시간전
49,경기 수원시,배스킨라바스,10:00~15:00,"시급 9,160원",3시간전
50,인천 연수구,배스킨라빈스 송도퍼스트파크,18:00~23:30,"시급 9,160원",3시간전
51,서울 구로구,배스킨라빈스 개봉역사점,18:00~23:00,"시급 9,160원",3시간전
52,경기 파주시,배스킨라빈스 운정가람마을점,시간협의,"시급 9,160원",4시간전
53,서울 영등포,배스킨라빈스신풍역,시간협의,"시급 9,200원",4시간전
54,대구 수성구,배스킨라빈스 대구만촌네거리,10:00~14:00,"시급 9,160원",4시간전
55,경북 안동시,배스킨라빈스 안동삼산,시간협의,"시급 9,160원",4시간전
56,서울 노원구,배스킨라빈스 화랑대역점,시간협의,"시급 9,300원",4시간전
57,울산 중구,배스킨라빈스,시간협의,"시급 9,160원",4시간전
58,인천 남동구,배스킨라빈스 구월CGV점,10:00~14:00,"시급 9,160원",4시간전
59,서울 강서구,배스킨라빈스,14:00~18:00,"시급 9,160원",4시간전
60,경기 오산시,배스킨라빈스 오산갈곶점,18:00~23:00,"시급 9,160원",4시간전
61,경기 수원시,배스킨라빈스 인계로데오점,시간협의,"시급 9,160원",4시간전
62,경기 수원시,배스킨라빈스 인계로데오점,시간협의,"시급 13,740원",4시간전
63,경기 수원시,배스킨라빈스 인계로데오점,시간협의,"시급 13,740원",4시간전
64,경기 부천시,베스킨라빈스31,시간협의,"월급 1,900,000원",4시간전
65,충남 천안시,배스킨라빈스,시간협의,"시급 9,160원",4시간전
66,서울 관악구,배스킨라빈스 봉천역점,시간협의,"시급 9,200원",4시간전
67,경북 포항시,배스킨라빈스 법원점,13:00~18:00,"시급 9,160원",4시간전
68,서울 서초구,배스킨라빈스 방배역점,18:30~23:00,"시급 9,200원",4시간전
69,서울 서초구,배스킨라빈스 방배역점,18:30~23:00,"시급 9,200원",4시간전
70,서울 관악구,배스킨라빈스 봉천역점,시간협의,"시급 9,200원",4시간전
71,경기 평택시,배스킨라빈스 평택안중점,16:00~22:00,"시급 9,160원",4시간전
72,경기 수원시,배스킨라빈스 수원이마트점,18:00~22:30,"시급 9,160원",4시간전
73,경기 화성시,배스킨라빈스 동탄역점,18:00~23:00,"시급 9,200원",4시간전
74,충북 충주시,배스킨라빈스연수점,17:00~23:00,"시급 9,160원",4시간전
75,충남 당진시,배스킨라빈스,19:00~23:00,"시급 9,160원",4시간전
76,부산 연제구,배스킨라빈스 부산교대점,13:00~18:00,"시급 9,160원",4시간전
77,경기 김포시,베스킨라빈스김포고촌점,13:00~18:00,"시급 9,160원",4시간전
78,서울 중랑구,베스킨라빈스이마트,18:00~22:00,"시급 9,160원",4시간전
79,서울 강동구,배스킨라빈스,10:00~14:00,"시급 9,160원",4시간전
80,인천 남동구,배스킨라빈스 구월CGV점,10:00~14:00,"시급 9,160원",5시간전
81,대구 중구,베스킨라빈스동아쇼핑점,시간협의,"시급 9,160원",5시간전
82,서울 관악구,배스킨라빈스 봉천역점,시간협의,"시급 9,200원",5시간전
83,서울 서초구,배스킨라빈스 방배역점,18:30~23:00,"시급 9,200원",5시간전
84,서울 금천구,배스킨라빈스,00:00~24:00,"시급 9,160원",5시간전
85,경기 의정부,배스킨라빈스 의정부범골범,09:00~13:00,"시급 9,160원",5시간전
86,경기 시흥시,배스킨라빈스시화세종점,시간협의,"시급 9,160원",5시간전
87,대전 유성구,베스킨라빈스대전노은,시간협의,"시급 9,160원",5시간전
88,경기 김포시,베스킨라빈스김포고촌점,17:00~23:00,"시급 9,160원",5시간전
89,서울 동대문,베스킨라빈스장안점,18:00~23:00,"시급 9,160원",5시간전
90,서울 강북구,배스킨라빈스 강북구청점,18:00~23:00,"시급 9,160원",5시간전
91,서울 영등포,배스킨라빈스신풍역,시간협의,"시급 9,200원",5시간전
92,인천 중구,배스킨라빈스 영종도점,18:00~23:00,"시급 9,160원",5시간전
93,서울 서초구,배스킨라빈스 방배역점,18:30~23:00,"시급 9,200원",5시간전
94,서울 관악구,배스킨라빈스 봉천역점,시간협의,"시급 9,200원",5시간전
95,경기 고양시,베스킨라빈스은평롯데몰,시간협의,"시급 9,160원",5시간전
96,서울 전체,배스킨라빈스 반포역점,19:00~23:00,"시급 9,200원",6시간전
97,충남 아산시,베스킨라빈스 배방점,시간협의,"월급 900,000원",6시간전
98,경기 성남시,배스킨라빈스 판교백현점,17:00~23:00,"시급 9,500원",6시간전
99,경남 진주시,배스킨라빈스 진주혁신도시점,16:00~23:00,"시급 9,160원",6시간전
100,충북 진천군,배스킨라빈스 충북덕산점,시간협의,"시급 9,160원",6시간전
101,충남 천안시,배스킨라빈스천안먹자골목점,18:00~23:30,"시급 9,160원",6시간전
102,서울 전체,배스킨라빈스 숭실대점,16:00~23:30,"시급 9,160원",6시간전
103,서울 구로구,배스킨라빈스 개봉중앙점,10:00~16:00,"시급 9,160원",6시간전
104,서울 구로구,배스킨라빈스 개봉중앙점,14:30~21:30,"시급 9,160원",6시간전
105,서울 강남구,배스킨라빈스 수서역점,17:00~22:00,"시급 9,160원",6시간전
106,경남 창원시,배스킨라빈스 진해남문점,시간협의,"시급 9,160원",6시간전
107,광주 북구,배스킨라빈스 말바우점,시간협의,"시급 9,160원",7시간전
108,충남 홍성군,배스킨라빈스 충남내포점,17:00~22:30,"시급 9,200원",7시간전
