14:08:24
2022-01-18
697건
index,place,title,time,pay,date
1,경남 창원시,버거킹 창원광장점,시간협의,"시급 9,160원",5분전
2,경북 포항시,버거킹 포항법원앞SK점,21:00~01:30,"시급 9,160원",6분전
3,대구 북구,버거킹 대구산격DT점,08:30~15:30,"시급 9,160원",12분전
4,경기 평택시,버거킹 평택죽백DT점,시간협의,"시급 9,160원",13분전
5,대구 수성구,버거킹 대구만촌점,08:00~24:00,"시급 9,160원",14분전
6,서울 용산구,버거킹 서울역점,시간협의,"시급 9,160원",15분전
7,경기 수원시,버거킹 수원인계DT점,09:00~16:00,"시급 9,160원",19분전
8,경기 수원시,수원정자점(S),시간협의,"시급 9,160원",21분전
9,경기 용인시,버거킹 죽전SK점,08:00~24:00,"건별 9,160원",27분전
10,경기 남양주,버거킹 남양주별내오일뱅크점,시간협의,"시급 9,160원",39분전
11,경기 화성시,버거킹 동탄호수공원레이크꼬모점,시간협의,"시급 9,160원",43분전
12,서울 노원구,버거킹 하계점,11:00~18:00,"시급 9,160원",46분전
13,서울 노원구,버거킹 하계점,11:00~18:00,"시급 9,160원",49분전
14,서울 송파구,버거킹 종합운동장사거리점,시간협의,"시급 9,160원",49분전
15,서울 송파구,버거킹 종합운동장사거리점,시간협의,"시급 9,160원",49분전
16,경기 김포시,버거킹 김포풍무역점,시간협의,"시급 9,160원",53분전
17,서울 영등포,영등포KT점,00:00~24:00,"시급 9,160원",56분전
18,경남 김해시,버거킹 김해장유DT점,시간협의,"시급 9,160원",1시간전
19,서울 전체,버거킹 가산이앤씨7점,시간협의,"시급 9,160원",1시간전
20,울산 남구,울산무거점,시간협의,"시급 9,160원",1시간전
21,전북 정읍시,버거킹 정읍중앙점(S),시간협의,"시급 9,160원",1시간전
22,경북 구미시,버거킹 구미이마트점,17:00~23:00,"시급 9,160원",2시간전
23,서울 용산구,버거킹 국제점,09:30~15:00,"시급 9,160원",2시간전
24,경기 시흥시,버거킹 배곧아브뉴프랑점,시간협의,"시급 9,160원",2시간전
25,광주 광산구,버거킹 광주수완DT점,시간협의,"시급 9,160원",2시간전
26,광주 광산구,버거킹 광주수완DT점,시간협의,"시급 9,160원",2시간전
27,경북 포항시,버거킹 포항법원앞SK점,21:00~01:30,"시급 9,160원",2시간전
28,경북 구미시,구미인의점(S),시간협의,"시급 9,160원",2시간전
29,서울 은평구,버거킹 불광점,시간협의,"시급 9,160원",2시간전
30,부산 해운대,버거킹 부산센텀오일뱅크점,시간협의,"시급 9,160원",2시간전
31,부산 해운대,버거킹 해운대우동점(S),시간협의,"시급 9,160원",2시간전
32,서울 종로구,버거킹 혜화역점,08:00~15:00,"시급 9,160원",2시간전
33,충북 청주시,청주터미널점,시간협의,"시급 9,160원",2시간전
34,부산 해운대,버거킹 부산센텀시티점,시간협의,"시급 9,160원",2시간전
35,서울 강서구,버거킹 등촌역점,시간협의,"시급 9,160원",2시간전
36,서울 전체,버거킹 가산디지털점,시간협의,"시급 9,160원",2시간전
37,서울 전체,버거킹 송파구청점,17:00~24:00,"시급 9,160원",2시간전
38,서울 전체,버거킹 송파구청점,17:00~24:00,"시급 9,160원",2시간전
39,서울 은평구,버거킹 불광점,시간협의,"시급 9,160원",2시간전
40,서울 은평구,버거킹 불광점,시간협의,"시급 9,160원",2시간전
41,경기 안양시,평촌학원가점,시간협의,"시급 9,160원",2시간전
42,경기 안양시,버거킹 평촌금성GS점,시간협의,"시급 9,160원",2시간전
43,경기 안양시,버거킹 평촌금성GS점,시간협의,"시급 9,160원",2시간전
44,전북 전주시,버거킹 전주송천DT점,08:00~24:00,"시급 9,160원",2시간전
45,경기 부천시,부천중동점,시간협의,"시급 9,160원",2시간전
46,경기 고양시,버거킹 주엽역점,16:00~23:00,"시급 9,160원",2시간전
47,서울 관악구,버거킹 강남NC점,18:00~24:00,"시급 9,160원",2시간전
48,서울 동대문,버거킹 경희대점,시간협의,"시급 9,160원",2시간전
49,경북 구미시,버거킹 구미산동점(S),19:00~23:00,"시급 9,160원",2시간전
50,전남 광양시,광양중동점(S),시간협의,"시급 9,160원",2시간전
51,전북 전주시,버거킹 전주송천DT점,08:00~24:00,"시급 9,160원",2시간전
52,경기 안양시,버거킹 평촌금성GS점,시간협의,"시급 9,160원",3시간전
53,경기 안양시,버거킹 평촌금성GS점,시간협의,"시급 9,160원",3시간전
54,서울 관악구,버거킹 신림역점,시간협의,"시급 9,160원",3시간전
55,전북 정읍시,버거킹 정읍중앙점(S),시간협의,"시급 9,160원",3시간전
56,강원 원주시,버거킹 원주명륜오일뱅크점,18:00~01:00,"시급 9,160원",3시간전
57,경기 과천시,버거킹 과천중앙점,시간협의,"시급 9,160원",3시간전
58,경기 구리시,버거킹 구리갈매점,시간협의,"시급 9,160원",3시간전
59,부산 전체,버거킹 부산망미SK점(S),09:00~14:00,"시급 9,160원",3시간전
60,인천 미추홀,버거킹 인천도화점,시간협의,"시급 9,160원",3시간전
61,경기 평택시,평택비전점(S),시간협의,"시급 9,160원",3시간전
