14:09:03
2022-01-18
331건
index,place,title,time,pay,date
1,경기 부천시,빽다방  옥길퀸즈파크점,17:00~22:30,"시급 9,160원",1분전
2,경기 부천시,빽다방  부천중동현대점,시간협의,"시급 9,160원",2분전
3,경기 파주시,빽다방 파주야당역점,19:00~22:30,"시급 9,160원",3분전
4,인천 서구,빽다방 청라좋은병원점,18:00~21:30,"시급 9,160원",4분전
5,인천 중구,빽다방 동인천역점,17:30~22:00,"시급 9,300원",6분전
6,광주 동구,빽다방 광주충장로2호점,08:30~14:00,"시급 9,200원",7분전
7,광주 동구,빽다방 광주충장로2호점,18:00~23:00,"시급 9,200원",7분전
8,경기 부천시,빽다방 부천U1센터점,17:00~21:00,"시급 9,160원",8분전
9,제주 제주시,빽다방 제주연북로점,06:00~15:00,"월급 2,300,000원",8분전
10,제주 제주시,빽다방 제주연북로점,07:30~12:30,"시급 9,160원",14분전
11,전남 순천시,빽다방  순천조례주공점,09:00~15:00,"시급 9,160원",14분전
12,대구 달서구,빽다방 대구상인화성파크점,13:30~18:00,"시급 9,160원",15분전
13,서울 송파구,빽다방  문정법조현대점,11:00~14:00,"시급 9,200원",17분전
14,세종 전체,빽다방 세종반곡점,시간협의,"시급 9,160원",18분전
15,서울 광진구,빽다방 구의역점,15:30~23:00,"시급 9,160원",20분전
16,전남 목포시,빽다방 목포석현점,10:00~14:00,"시급 9,160원",21분전
17,전남 목포시,빽다방 목포석현점,18:00~22:30,"시급 9,160원",21분전
18,경기 성남시,빽다방 야탑역대덕점,15:30~22:00,"시급 10,000원",21분전
19,세종 나성동,빽다방 세종어반아트리움점,시간협의,"시급 9,160원",22분전
20,충북 제천시,빽다방 제천중앙로점,16:00~20:00,"시급 9,160원",24분전
21,전북 전주시,빽다방  전주예수병원점,시간협의,"연봉 23,400,000원",27분전
22,광주 동구,빽다방 광주충장로2호점,08:30~14:00,"시급 9,200원",27분전
23,전북 전주시,빽다방  전주예수병원점,18:30~22:30,"시급 9,160원",27분전
24,강원 강릉시,빽다방 강릉교동중앙점,12:00~18:00,"시급 9,160원",29분전
25,서울 강남구,빽다방  역삼GS점,시간협의,"월급 2,100,000원",32분전
26,대전 중구,빽다방 대전은행점,13:30~17:30,"시급 9,160원",33분전
27,경기 수원시,빽다방 수원남문점,시간협의,"시급 9,160원",35분전
28,서울 영등포,빽다방  KBS본관점,16:00~23:00,"시급 9,200원",37분전
29,서울 강동구,빽다방 암사역점,18:30~22:30,"시급 9,200원",38분전
30,대전 동구,빽다방 대전우송대점,12:00~24:00,"시급 9,200원",39분전
31,경기 평택시,빽다방 서정리역점,11:00~14:00,"시급 9,160원",40분전
32,서울 노원구,빽다방  노원역우리은행점,07:30~12:00,"시급 9,160원",40분전
33,서울 강동구,빽다방 암사역점,07:30~14:30,"시급 9,200원",41분전
34,서울 강동구,빽다방 암사역점,07:30~14:00,"월급 1,600,000원",42분전
35,서울 강동구,빽다방 암사역점,18:00~22:30,"시급 9,200원",42분전
36,인천 중구,빽다방 동인천역점,17:30~22:00,"시급 9,300원",42분전
37,서울 관악구,빽다방 관악구청점,07:00~14:00,"시급 9,200원",43분전
38,서울 강북구,빽다방 강북구청점,18:00~24:00,"시급 9,160원",43분전
39,서울 광진구,빽다방 아차산점,13:00~18:00,"시급 9,200원",44분전
40,경기 부천시,빽다방 부천U1센터점,07:00~14:00,"시급 9,160원",44분전
41,서울 강서구,빽다방 마곡역류마타워점,시간협의,"시급 9,160원",45분전
42,광주 광산구,빽다방 광주신창사거리점,시간협의,"시급 9,160원",48분전
43,서울 은평구,빽다방 은평초교점,08:00~12:00,"시급 9,200원",48분전
44,광주 광산구,빽다방 광주신창사거리점,시간협의,"시급 9,160원",48분전
45,대전 유성구,빽다방  대전탑립테크노점,07:30~13:00,"시급 12,000원",53분전
46,충북 청주시,빽다방 청주테크노폴리스점,시간협의,"시급 9,160원",53분전
47,대전 유성구,빽다방  대전탑립테크노점,07:30~19:00,"시급 12,000원",53분전
48,대전 동구,빽다방 대전우송대점,12:00~24:00,"시급 9,200원",53분전
49,서울 강동구,빽다방 암사역점,07:30~14:30,"시급 9,200원",57분전
50,서울 관악구,빽다방 관악구청점,08:00~14:00,"시급 9,200원",57분전
51,경기 의정부,빽다방 망월사역점,시간협의,"시급 9,160원",1시간전
52,서울 전체,빽다방 신촌역점,07:00~14:30,"월급 1,900,000원",1시간전
53,서울 전체,빽다방 신촌역점,14:30~22:00,"월급 1,900,000원",1시간전
54,서울 노원구,빽다방  중계은행사거리점,13:00~22:00,"월급 2,000,000원",1시간전
55,충북 청주시,빽다방 청주율량9단지점,시간협의,"시급 9,160원",1시간전
56,서울 광진구,빽다방  세종대후문점,시간협의,"시급 9,160원",1시간전
57,서울 전체,빽다방 신설동역1호점,07:30~11:30,"시급 9,160원",1시간전
58,인천 연수구,빽다방 인천옥련점,19:00~22:00,"시급 9,160원",1시간전
59,경기 화성시,빽다방  동탄남광장점,시간협의,"월급 1,920,000원",1시간전
60,경남 김해시,빽다방 김해장유점,19:00~22:00,"시급 9,160원",1시간전
61,충남 천안시,빽다방 천안불당정석점,16:00~22:30,"시급 9,200원",1시간전
62,인천 남동구,빽다방  인천라피에스타점,18:00~22:30,"시급 9,160원",1시간전
63,인천 연수구,빽다방 송도랜드마크시티점,11:30~18:00,"시급 9,160원",1시간전
64,경북 경주시,빽다방 경주로데오점,17:00~22:00,"시급 10,000원",1시간전
65,인천 연수구,빽다방 송도랜드마크시티점,11:30~18:00,"시급 9,160원",1시간전
66,인천 연수구,빽다방 송도랜드마크시티점,11:30~18:00,"시급 9,160원",2시간전
67,울산 남구,빽다방 울산삼산현대점,10:30~21:30,"월급 2,400,000원",2시간전
68,서울 광진구,빽다방 아차산점,13:00~18:00,"시급 9,200원",2시간전
69,서울 도봉구,빽다방 창동역점,09:00~15:30,"시급 9,200원",2시간전
70,경기 수원시,빽다방 수원조원시장점,18:30~22:00,"시급 9,160원",2시간전
71,인천 미추홀,빽다방 인천도화청운대점,08:00~15:00,"시급 9,160원",2시간전
72,서울 중랑구,빽다방 사가정역점,19:00~23:00,"시급 9,200원",2시간전
73,경기 수원시,빽다방 수원인계중앙점,12:00~18:00,"시급 9,160원",2시간전
74,서울 성동구,빽다방 상왕십리역점,17:30~22:00,"시급 9,200원",2시간전
75,충남 홍성군,빽다방 홍성내포청사점,시간협의,"시급 9,160원",2시간전
76,서울 동대문,빽다방 상왕십리역점,08:00~11:00,"시급 9,200원",2시간전
77,경기 수원시,빽다방 수원인계중앙점,09:00~12:00,"시급 9,160원",2시간전
78,서울 성동구,빽다방 상왕십리역점,08:00~11:00,"시급 9,200원",2시간전
79,서울 성북구,빽다방 종암사거리점,12:00~18:00,"시급 9,160원",2시간전
80,대전 동구,빽다방 대전우송대점,12:00~24:00,"시급 9,200원",2시간전
81,광주 동구,빽다방 광주충장로1호점,18:00~24:00,"시급 9,160원",2시간전
82,광주 동구,빽다방 광주충장로1호점,11:00~18:00,"시급 9,160원",2시간전
83,광주 동구,빽다방 광주충장로1호점,11:00~18:00,"시급 9,160원",2시간전
84,광주 동구,빽다방 광주충장로1호점,18:00~24:00,"시급 9,160원",2시간전
85,경기 고양시,빽다방 고양향동점,14:00~18:00,"시급 9,160원",2시간전
86,광주 동구,빽다방  광주충장로1호점,18:00~24:00,"시급 9,160원",2시간전
87,경북 포항시,빽다방  포항문덕점,10:00~16:00,"시급 9,160원",2시간전
88,서울 강북구,빽다방 미아역점,15:00~22:00,"시급 9,160원",2시간전
89,인천 전체,빽다방 갈산역점,14:30~20:30,"시급 9,160원",2시간전
90,서울 광진구,빽다방 올림픽북단점,시간협의,"시급 9,160원",2시간전
91,서울 광진구,빽다방 어린이대공원역점,10:00~16:00,"시급 9,160원",2시간전
92,대전 동구,빽다방 대전우송대점,12:00~24:00,"시급 9,200원",2시간전
93,대전 유성구,빽다방  대전탑립테크노점,07:30~19:00,"시급 12,000원",2시간전
94,충남 아산시,빽다방 아산역점,18:00~21:00,"시급 9,160원",2시간전
95,대전 유성구,빽다방  대전탑립테크노점,07:30~13:00,"시급 12,000원",2시간전
96,충남 아산시,빽다방 아산역점,18:00~21:00,"시급 9,160원",2시간전
97,서울 전체,빽다방 신촌역점,14:30~22:00,"월급 1,900,000원",2시간전
98,서울 전체,빽다방 신촌역점,07:00~14:30,"월급 1,900,000원",2시간전
99,서울 강북구,빽다방 미아역점,18:00~22:00,"시급 9,160원",2시간전
100,경기 안양시,빽다방  안양평촌학원가점,시간협의,"시급 9,200원",2시간전
101,경남 진주시,빽다방 진주과기대점,18:00~22:00,"시급 9,160원",2시간전
102,경기 수원시,빽다방 수원화서시장점,시간협의,"시급 9,160원",2시간전
103,경기 시흥시,빽다방 시흥배곧메가점,10:00~16:00,"시급 9,160원",2시간전
104,경기 시흥시,빽다방 시흥배곧메가점,10:00~16:00,"시급 9,160원",2시간전
105,서울 강북구,빽다방 강북구청점,18:00~24:00,"시급 9,160원",2시간전
106,경기 구리시,빽다방 구리수택점,07:00~15:00,"월급 2,000,000원",2시간전
107,서울 동대문,빽다방 용답로데오점,07:30~11:30,"시급 9,160원",2시간전
108,서울 동대문,빽다방 용답로데오점,18:30~22:30,"시급 9,160원",2시간전
109,서울 광진구,빽다방 구의역점,15:30~23:00,"시급 9,160원",2시간전
110,경기 군포시,빽다방 산본사거리점,15:30~19:30,"시급 9,160원",2시간전
111,서울 동대문,빽다방 용답로데오점,시간협의,"월급 1,920,000원",2시간전
112,전남 순천시,빽다방 순천오천점,11:00~15:00,"시급 9,160원",2시간전
113,서울 관악구,빽다방 구로KT점,10:00~16:00,"시급 9,160원",2시간전
114,서울 강북구,빽다방 강북구청점,18:00~24:00,"시급 9,250원",2시간전
115,대전 서구,빽다방 대전탄방로데오점,12:00~06:00,"시급 9,160원",2시간전
116,서울 전체,빽다방 신설동역1호점,07:30~11:30,"시급 9,160원",3시간전
117,서울 강동구,빽다방  천호역롯데점,시간협의,"시급 9,160원",3시간전
118,서울 강동구,빽다방  천호역롯데점,시간협의,"월급 2,100,000원",3시간전
