14:07:05
2022-01-18
26건
index,place,title,time,pay,date
1,서울 관악구,(주)캘리스코 사보텐신논현점,17:00~22:00,"시급 10,800원",12분전
2,충북 청주시,주식회사 캘리스코 사보텐 청주 터미널,10:00~21:30,"연봉 32,000,000원",26분전
3,서울 동대문,사보텐 청량리역사점,10:00~15:30,"시급 9,160원",33분전
4,서울 동대문,사보텐 청량리역사점,10:30~15:00,"시급 9,160원",34분전
5,서울 마포구,(주)캘리스코 사보텐 공덕역점,시간협의,"시급 9,160원",3시간전
6,경기 여주시,(주)캘리스코 히바린 여주첼시점,시간협의,"시급 10,000원",4시간전
7,경기 의정부,(주)캘리스코,시간협의,"시급 9,160원",4시간전
8,서울 강남구,(주)캘리스코 사보텐 코엑스점,09:00~16:00,"시급 9,160원",4시간전
9,경남 창원시,사보텐 창원시티세븐몰,12:00~15:00,"시급 9,160원",6시간전
10,경기 여주시,(주)캘리스코 히바린 여주첼시점,시간협의,"시급 10,000원",7시간전
11,서울 서초구,사보텐 신논현점,17:00~22:00,"시급 10,308원",7시간전
12,서울 강동구,(주)캘리스코,09:30~14:30,"시급 9,160원",8시간전
13,서울 강남구,(주)캘리스코,12:00~22:00,"시급 9,160원",8시간전
14,서울 강남구,사보텐 선릉역점,시간협의,"시급 9,160원",01/17
15,경기 의정부,(주)캘리스코,시간협의,"시급 9,160원",01/16
16,서울 성북구,(주)캘리스코 현대미아점,09:00~15:00,"시급 9,160원",01/16
17,경기 의정부,(주)캘리스코,시간협의,"시급 9,160원",01/14
18,서울 강남구,(주)캘리스코,시간협의,"시급 9,160원",01/13
19,서울 송파구,사보텐 딜리버리송파점,시간협의,"시급 9,160원",01/12
20,서울 관악구,(주)캘리스코 사보텐신논현점,17:00~22:00,"시급 10,800원",01/11
21,서울 광진구,(주)캘리스코 사보텐 건대스타시티점,17:00~22:00,"시급 9,160원",01/11
22,서울 광진구,(주)캘리스코 사보텐 건대스타시티점,12:00~17:00,"시급 9,160원",01/11
23,서울 강남구,사보텐 선릉역점,시간협의,"시급 9,160원",01/10
24,서울 광진구,(주)캘리스코 사보텐 건대스타시티점,12:00~17:00,"시급 9,160원",01/09
25,광주 서구,사보텐 신세계광주점,12:30~20:30,"시급 9,160원",01/07
26,서울 서초구,(주)캘리스코,시간협의,"시급 9,160원",01/05
