14:03:04
2022-01-18
114건
index,place,title,time,pay,date
1,경기 고양시,상무초밥 일산라페스타점,시간협의,"월급 4,000,000원",33분전
2,경기 성남시,상무초밥 분당서현점,10:00~22:00,"월급 2,800,000원",56분전
3,대구 수성구,상무초밥 대구범어점,시간협의,"월급 4,000,000원",1시간전
4,대구 수성구,상무초밥 대구범어점,시간협의,"월급 4,000,000원",1시간전
5,대구 수성구,상무초밥 대구범어점,시간협의,"월급 4,000,000원",1시간전
6,대구 수성구,상무초밥 대구범어점,시간협의,"월급 4,000,000원",1시간전
7,경기 고양시,상무초밥 일산라페스타점,시간협의,"월급 4,000,000원",1시간전
8,경기 고양시,상무초밥 일산라페스타점,시간협의,"월급 4,000,000원",2시간전
9,울산 남구,상무초밥 울산삼산점,시간협의,"월급 2,600,000원",2시간전
10,울산 남구,상무초밥 울산삼산점,시간협의,"시급 9,160원",2시간전
11,울산 남구,상무초밥 울산삼산점,시간협의,"월급 2,620,000원",2시간전
12,울산 남구,상무초밥 울산삼산점,시간협의,"월급 2,600,000원",2시간전
13,경기 시흥시,상무초밥 시흥배곧신도시점,시간협의,"월급 3,500,000원",2시간전
14,충남 천안시,상무초밥 신불당점,11:00~22:00,"월급 2,900,000원",3시간전
15,충남 천안시,상무초밥 신불당점,11:00~22:00,"월급 2,900,000원",3시간전
16,충남 천안시,상무초밥 신불당점,11:00~22:00,"월급 2,900,000원",3시간전
17,충남 천안시,상무초밥 신불당점,11:00~22:00,"월급 2,900,000원",3시간전
18,충남 천안시,상무초밥 신불당점,11:00~22:00,"월급 2,900,000원",3시간전
19,전북 전주시,상무초밥 전주송천점,시간협의,"월급 2,600,000원",3시간전
20,대전 유성구,상무초밥 대전유성점,시간협의,"월급 2,940,000원",3시간전
21,대전 서구,상무초밥 대전둔산점,시간협의,"시급 9,160원",3시간전
22,대전 유성구,상무초밥 대전유성점,시간협의,"월급 2,940,000원",3시간전
23,대전 유성구,상무초밥 대전유성점,시간협의,"월급 2,940,000원",3시간전
24,대전 유성구,상무초밥 대전유성점,시간협의,"월급 2,940,000원",3시간전
25,대전 유성구,상무초밥 대전유성점,시간협의,"월급 2,940,000원",3시간전
26,대전 서구,상무초밥 대전둔산점,시간협의,"월급 2,580,000원",3시간전
27,경기 고양시,상무초밥 일산라페스타점,시간협의,"월급 4,000,000원",3시간전
28,경기 성남시,상무초밥 분당서현점,10:00~22:00,"월급 2,800,000원",4시간전
29,울산 남구,상무초밥 울산삼산점,시간협의,"월급 2,600,000원",4시간전
30,전북 전주시,상무초밥 전주송천점,시간협의,"월급 2,600,000원",4시간전
31,광주 서구,상무초밥 상무점,10:00~23:00,"월급 4,000,000원",5시간전
32,경기 안산시,상무초밥 안산중앙동점,12:00~05:00,"월급 3,500,000원",6시간전
33,경기 안산시,상무초밥 안산중앙동점,12:00~05:00,"월급 3,500,000원",6시간전
34,광주 광산구,상무초밥 수완지구점,10:00~22:00,"월급 4,000,000원",6시간전
35,대구 수성구,상무초밥 대구범어점,시간협의,"월급 4,000,000원",6시간전
36,전북 익산시,상무초밥 익산점,09:00~20:00,"월급 2,600,000원",7시간전
37,전북 익산시,상무초밥 익산점,18:00~22:00,"시급 9,160원",7시간전
38,광주 서구,상무초밥 상무점,10:00~23:00,"월급 4,000,000원",7시간전
39,전북 전주시,상무초밥 전주도청점,시간협의,"시급 9,160원",7시간전
40,전북 전주시,상무초밥 전주도청점,시간협의,"시급 9,160원",7시간전
41,전북 전주시,상무초밥 전주도청점,시간협의,"시급 9,160원",7시간전
42,전북 전주시,상무초밥 전주도청점,시간협의,"시급 9,160원",7시간전
43,경기 안산시,상무초밥 안산중앙동점,12:00~05:00,"월급 3,500,000원",7시간전
44,전남 목포시,상무초밥 목포점,시간협의,"월급 3,700,000원",8시간전
45,경기 안산시,상무초밥 안산중앙동점,12:00~05:00,"월급 3,500,000원",18시간전
46,전남 여수시,상무초밥 여수점,시간협의,"월급 2,700,000원",18시간전
47,전남 여수시,상무초밥 여수점,시간협의,"시급 10,000원",18시간전
48,전남 여수시,상무초밥 여수점,10:00~22:00,"월급 2,800,000원",18시간전
49,광주 서구,상무초밥 상무점,10:00~23:00,"월급 4,000,000원",19시간전
50,전북 전주시,상무초밥 전주송천점,시간협의,"월급 2,600,000원",20시간전
51,대전 서구,상무초밥 대전둔산점,시간협의,"월급 2,940,000원",20시간전
52,대전 서구,상무초밥 대전둔산점,시간협의,"월급 2,940,000원",20시간전
53,대전 서구,상무초밥 대전둔산점,시간협의,"월급 2,940,000원",20시간전
54,전남 목포시,상무초밥 목포점,시간협의,"월급 3,700,000원",01/17
55,광주 서구,상무초밥 상무점,10:00~23:00,"월급 4,000,000원",01/16
56,경기 성남시,상무초밥 분당서현점,10:00~22:00,"월급 2,800,000원",01/16
