14:13:59
2022-01-18
67건
index,place,title,time,pay,date
1,서울 영등포,성원아이북랜드 강서양천영업본부,14:00~20:00,"월급 1,000,000원",13분전
2,서울 양천구,성원아이북랜드 강서양천영업본부,14:00~20:00,"월급 1,000,000원",13분전
3,서울 강서구,성원아이북랜드 강서양천영업본부,14:00~20:00,"월급 1,000,000원",13분전
4,경남 창원시,성원아이북랜드 김해창원영업본부,시간협의,"월급 1,000,000원",3시간전
5,경남 김해시,성원아이북랜드 김해창원영업본부,시간협의,"월급 1,000,000원",3시간전
6,경남 김해시,성원아이북랜드 김해창원영업본부,시간협의,"월급 1,000,000원",3시간전
7,서울 송파구,성원아이북랜드 송파영업본부,시간협의,"시급 10,000원",3시간전
8,서울 송파구,성원아이북랜드 송파영업본부,시간협의,"시급 10,000원",3시간전
9,서울 송파구,성원아이북랜드 송파영업본부,시간협의,"시급 10,000원",3시간전
10,경기 성남시,성원아이북랜드 성남분당영업본부,10:00~20:00,"시급 25,000원",4시간전
11,충남 당진시,성원아이북랜드 아산B영업본부,시간협의,"건별 38,000원",4시간전
12,충남 당진시,성원아이북랜드 아산B영업본부,시간협의,"건별 38,000원",4시간전
13,충남 당진시,성원아이북랜드 아산B영업본부,시간협의,"건별 38,000원",4시간전
14,충남 아산시,성원아이북랜드 아산영업본부,시간협의,"건별 30,000원",4시간전
15,충남 아산시,성원아이북랜드 아산영업본부,시간협의,"건별 30,000원",4시간전
16,충남 아산시,성원아이북랜드 아산영업본부,시간협의,"건별 38,000원",4시간전
17,경북 안동시,성원아이북랜드 경북북부영업본부,16:00~20:00,"월급 1,200,000원",4시간전
18,경기 고양시,성원아이북랜드 덕양영업본부,시간협의,"시급 15,000원",4시간전
19,경기 고양시,성원아이북랜드 덕양영업본부,시간협의,"시급 15,000원",4시간전
20,경기 고양시,성원아이북랜드 덕양영업본부,시간협의,"시급 15,000원",4시간전
21,서울 중랑구,성원아이북랜드 동대문중랑성동영업본부,시간협의,"월급 2,000,000원",5시간전
22,대전 서구,성원아이북랜드 대전둔산유성영업본부,시간협의,"시급 20,000원",5시간전
23,대전 서구,성원아이북랜드 대전둔산유성영업본부,시간협의,"시급 20,000원",5시간전
24,대전 서구,성원아이북랜드 대전둔산유성영업본부,시간협의,"시급 20,000원",5시간전
25,대구 달성군,성원아이북랜드 대구달서달성영업본부,시간협의,"월급 1,200,000원",6시간전
26,대구 달서구,성원아이북랜드 대구달서달성영업본부,시간협의,"월급 1,200,000원",6시간전
27,대구 달서구,성원아이북랜드 대구달서달성영업본부,시간협의,"월급 1,200,000원",6시간전
28,부산 동구,성원아이북랜드 부산중부영업본부,14:00~22:00,"건별 30,000원",6시간전
29,부산 부산진,성원아이북랜드 부산중부영업본부,14:00~22:00,"건별 30,000원",6시간전
30,경기 하남시,성원아이북랜드 하남영업본부,시간협의,"월급 1,000,000원",6시간전
31,경기 하남시,성원아이북랜드 하남영업본부,시간협의,"월급 1,000,000원",6시간전
32,경기 하남시,성원아이북랜드 하남영업본부,시간협의,"월급 1,000,000원",6시간전
33,경기 수원시,성원아이북랜드 수원영업본부,14:30~18:00,"월급 2,000,000원",8시간전
34,경기 수원시,성원아이북랜드 수원영업본부,14:30~18:00,"월급 2,000,000원",8시간전
35,경기 수원시,성원아이북랜드 수원영업본부,14:30~18:00,"월급 2,000,000원",8시간전
36,전국 전체,성원아이북랜드 인천서구김포계양영업본부,시간협의,"시급 10,000원",20시간전
37,전국 전체,성원아이북랜드 인천서구김포계양영업본부,시간협의,"시급 10,000원",20시간전
38,강원 강릉시,성원아이북랜드 강원영동영업본부,시간협의,"월급 1,200,000원",01/17
39,서울 동작구,성원아이북랜드 동작관악영업본부,시간협의,"월급 1,000,000원",01/17
40,서울 은평구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"건별 25,000원",01/17
41,서울 은평구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"건별 25,000원",01/17
42,서울 은평구,성원아이북랜드 서대문마포은평영업본부,14:00~20:00,"건별 25,000원",01/17
43,경기 고양시,성원아이북랜드 일산영업본부,14:00~21:00,"월급 2,000,000원",01/16
44,경기 고양시,성원아이북랜드 일산영업본부,14:00~18:30,"건별 35,000원",01/16
45,경기 고양시,성원아이북랜드 일산영업본부,14:00~21:00,"건별 30,000원",01/16
46,서울 관악구,성원아이북랜드 동작관악영업본부,시간협의,"월급 1,000,000원",01/16
47,경북 안동시,성원아이북랜드 경북북부영업본부,16:00~20:00,"월급 1,200,000원",01/16
48,울산 중구,성원아이북랜드 울산영업본부,시간협의,"건별 50,000원",01/15
49,경기 용인시,성원아이북랜드 용인영업본부,시간협의,"월급 1,000,000원",01/15
50,경기 용인시,성원아이북랜드 용인영업본부,시간협의,"월급 1,000,000원",01/15
51,경기 용인시,성원아이북랜드 용인영업본부,시간협의,"월급 1,000,000원",01/15
