place,title,time,pay,date
경기 성남시,송사부수제쌀고로케 이마트 분당점,17:30~21:30,"시급 9,500원",2시간전
경기 성남시,송사부수제쌀고로케 이마트 분당점,17:30~21:30,"시급 9,500원",2시간전
경기 성남시,송사부수제쌀고로케 이마트 분당점,13:30~22:30,"월급 2,000,000원",2시간전
경기 성남시,송사부수제쌀고로케 이마트 분당점,13:30~22:30,"월급 2,000,000원",2시간전
울산 울주군,송사부수제쌀고로케 메마트 언양점,17:30~20:30,"시급 9,160원",3시간전
경남 거제시,송사부수제쌀고로케 HP 거제점,16:00~22:00,"시급 9,160원",16시간전
서울 중구,송사부수제쌀고로케 이마트 천호점,08:00~15:00,"시급 9,500원",01/16
경기 파주시,송사부수제쌀고로케 이마트 파주운정점,12:00~16:00,"시급 9,500원",01/15
인천 서구,송사부수제쌀고로케 홈플러스 가좌점,12:00~18:00,"시급 9,200원",01/07
부산 남구,송사부수제쌀고로케 이마트 문현점,17:30~21:00,"시급 10,000원",01/01
