14:01:16
2022-01-18
14건
index,place,title,time,pay,date
1,경기 화성시,(주)파리크라상 쉐이크쉑,시간협의,"시급 9,160원",2시간전
2,서울 성동구,(주)파리크라상 쉐이크쉑,시간협의,"시급 9,300원",4시간전
3,서울 성북구,(주)파리크라상 쉐이크쉑,시간협의,"시급 9,300원",4시간전
4,서울 중구,(주)파리크라상 쉐이크쉑,시간협의,"시급 9,300원",4시간전
5,서울 강북구,(주)파리크라상 쉐이크쉑,시간협의,"시급 9,300원",4시간전
6,서울 동대문,(주)파리크라상 쉐이크쉑,시간협의,"시급 9,300원",4시간전
7,부산 부산진,쉐이크쉑 서면점,09:00~18:00,"시급 9,300원",4시간전
8,서울 노원구,(주)파리크라상 쉐이크쉑,시간협의,"시급 9,160원",01/16
9,서울 용산구,쉐이크쉑 용산아이파크몰점,시간협의,"시급 9,160원",01/15
10,경기 화성시,(주)파리크라상 쉐이크쉑,시간협의,"시급 9,160원",01/13
11,서울 강남구,(주)파리크라상 쉐이크쉑,시간협의,"시급 9,160원",01/13
12,대전 서구,(주)파리크라상 쉐이크쉑,10:00~19:00,"시급 9,300원",01/06
13,서울 서초구,쉐이크쉑 센트럴시티점,07:00~23:00,"시급 9,160원",01/03
14,서울 서초구,(주)파리크라상 쉐이크쉑,시간협의,"시급 9,160원",01/03
