14:17:17
2022-01-18
34건
index,place,title,time,pay,date
1,경기 광명시,슈퍼히어로 광명센터,10:00~02:30,"건별 4,300원",13분전
2,경기 광명시,슈퍼히어로 광명센터,10:00~02:30,"건별 4,300원",13분전
3,경기 광명시,슈퍼히어로 광명센터,10:00~02:30,"건별 4,300원",13분전
4,서울 동작구,슈퍼히어로 동작빵빵지사,10:00~01:30,"일급 300,000원",3시간전
5,부산 강서구,슈퍼히어로 부산바른콜,시간협의,"일급 250,000원",4시간전
6,부산 강서구,슈퍼히어로 부산바른콜,시간협의,"일급 250,000원",4시간전
7,부산 강서구,슈퍼히어로 부산바른콜,시간협의,"일급 250,000원",4시간전
8,서울 구로구,슈퍼히어로 구로서부센터,10:00~14:00,"건별 4,500원",5시간전
9,서울 금천구,슈퍼히어로 슈퍼히어로 금천,10:00~14:00,"건별 4,500원",5시간전
10,서울 금천구,슈퍼히어로 슈퍼히어로 가산,10:00~14:00,"건별 4,500원",5시간전
11,경기 시흥시,슈퍼히어로 시흥시센터,시간협의,"일급 200,000원",7시간전
12,경기 시흥시,슈퍼히어로 시흥시센터,시간협의,"일급 200,000원",7시간전
13,경기 시흥시,슈퍼히어로 시흥시센터,시간협의,"일급 250,000원",7시간전
14,경기 의정부,의정부브라더,시간협의,"건별 4,000원",17시간전
15,경기 의정부,슈퍼히어로 의정부G,시간협의,"건별 4,000원",17시간전
16,경기 의정부,슈퍼히어로 의정부드림,시간협의,"건별 4,000원",01/11
17,경기 의정부,슈퍼히어로 의정부드림,시간협의,"건별 4,000원",01/11
18,경기 의정부,슈퍼히어로 의정부드림,시간협의,"건별 4,000원",01/11
19,경기 의정부,슈퍼히어로 의정부A,시간협의,"월급 6,500,000원",01/11
20,경기 의정부,슈퍼히어로 의정부A,시간협의,"월급 6,000,000원",01/11
21,경기 의정부,슈퍼히어로 의정부A,시간협의,"월급 6,000,000원",01/11
22,경기 구리시,슈퍼히어로 갈매별내지사,10:00~01:00,"월급 5,500,000원",01/09
23,경기 남양주,슈퍼히어로 갈매별내지사,10:00~01:00,"일급 200,000원",01/08
24,전남 광양시,슈퍼히어로 광영지사,시간협의,"월급 3,500,000원",01/08
25,강원 강릉시,슈퍼히어로 강릉지사,시간협의,"건별 3,700원",01/08
26,경기 광명시,슈퍼히어로 광명하소일센터,시간협의,"일급 150,000원",01/07
27,경기 의정부,의정부브라더,시간협의,"건별 4,000원",01/05
28,경기 의정부,슈퍼히어로 의정부G,시간협의,"건별 4,000원",01/05
29,서울 구로구,슈퍼히어로 영등포센터,시간협의,"건별 4,300원",01/04
30,서울 영등포,슈퍼히어로 영등포센터,시간협의,"건별 4,300원",01/04
31,서울 양천구,슈퍼히어로 영등포센터,11:00~23:00,"건별 4,300원",01/02
32,서울 강서구,슈퍼히어로 화곡지사,10:00~01:00,"건별 4,300원",01/02
33,서울 강서구,슈퍼히어로 화곡지사,10:00~01:00,"건별 4,300원",01/02
34,서울 강서구,슈퍼히어로 화곡지사,10:00~01:00,"건별 4,300원",01/02
