14:04:35
2022-01-18
30건
index,place,title,time,pay,date
1,부산 전체,슈펜 해운대 (NC백화점),13:00~22:00,"월급 2,014,440원",3시간전
2,부산 해운대,슈펜 해운대 (NC백화점),13:00~22:00,"월급 2,014,440원",3시간전
3,서울 중랑구,슈펜 청량리 (롯데백화점),12:00~21:00,"월급 2,014,440원",3시간전
4,서울 동대문,슈펜 청량리 (롯데백화점),12:00~21:00,"월급 2,014,440원",3시간전
5,서울 서대문,슈펜 홍대,13:00~22:00,"월급 2,014,440원",01/17
6,서울 마포구,슈펜 홍대,13:00~22:00,"월급 2,014,440원",01/17
7,경기 고양시,슈펜 일산 (뉴코아아울렛),13:00~22:00,"월급 2,014,440원",01/17
8,경기 고양시,슈펜 일산 (뉴코아아울렛),13:00~22:00,"월급 2,014,440원",01/17
9,서울 용산구,슈펜 용산 (아이파크몰),13:00~22:00,"월급 2,014,440원",01/17
10,서울 영등포,슈펜 용산 (아이파크몰),13:00~22:00,"월급 2,014,440원",01/17
11,서울 구로구,슈펜 영등포 (타임스퀘어),13:00~22:00,"월급 2,014,440원",01/17
12,서울 영등포,슈펜 영등포 (타임스퀘어),13:00~22:00,"월급 2,014,440원",01/17
13,경기 성남시,슈펜 야탑 (NC백화점),13:00~22:00,"월급 2,014,440원",01/17
14,경기 성남시,슈펜 야탑 (NC백화점),13:00~22:00,"월급 2,014,440원",01/17
15,서울 강동구,슈펜 송파 (NC백화점),13:00~22:00,"월급 2,014,440원",01/17
16,서울 송파구,슈펜 송파 (NC백화점),13:00~22:00,"월급 2,014,440원",01/17
17,경기 부천시,슈펜 부천 (뉴코아아울렛),13:00~22:00,"월급 2,014,440원",01/17
18,경기 부천시,슈펜 부천 (뉴코아아울렛),13:00~22:00,"월급 2,014,440원",01/17
19,대구 전체,슈펜 동성로,13:00~22:00,"월급 2,014,440원",01/17
20,대구 중구,슈펜 동성로,13:00~22:00,"월급 2,014,440원",01/17
21,서울 구로구,슈펜 구로 (NC백화점),13:00~22:00,"월급 2,014,440원",01/17
22,경기 광명시,슈펜 구로 (NC백화점),13:00~22:00,"월급 2,014,440원",01/17
23,경기 안산시,슈펜 고잔 (NC백화점),13:00~22:00,"월급 2,014,440원",01/17
24,경기 안산시,슈펜 고잔 (NC백화점),13:00~22:00,"월급 2,014,440원",01/17
25,서울 은평구,슈펜 슈펜 고양 (스타필드),13:00~22:00,"월급 2,014,440원",01/17
26,경기 고양시,슈펜 슈펜 고양 (스타필드),13:00~22:00,"월급 2,014,440원",01/17
27,서울 동작구,슈펜 강남역 2호,11:00~20:00,"월급 2,014,440원",01/17
28,서울 관악구,슈펜 강남역 2호,11:00~20:00,"월급 2,014,440원",01/17
29,서울 강남구,슈펜 강남역 1호 (점프밀라노),13:00~22:00,"월급 2,014,440원",01/17
30,서울 동작구,슈펜 강남역 1호 (점프밀라노),13:00~22:00,"월급 2,014,440원",01/17
