14:13:23
2022-01-18
469건
index,place,title,time,pay,date
1,경기 부천시,스타벅스 부천중동,07:00~22:30,"시급 10,000원",1분전
2,경남 창원시,스타벅스 삼성창원병원,시간협의,"시급 10,000원",4분전
3,광주 서구,스타벅스 광주금호DT,06:30~23:00,"시급 10,000원",7분전
4,서울 서초구,스타벅스 영동2교,시간협의,"시급 10,000원",8분전
5,세종 새롬동,스타벅스 세종새롬,07:30~23:00,"시급 10,000원",9분전
6,전북 전주시,스타벅스 전주서신,시간협의,"시급 10,000원",11분전
7,경남 전체,스타벅스 마산역DT,06:30~22:30,"시급 10,000원",12분전
8,서울 강남구,스타벅스 선릉세화빌딩,시간협의,"시급 10,000원",22분전
9,부산 동구,스타벅스 부산역라마다,06:30~22:00,"시급 10,000원",32분전
10,경기 화성시,스타벅스 동탄디엠시티,시간협의,"시급 10,000원",33분전
11,경기 이천시,스타벅스 이천증포DT,시간협의,"시급 10,000원",38분전
12,서울 양천구,스타벅스 목동8단지,시간협의,"시급 10,000원",38분전
13,서울 강남구,스타벅스 선릉세화빌딩,시간협의,"시급 10,000원",39분전
14,경기 용인시,스타벅스 수지성복DT,07:00~22:00,"시급 10,000원",45분전
15,경기 용인시,스타벅스 한국민속촌DT,시간협의,"시급 10,000원",46분전
16,충북 음성군,스타벅스 충북혁신도시,06:30~23:30,"시급 10,000원",47분전
17,경기 용인시,스타벅스 용인보정DT,시간협의,"시급 10,000원",47분전
18,전국 전체,스타벅스 판교HIPEX,시간협의,"시급 10,000원",47분전
19,경북 포항시,스타벅스 포항시청,시간협의,"시급 10,000원",48분전
20,서울 송파구,스타벅스 문정역,시간협의,"시급 10,000원",48분전
21,경기 남양주,스타벅스 평내호평역,시간협의,"시급 10,000원",50분전
22,세종 전체,스타벅스 세종소담,07:00~23:00,"시급 10,000원",54분전
23,경기 용인시,스타벅스 용인보정,06:30~19:30,"시급 10,000원",56분전
24,세종 가람동,스타벅스 세종이마트,시간협의,"시급 10,000원",1시간전
25,경남 창원시,스타벅스 진해자은DT,06:00~24:00,"시급 10,000원",1시간전
26,서울 강남구,스타벅스 대치은마사거리,시간협의,"시급 10,000원",1시간전
27,서울 영등포,스타벅스 문래동,시간협의,"시급 10,000원",1시간전
28,서울 동작구,스타벅스 노량진동,시간협의,"시급 10,000원",1시간전
29,서울 강남구,스타벅스 대치은마사거리,시간협의,"시급 10,000원",1시간전
30,경기 성남시,스타벅스 수내역,06:30~22:00,"시급 10,000원",2시간전
31,경기 평택시,스타벅스 평택대DT,06:30~23:00,"시급 10,000원",2시간전
32,울산 남구,스타벅스 울산시청사거리DT,시간협의,"시급 10,000원",2시간전
