place,title,time,pay,date
서울 관악구,노브랜드버거 방배역점,09:30~14:00,"시급 9,340원",5분전
대전 유성구,(주)신세계푸드,시간협의,"월급 1,914,440원",7분전
서울 강서구,신세계푸드 NBB마곡점관리자,시간협의,"시급 9,160원",18분전
경기 김포시,노브랜드버거 김포장기점,10:00~19:00,"시급 9,160원",28분전
서울 강서구,신세계푸드 NBB마곡점관리자,시간협의,"시급 9,160원",34분전
서울 서초구,노브랜드버거 방배역점,09:30~14:00,"시급 9,340원",39분전
서울 관악구,신세계푸드 NBB 남부터미널점,13:30~22:30,"시급 9,340원",1시간전
경기 고양시,노브랜드버거 원마운트점,시간협의,"시급 9,340원",2시간전
경기 고양시,노브랜드버거 원마운트점,시간협의,"시급 9,340원",2시간전
대전 유성구,(주)신세계푸드,시간협의,"월급 1,914,440원",2시간전
서울 강서구,신세계푸드 NBB마곡점관리자,시간협의,"시급 9,160원",2시간전
서울 성동구,보노보노 스시 성수점,11:00~21:30,"월급 2,200,000원",2시간전
서울 서초구,(주)신세계푸드 데블스도어 코엑스점,시간협의,"시급 9,200원",2시간전
서울 강서구,신세계푸드 NBB마곡점관리자,시간협의,"시급 9,160원",2시간전
서울 금천구,신세계푸드 NBB 가산디지털단지점,11:00~17:30,"시급 9,160원",2시간전
서울 광진구,보노보노 스시 성수점,11:00~21:30,"월급 2,200,000원",2시간전
인천 전체,노브랜드버거 인천계양구청점,시간협의,"시급 9,160원",2시간전
인천 전체,노브랜드버거 인천계양구청점,시간협의,"시급 9,160원",2시간전
경기 김포시,노브랜드버거 김포장기점,10:00~19:00,"시급 9,160원",3시간전
서울 성동구,보노보노 스시 성수점,11:00~21:30,"월급 2,200,000원",3시간전
서울 전체,보노보노 스시 성수점,11:00~21:30,"월급 2,200,000원",3시간전
서울 관악구,노브랜드버거 방배역점,09:30~14:00,"시급 9,340원",3시간전
서울 종로구,(주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급 1,952,060원",3시간전
경기 김포시,노브랜드버거 김포장기점,10:00~19:00,"시급 9,160원",3시간전
서울 강북구,(주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급 1,914,440원",11시간전
서울 관악구,신세계푸드 NBB 남부터미널점,11:00~20:00,"시급 9,340원",16시간전
경기 용인시,노브랜드버거 상현역점,시간협의,"월급 2,200,000원",01/16
서울 관악구,노브랜드 버거 양재역점,시간협의,"시급 9,340원",01/16
서울 동대문,(주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급 1,914,400원",01/16
서울 동작구,노브랜드버거 노량진점,시간협의,"시급 9,160원",01/15
대전 유성구,(주)신세계푸드,시간협의,"월급 1,914,440원",01/15
서울 관악구,(주)신세계푸드 베키아에누보 본점,07:00~16:00,"월급 1,914,440원",01/15
서울 강남구,노브랜드버거 대치대원빌딩점,시간협의,"시급 9,340원",01/15
서울 관악구,신세계푸드 NBB 남부터미널점,11:00~20:00,"시급 9,340원",01/14
대구 달서구,NBB 대구상인역점,시간협의,"시급 9,160원",01/14
서울 강서구,신세계푸드 NBB마곡점관리자,시간협의,"시급 9,160원",01/14
서울 서초구,노브랜드버거 대치대원빌딩점,시간협의,"시급 9,340원",01/14
서울 금천구,신세계푸드 NBB 가산디지털단지점,16:00~22:30,"시급 9,160원",01/13
서울 송파구,노브랜드버거 대치대원빌딩점,시간협의,"시급 9,340원",01/13
서울 강남구,노브랜드버거 대치대원빌딩점,시간협의,"시급 9,340원",01/10
서울 전체,TEST KITCHEN PIZZA,09:30~18:30,"시급 9,340원",01/10
서울 성동구,TEST KITCHEN PIZZA,09:30~18:30,"시급 9,340원",01/10
서울 전체,보노보노 플러스 삼성점,12:00~22:00,"월급 1,860,100원",01/10
서울 중랑구,노브랜드버거 건대입구점,시간협의,"시급 9,160원",01/08
서울 성동구,노브랜드버거 건대입구점,시간협의,"시급 9,160원",01/08
서울 송파구,노브랜드버거 건대입구점,시간협의,"시급 9,160원",01/08
서울 광진구,노브랜드버거 건대입구점,시간협의,"시급 9,160원",01/08
서울 강남구,(주)신세계푸드 데블스도어 코엑스점,시간협의,"시급 12,000원",01/06
경북 경주시,NBB경주용황점,시간협의,"월급 2,000,000원",01/04
서울 광진구,TEST KITCHEN PIZZA,09:30~18:30,"시급 9,340원",01/04
경기 전체,TEST KITCHEN PIZZA,09:30~18:30,"시급 9,340원",01/04
서울 송파구,TEST KITCHEN PIZZA,09:30~18:30,"시급 9,340원",01/04
