14:01:40
2022-01-18
230건
index,place,title,time,pay,date
1,부산 전체,써브웨이 부산좌동점,시간협의,"월급 2,200,000원",11분전
2,인천 서구,써브웨이 인천완정역점,시간협의,"시급 11,002원",16분전
3,서울 마포구,써브웨이 공덕역 롯데캐슬점,06:30~14:00,"시급 9,160원",27분전
4,서울 마포구,써브웨이 홍대점,09:00~16:00,"시급 11,000원",48분전
5,서울 강남구,써브웨이,07:30~16:00,"시급 9,160원",49분전
6,경남 창원시,서브웨이 마산경남대점,시간협의,"시급 9,160원",52분전
7,충남 천안시,써브웨이천안신부점,07:30~16:30,"연봉 26,000,000원",53분전
8,인천 미추홀,써브웨이 SUBWAY 인천주안역점,17:00~23:30,"시급 9,160원",1시간전
9,경남 거제시,써브웨이 거제고현점,07:30~14:30,"시급 9,160원",1시간전
10,경기 수원시,써브웨이 광교경기대후문점,시간협의,"시급 9,160원",1시간전
11,서울 마포구,써브웨이 상수역점,시간협의,"시급 9,160원",1시간전
12,부산 연제구,써브웨이 연산점,16:00~21:00,"시급 9,160원",1시간전
13,부산 기장군,써브웨이 정관점,16:00~22:00,"시급 9,160원",1시간전
14,울산 남구,써브웨이 울산 옥동점,17:00~22:00,"시급 9,160원",1시간전
15,부산 기장군,써브웨이 정관점,17:00~22:00,"시급 9,160원",1시간전
16,부산 기장군,써브웨이 정관점,08:00~15:00,"시급 9,160원",1시간전
17,대구 전체,써브웨이 써브웨이 대구광장점,17:30~22:00,"시급 9,160원",1시간전
18,충남 천안시,써브웨이 두정점,시간협의,"월급 2,000,000원",1시간전
19,서울 성동구,써브웨이 성수역점,11:00~18:00,"시급 9,160원",1시간전
20,서울 마포구,써브웨이 홍대점,09:00~16:00,"시급 11,000원",2시간전
21,서울 마포구,써브웨이 홍대점,16:00~23:00,"시급 9,200원",2시간전
22,서울 전체,써브웨이 회현,시간협의,"시급 9,160원",2시간전
23,경남 김해시,써브웨이 김해인제대,시간협의,"월급 1,975,000원",2시간전
24,경기 부천시,써브웨이(SUBWAY) 부천 역곡역점,17:00~23:30,"시급 9,160원",2시간전
25,서울 강남구,써브웨이,07:30~16:00,"시급 9,160원",2시간전
26,대구 달성군,써브웨이 대구다사점,15:00~22:30,"시급 11,000원",2시간전
27,경기 화성시,써브웨이 동탄호수공원,시간협의,"시급 9,160원",2시간전
28,서울 용산구,서브웨이 남영역점,07:30~15:00,"시급 9,160원",2시간전
29,경기 용인시,써브웨이 용인동백점,07:30~09:30,"시급 10,000원",2시간전
30,경기 성남시,써브웨이 판교브릿지타워,07:30~14:30,"시급 9,160원",3시간전
31,경남 김해시,써브웨이 김해장유점,시간협의,"시급 9,160원",3시간전
32,경기 성남시,써브웨이 판교브릿지타워,시간협의,"시급 9,160원",3시간전
33,서울 노원구,서브웨이 노원점,07:30~14:00,"시급 10,000원",3시간전
34,서울 종로구,SUBWAY(성대점),12:00~15:30,"시급 9,160원",3시간전
35,서울 노원구,서브웨이 노원점,07:30~14:00,"시급 10,000원",3시간전
36,전남 무안군,써브웨이 목포남악점,시간협의,"시급 9,160원",3시간전
37,부산 북구,써브웨이 부산화명점,17:00~22:30,"시급 9,160원",3시간전
38,경남 진주시,써브웨이 진주경상대 칠암캠퍼스점,시간협의,"시급 9,160원",3시간전
39,부산 북구,써브웨이 부산 덕천점,08:00~13:00,"시급 9,160원",3시간전
40,서울 영등포,써브웨이 문래,16:00~23:00,"시급 9,160원",3시간전
41,서울 강남구,써브웨이,07:30~16:00,"시급 9,160원",3시간전
42,서울 영등포,써브웨이 문래,07:30~14:00,"시급 89,160원",3시간전
43,경기 성남시,써브웨이 단대오거리점,07:30~14:00,"시급 9,160원",3시간전
44,서울 노원구,써브웨이 중계은행사거리점,시간협의,"시급 9,160원",3시간전
45,서울 중구,써브웨이 동대문역사문화공원역점,시간협의,"시급 9,160원",3시간전
46,서울 구로구,써브웨이 구로NC점,시간협의,"시급 9,160원",3시간전
47,경남 진주시,써브웨이 진주중안점,07:30~14:00,"시급 9,160원",3시간전
48,서울 강남구,써브웨이,07:30~16:00,"시급 9,160원",3시간전
49,서울 마포구,써브웨이 홍대점,09:00~16:00,"시급 11,000원",3시간전
50,서울 마포구,써브웨이 홍대점,16:00~23:00,"시급 9,200원",3시간전
51,서울 영등포,써브웨이국회의사당점,17:00~22:00,"시급 11,050원",3시간전
52,서울 강남구,써브웨이 역삼점,시간협의,"시급 11,000원",3시간전
53,서울 전체,써브웨이 충무로점,시간협의,"시급 9,160원",3시간전
54,서울 강남구,써브웨이 역삼점,시간협의,"시급 11,000원",3시간전
55,서울 관악구,써브웨이 서울대점,16:30~23:30,"시급 9,160원",3시간전
56,서울 마포구,써브웨이 홍대아트점,시간협의,"시급 9,160원",3시간전
57,서울 중구,써브웨이 약수역점,17:00~22:00,"시급 9,800원",3시간전
58,서울 강남구,서브웨이 역삼초교점,11:00~17:00,"시급 9,160원",3시간전
59,경기 성남시,써브웨이분당서현점,08:00~15:00,"시급 9,500원",3시간전
60,서울 강남구,써브웨이선정릉역점,시간협의,"월급 2,300,000원",4시간전
61,서울 영등포,써브웨이 여의도화재보험점,시간협의,"시급 9,200원",4시간전
62,경기 수원시,써브웨이광교엘포트점,08:00~15:00,"시급 9,500원",4시간전
63,서울 종로구,써브웨이 약수역점,17:00~22:00,"시급 9,800원",4시간전
64,서울 동대문,써브웨이 약수역점,17:00~22:00,"시급 9,800원",4시간전
65,서울 송파구,써브웨이 잠실새내역점,16:00~23:00,"시급 9,200원",4시간전
66,서울 서대문,써브웨이순화동라마다점,16:00~22:00,"시급 9,200원",4시간전
67,전남 나주시,써브웨이 나주혁신점,시간협의,"연봉 28,500,000원",4시간전
68,인천 미추홀,써브웨이 SUBWAY 인천주안역점,07:30~16:00,"연봉 24,000,000원",4시간전
69,부산 부산진,써브웨이 부산 서면롯데점,07:00~14:00,"시급 9,160원",4시간전
70,인천 서구,써브웨이 인천완정역점,08:00~21:00,"시급 11,002원",4시간전
71,부산 북구,써브웨이 부산화명점,17:00~22:30,"시급 9,160원",5시간전
72,대구 북구,써브웨이 대구 침산점,18:30~22:00,"시급 9,160원",5시간전
73,서울 전체,써브웨이 회현,시간협의,"시급 9,160원",5시간전
74,서울 마포구,써브웨이 공덕역 롯데캐슬점,06:30~14:00,"시급 9,160원",5시간전
75,대구 북구,써브웨이 칠곡3지구점,08:00~23:30,"시급 9,160원",5시간전
76,서울 강남구,써브웨이,07:30~16:00,"시급 9,160원",5시간전
77,경기 성남시,써브웨이 성남터미널점,시간협의,"월급 2,300,000원",5시간전
78,부산 전체,써브웨이 부산 센텀시티,17:00~22:00,"시급 9,160원",5시간전
79,부산 북구,써브웨이 부산화명점,17:00~22:30,"시급 9,160원",5시간전
80,부산 부산진,서브웨이 양정점,08:30~16:00,"시급 9,160원",5시간전
81,서울 강남구,써브웨이선정릉역점,시간협의,"월급 2,300,000원",5시간전
82,부산 전체,써브웨이 해운대비치점,시간협의,"시급 9,160원",6시간전
