place,title,time,pay,date
경북 경산시,아소비 경산지사,13:30~18:30,"월급 2,000,000원",18분전
경북 경산시,아소비 경산지사,13:30~18:30,"월급 2,000,000원",18분전
경북 경산시,아소비 경산지사,13:30~18:30,"월급 2,000,000원",18분전
대구 동구,아소비 대구동구지사,13:30~18:30,"월급 2,000,000원",19분전
대구 동구,아소비 대구동구지사,13:30~18:30,"월급 2,000,000원",19분전
대구 동구,아소비 대구동구지사,13:30~18:30,"월급 2,000,000원",19분전
서울 은평구,아소비 은평서대문지사,14:00~18:00,"월급 2,000,000원",33분전
서울 마포구,아소비 은평서대문지사,14:00~18:00,"월급 2,000,000원",35분전
서울 서대문,아소비 은평서대문지사,14:00~18:00,"월급 2,000,000원",38분전
서울 강남구,아소비 강남지사,13:00~18:00,"월급 2,000,000원",41분전
서울 서초구,아소비 서초지사,13:00~18:00,"월급 2,000,000원",42분전
제주 제주시,아소비 제주지사,02:00~06:00,"월급 2,000,000원",2시간전
제주 제주시,아소비 제주지사,14:00~18:00,"월급 2,000,000원",2시간전
제주 제주시,아소비 제주지사,14:00~18:00,"월급 2,000,000원",2시간전
경남 김해시,아소비 김해양산지사,13:00~19:00,"월급 1,700,000원",2시간전
경남 김해시,아소비 김해양산지사,15:00~19:00,"월급 1,700,000원",2시간전
경남 김해시,아소비 김해양산지사,15:00~19:00,"월급 1,700,000원",2시간전
경기 양주시,아소비 의정부양주지사,시간협의,"월급 2,600,000원",2시간전
경기 양주시,아소비 의정부양주지사,시간협의,"월급 2,600,000원",2시간전
경기 양주시,아소비 의정부양주지사,14:00~18:00,"시급 10,000원",2시간전
대구 달성군,아소비 대구달서달성지사,시간협의,"월급 2,000,000원",2시간전
대구 달서구,아소비 대구달서달성지사,시간협의,"월급 1,800,000원",2시간전
대구 달서구,아소비 대구달서달성지사,시간협의,"월급 2,000,000원",2시간전
대구 북구,아소비 대구북구구미지사,13:00~19:00,"월급 2,000,000원",2시간전
대구 서구,아소비 대구북구구미지사,13:00~19:00,"월급 2,000,000원",2시간전
경북 경주시,아소비 포항경주지사,13:00~19:00,"월급 2,000,000원",2시간전
경북 포항시,아소비 포항경주지사,13:00~19:00,"월급 2,000,000원",2시간전
경북 포항시,아소비 포항경주지사,13:00~19:00,"월급 2,000,000원",2시간전
서울 광진구,아소비 동대문성동지사,14:00~19:00,"월급 2,500,000원",4시간전
서울 동대문,아소비 동대문성동지사,14:00~19:00,"월급 2,500,000원",4시간전
서울 성동구,아소비 동대문성동지사,14:00~19:00,"월급 2,500,000원",4시간전
서울 도봉구,아소비 강북도봉지사,14:00~18:00,"월급 2,000,000원",4시간전
서울 강북구,아소비 강북도봉지사,14:00~18:00,"월급 2,000,000원",4시간전
서울 성북구,아소비 강북도봉지사,14:00~18:00,"월급 2,000,000원",4시간전
서울 성북구,아소비 성북지사,14:00~18:00,"월급 2,000,000원",4시간전
서울 강북구,아소비 성북지사,14:00~18:00,"월급 2,000,000원",4시간전
서울 도봉구,아소비 성북지사,14:00~18:00,"월급 2,000,000원",4시간전
경기 의왕시,아소비 군포의왕지사,14:00~18:00,"월급 2,000,000원",4시간전
경기 군포시,아소비 군포의왕지사,14:30~17:30,"시급 12,000원",4시간전
경기 군포시,아소비 군포의왕지사,14:00~18:00,"월급 2,000,000원",4시간전
경기 과천시,아소비 안양과천지사,14:00~18:00,"주급 2,000,000원",4시간전
경기 안양시,아소비 안양과천지사,14:00~18:00,"주급 2,000,000원",4시간전
경기 안양시,아소비 안양과천지사,14:00~18:00,"주급 2,000,000원",4시간전
충남 당진시,아소비 당진서산지사,13:00~19:00,"월급 2,000,000원",5시간전
충남 당진시,아소비 당진서산지사,13:00~19:00,"월급 2,000,000원",5시간전
충남 당진시,아소비 당진서산지사,13:00~19:00,"월급 2,000,000원",5시간전
충남 천안시,아소비 천안아산지사,13:00~19:00,"월급 2,000,000원",5시간전
충남 천안시,아소비 천안아산지사,13:00~19:00,"월급 2,000,000원",5시간전
충남 천안시,아소비 천안아산지사,13:00~19:00,"월급 2,000,000원",5시간전
서울 금천구,아소비 금천지사,13:00~19:00,"월급 2,000,000원",6시간전
서울 동작구,아소비 동작지사,13:00~19:00,"월급 2,000,000원",6시간전
서울 관악구,아소비 관악지사,13:00~19:00,"월급 2,000,000원",6시간전
경기 고양시,아소비 고양파주지사,13:00~18:00,"월급 1,900,000원",6시간전
경기 파주시,아소비 고양파주지사,13:00~18:00,"월급 1,900,000원",6시간전
서울 중랑구,아소비 동북지사(노원중랑),14:00~19:00,"월급 2,000,000원",6시간전
서울 중랑구,아소비 동북지사(노원중랑),14:00~19:00,"월급 2,000,000원",6시간전
서울 노원구,아소비 동북지사(노원중랑),14:00~19:00,"월급 2,000,000원",6시간전
경기 남양주,아소비 동북지사(남양주구리),14:00~19:00,"월급 2,000,000원",6시간전
경기 남양주,아소비 동북지사(남양주구리),14:00~19:00,"월급 2,000,000원",7시간전
경기 남양주,아소비 동북지사(남양주구리),14:00~19:00,"월급 2,000,000원",7시간전
경기 고양시,아소비 고양파주지사,13:00~18:00,"월급 1,900,000원",7시간전
