14:16:02
2022-01-18
28건
index,place,title,time,pay,date
1,대전 동구,에잇세컨즈 대전터미널점,12:30~21:30,"시급 10,992원",42분전
2,경기 하남시,제일패션리테일(주),13:00~22:00,"시급 10,992원",6시간전
3,울산 남구,제일패션리테일(주),13:00~22:00,"연봉 27,500,000원",6시간전
4,울산 남구,제일패션리테일(주),13:00~22:00,"연봉 27,500,000원",6시간전
5,부산 사상구,제일패션리테일(주),13:00~22:00,"연봉 27,500,000원",6시간전
6,부산 사상구,제일패션리테일(주),13:00~22:00,"연봉 27,500,000원",6시간전
7,부산 부산진,제일패션리테일(주),13:00~22:00,"연봉 27,500,000원",6시간전
8,부산 중구,제일패션리테일(주),13:00~22:00,"연봉 27,500,000원",6시간전
9,부산 부산진,제일패션리테일(주),13:00~22:00,"연봉 27,500,000원",6시간전
10,부산 기장군,제일패션리테일(주),13:00~22:00,"연봉 27,500,000원",6시간전
11,경기 화성시,제일패션리테일(주),13:00~22:00,"연봉 27,500,000원",7시간전
12,경기 하남시,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
13,경기 하남시,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
14,경기 하남시,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
15,경기 용인시,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
16,부산 부산진,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
17,경기 수원시,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
18,경기 화성시,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
19,경기 파주시,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
20,경기 부천시,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
21,경기 고양시,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
22,경기 파주시,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
23,경기 시흥시,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
24,인천 연수구,제일패션리테일(주),13:00~22:00,"시급 10,992원",7시간전
25,서울 광진구,제일패션리테일(주),13:00~22:00,"시급 10,992원",01/15
26,경기 파주시,8seconds,시간협의,"시급 10,992원",01/14
27,울산 남구,에잇세컨즈 울산업스퀘어8S,시간협의,"시급 10,992원",01/12
28,서울 서대문,제일패션리테일(주),13:00~22:00,"시급 10,992원",01/10
