14:06:11
2022-01-18
19건
index,place,title,time,pay,date
1,부산 기장군,엔제리너스 롯데아울렛동부산1층점,13:00~22:00,"월급 2,100,000원",56분전
2,충남 천안시,엔제리너스 천안직산점,19:00~23:30,"시급 9,160원",5시간전
3,전북 익산시,엔제리너스 익산고봉로점,11:30~14:30,"시급 9,160원",5시간전
4,서울 강서구,엔제리너스 롯데몰김포공항2호점,10:30~16:00,"시급 9,160원",15시간전
5,부산 기장군,엔제리너스 롯데아울렛동부산1층점,13:00~22:00,"월급 2,100,000원",01/16
6,서울 강남구,엔제리너스 수서환승통로점,시간협의,"시급 9,160원",01/15
7,경남 창원시,엔제리너스 진해자은점,시간협의,"시급 9,160원",01/13
8,서울 강서구,엔제리너스 김포공항1층점,시간협의,"시급 9,160원",01/13
9,서울 강동구,엔제리너스 강동경희대병원점,시간협의,"시급 9,160원",01/11
10,서울 강서구,엔제리너스 김포공항1층점,시간협의,"시급 9,160원",01/11
11,서울 송파구,엔제리너스 잠실롯데월드몰F1점,시간협의,"시급 9,160원",01/10
12,대구 전체,엔제리너스 아일랜드점,시간협의,"시급 9,160원",01/10
13,서울 강남구,엔제리너스 수서환승통로점,시간협의,"시급 9,160원",01/08
14,대구 전체,엔제리너스 대구칠성시장역점,시간협의,"월급 1,920,000원",01/07
15,대구 전체,엔제리너스 아일랜드점,시간협의,"시급 9,160원",01/07
16,대구 전체,엔제리너스 아일랜드점,시간협의,"시급 9,160원",01/07
17,경북 경주시,엔제리너스 경주DT점,시간협의,"시급 9,160원",01/07
18,대구 북구,엔제리너스 칠곡구암역점,17:00~01:00,"시급 9,160원",01/06
19,대구 전체,엔제리너스 칠곡구암역점,시간협의,"월급 1,830,000원",01/06
