14:14:33
2022-01-18
126건
index,place,title,time,pay,date
1,서울 종로구,폴바셋 광화문점,06:00~23:00,"시급 9,800원",2분전
2,서울 강남구,폴바셋 일원역점,06:00~23:00,"시급 9,800원",5분전
3,서울 전체,폴바셋 파미에스테이션점,07:00~23:00,"시급 9,800원",9분전
4,서울 전체,폴바셋 롯데강남점,08:00~22:00,"시급 9,800원",18분전
5,서울 강남구,폴바셋 일원역점,06:00~23:00,"시급 9,800원",22분전
6,서울 전체,폴바셋 교대역점,07:00~23:00,"시급 9,800원",23분전
7,경기 용인시,폴바셋 롯데몰수지점,09:30~23:00,"시급 9,800원",23분전
8,서울 관악구,폴바셋 롯데백화점관악점,09:00~21:00,"시급 9,800원",26분전
9,서울 중구,폴바셋 신세계본점,09:00~22:00,"시급 9,800원",27분전
10,서울 전체,폴바셋 파미에스테이션점,07:00~23:00,"시급 9,800원",43분전
11,서울 중구,폴바셋 신세계본점,09:00~22:00,"시급 9,800원",55분전
12,서울 강남구,폴바셋 NC타워삼성점,06:30~23:00,"시급 9,800원",1시간전
13,경기 용인시,폴바셋 신세계백화점경기점,09:30~21:30,"시급 9,800원",1시간전
14,서울 전체,폴바셋 신세계강남점,09:00~22:00,"시급 9,800원",2시간전
15,서울 전체,폴바셋 롯데본점,09:00~22:00,"시급 9,800원",2시간전
16,서울 전체,더키친일뽀르노 신세계강남점,10:00~21:00,"시급 9,160원",2시간전
17,서울 전체,폴바셋 롯데본점,09:00~22:00,"시급 9,800원",2시간전
18,서울 전체,폴바셋 페럼타워점,06:30~23:00,"시급 9,800원",2시간전
19,서울 양천구,폴바셋 강서마곡DT점,시간협의,"시급 9,800원",2시간전
20,서울 강서구,폴바셋 강서마곡DT점,시간협의,"시급 9,800원",2시간전
21,경기 용인시,폴바셋 롯데몰수지점,09:30~23:00,"시급 9,800원",2시간전
22,서울 전체,더키친일뽀르노 신세계강남점,10:00~21:00,"연봉 28,000,000원",2시간전
23,경기 여주시,폴바셋 신세계여주아울렛점,08:00~22:00,"시급 9,800원",2시간전
24,경기 여주시,폴바셋 신세계여주아울렛점,08:00~22:00,"시급 9,800원",2시간전
25,서울 전체,더키친일뽀르노 신세계강남점,10:30~21:30,"연봉 28,000,000원",2시간전
26,경기 여주시,폴바셋 신세계여주아울렛점,12:00~19:00,"시급 9,160원",2시간전
27,서울 강남구,폴바셋 GFC점,06:30~23:00,"시급 9,800원",2시간전
28,서울 서초구,폴바셋 GFC점,06:30~23:00,"시급 9,800원",2시간전
29,서울 용산구,폴바셋 GFC점,06:30~23:00,"시급 9,800원",2시간전
30,서울 광진구,폴바셋 GFC점,06:30~23:00,"시급 9,800원",2시간전
31,서울 성동구,폴바셋 GFC점,06:30~23:00,"시급 9,800원",2시간전
32,서울 전체,폴바셋 롯데본점,09:00~22:00,"시급 9,800원",2시간전
33,대구 동구,더 키친 일포노 신세계대구점,10:00~20:30,"연봉 29,000,000원",2시간전
34,서울 강남구,폴바셋 일원역점,06:00~23:00,"시급 9,800원",2시간전
35,서울 전체,폴바셋 파미에스테이션점,07:00~23:00,"시급 9,800원",3시간전
36,서울 강남구,폴바셋 일원역점,06:00~23:00,"시급 9,800원",3시간전
37,서울 강남구,폴바셋 NC타워삼성점,06:30~23:00,"시급 9,800원",3시간전
38,서울 중랑구,폴바셋 NC타워삼성점,06:30~23:00,"시급 9,800원",3시간전
39,서울 용산구,폴바셋 용산 아이파크몰점,09:30~22:30,"시급 9,800원",3시간전
40,경기 성남시,폴바셋 AK플라자분당점,07:00~22:00,"시급 9,800원",3시간전
41,서울 영등포,폴바셋 여의도IFC점,06:00~23:00,"시급 9,800원",3시간전
42,제주 제주시,폴 바셋 제주용담DT점,시간협의,"시급 9,800원",3시간전
43,서울 강남구,폴바셋 일원역점,06:00~23:00,"시급 9,800원",4시간전
44,경기 성남시,폴바셋 AK플라자분당점,11:00~17:30,"시급 9,160원",4시간전
45,경기 성남시,폴바셋 AK플라자분당점,07:00~22:00,"시급 9,800원",4시간전
46,서울 전체,더키친일뽀르노 신세계강남점,12:30~21:30,"시급 9,160원",4시간전
47,서울 전체,더키친일뽀르노 신세계강남점,10:30~21:30,"연봉 28,000,000원",4시간전
48,경기 고양시,폴바셋 스타필드 고양 1호점,08:00~23:00,"시급 9,800원",4시간전
49,서울 전체,폴바셋 롯데본점,09:00~22:00,"시급 9,800원",4시간전
50,대구 동구,폴바셋 대구신세계백화점1호점,13:00~21:00,"시급 9,800원",4시간전
51,서울 용산구,폴바셋 용산 아이파크몰점,09:30~22:30,"시급 9,800원",4시간전
52,서울 종로구,폴바셋 광화문점,06:00~23:00,"시급 9,800원",4시간전
53,서울 전체,폴바셋 파미에스테이션점,07:00~23:00,"시급 9,800원",4시간전
54,서울 전체,폴바셋 압구정2호점,07:00~23:00,"시급 9,800원",5시간전
55,서울 송파구,폴바셋 스타필드시티위례점,09:00~23:00,"시급 9,800원",5시간전
56,서울 전체,폴 바셋 교보문고 강남점,08:30~22:00,"시급 9,800원",5시간전
57,서울 송파구,폴바셋 스타필드시티위례점,09:00~23:00,"시급 9,800원",5시간전
58,서울 전체,폴바셋 교대역점,07:00~23:00,"시급 9,800원",13시간전
59,서울 전체,폴바셋 롯데본점,09:00~22:00,"시급 9,800원",17시간전
60,서울 전체,폴바셋 파미에스테이션점,07:00~23:00,"시급 9,800원",20시간전
61,서울 송파구,폴바셋 롯데월드몰점,08:30~14:00,"시급 9,800원",20시간전
62,경기 용인시,폴바셋 롯데몰수지점,09:30~23:00,"시급 9,800원",21시간전
63,서울 강남구,폴바셋 NC타워삼성점,06:30~23:00,"시급 9,800원",22시간전
64,서울 관악구,폴바셋 NC타워삼성점,06:30~22:00,"시급 9,800원",22시간전
65,경기 용인시,폴바셋 수원컨트리클럽점,06:30~22:00,"시급 9,800원",01/17
66,경기 평택시,폴바셋 스타필드안성점,09:00~23:00,"시급 9,800원",01/17
67,서울 영등포,폴바셋 여의도IFC점,06:00~23:00,"시급 9,800원",01/17
68,경기 고양시,폴바셋 마두역점,06:30~22:00,"시급 9,800원",01/16
