14:10:52
2022-01-18
331건
index,place,title,time,pay,date
1,경남 김해시,영웅배송 스파이더 장유S지점3,시간협의,"건별 3,800원",9분전
2,경남 김해시,영웅배송 스파이더 장유S지점3,시간협의,"건별 3,800원",9분전
3,경남 김해시,영웅배송 스파이더 장유S지점3,시간협의,"건별 3,800원",10분전
4,경기 수원시,영웅배송 스파이더 송죽지사,08:00~03:00,"일급 300,000원",15분전
5,경기 수원시,영웅배송 스파이더 송죽지사,08:00~03:00,"일급 200,000원",15분전
6,경기 수원시,영웅배송 스파이더 송죽지사,08:00~03:00,"일급 300,000원",16분전
7,경기 수원시,영웅배송 스파이더 파장지사,08:00~03:00,"일급 300,000원",16분전
8,경기 수원시,영웅배송 스파이더 파장지사,08:00~03:00,"일급 300,000원",17분전
9,경기 수원시,영웅배송 스파이더 파장지사,08:00~03:00,"일급 300,000원",17분전
10,경남 창원시,영웅배송 스파이더 마산지사,시간협의,"월급 5,000,000원",17분전
11,경기 수원시,영웅배송 스파이더 북수원2지사,시간협의,"일급 300,000원",17분전
12,경기 수원시,영웅배송 스파이더 북수원2지사,시간협의,"일급 300,000원",17분전
13,경기 수원시,영웅배송 스파이더 북수원2지사,시간협의,"일급 300,000원",17분전
14,경기 수원시,영웅배송 스파이더 동수원지사 매탄1지,08:00~02:00,"건별 4,000원",22분전
15,부산 연제구,영웅배송 스파이더 연산지사,시간협의,"건별 3,500원",30분전
16,경남 창원시,영웅배송 스파이더 도계지점,시간협의,"일급 250,000원",44분전
17,경남 창원시,영웅배송 스파이더 도계지점,시간협의,"일급 250,000원",44분전
18,경남 창원시,영웅배송 스파이더 도계지점,시간협의,"일급 250,000원",45분전
19,서울 강남구,영웅배송 스파이더 영웅지부,시간협의,"건별 4,000원",1시간전
20,서울 강남구,영웅배송 스파이더 영웅지부,시간협의,"건별 4,000원",1시간전
21,서울 강남구,영웅배송 스파이더 영웅지부,시간협의,"건별 4,000원",1시간전
22,울산 중구,영웅배송 스파이더 하나지사 B,시간협의,"일급 100,000원",1시간전
23,울산 중구,영웅배송 스파이더 하나지사 B,시간협의,"일급 100,000원",1시간전
24,울산 중구,영웅배송 스파이더 하나지사 B,시간협의,"일급 100,000원",1시간전
25,경남 김해시,영웅배송 스파이더 장유S지점2,시간협의,"건별 3,800원",1시간전
26,경남 김해시,영웅배송 스파이더 장유S지점,시간협의,"건별 3,800원",1시간전
27,서울 서초구,영웅배송 스파이더 방배지사,시간협의,"월급 6,000,000원",2시간전
28,서울 서초구,영웅배송 스파이더 방배지사,시간협의,"건별 4,300원",2시간전
29,경남 김해시,영웅배송 스파이더 장유S지점2,시간협의,"건별 3,800원",2시간전
30,경남 김해시,영웅배송 스파이더 장유S지점,시간협의,"건별 3,800원",2시간전
31,서울 서초구,영웅배송 스파이더 방배지사,시간협의,"일급 300,000원",2시간전
32,충남 천안시,영웅배송 스파이더 천안본부,시간협의,"건별 4,000원",2시간전
33,충남 천안시,영웅배송 스파이더 천안본부,시간협의,"월급 5,000,000원",2시간전
