14:17:03
2022-01-18
14건
index,place,title,time,pay,date
1,경기 안산시,오늘와인한잔 & 오늘맥주한잔 안산 고,시간협의,"시급 9,500원",4시간전
2,전남 나주시,오늘와인한잔 & 오늘맥주한잔 나주혁신,시간협의,"시급 10,000원",5시간전
3,서울 강북구,오늘와인한잔 & 오늘맥주한잔 수유점,17:00~24:00,"월급 2,000,000원",7시간전
4,서울 강북구,오늘와인한잔 & 오늘맥주한잔 수유점,17:00~24:00,"월급 2,000,000원",01/16
5,경기 안산시,오늘와인한잔 & 오늘맥주한잔 안산 고,시간협의,"시급 9,500원",01/14
6,경기 안산시,오늘와인한잔 & 오늘맥주한잔 안산 고,시간협의,"시급 9,168원",01/14
7,경기 부천시,오늘와인한잔 & 오늘맥주한잔 부천역점,시간협의,"시급 10,000원",01/13
8,서울 강남구,오늘와인한잔 & 오늘맥주한잔 강남역1,15:00~01:00,"월급 2,700,000원",01/12
9,서울 강남구,오늘와인한잔 & 오늘맥주한잔 강남역1,15:00~01:00,"월급 2,700,000원",01/12
10,서울 강남구,오늘와인한잔 & 오늘맥주한잔 강남역1,15:00~01:00,"월급 2,700,000원",01/12
11,서울 강남구,오늘와인한잔 & 오늘맥주한잔 강남역1,15:00~01:00,"월급 2,700,000원",01/12
12,인천 부평구,오늘와인한잔 & 오늘맥주한잔 부평점,17:00~21:00,"시급 9,160원",01/11
13,경기 광주시,오늘와인한잔 & 오늘맥주한잔 광주터미,15:00~02:00,"월급 2,000,000원",01/08
14,서울 강남구,오늘와인한잔 & 오늘맥주한잔 강남역1,15:00~01:00,"월급 2,700,000원",01/08
